testbed,host,pcap,mode,n_iter,n_replicates,ns_per_pkt_mean,ns_per_pkt_median,ns_per_pkt_p95,ns_per_pkt_ci95_lo,ns_per_pkt_ci95_hi,mpps_median,parity_ok,parity_disagreements,build_hash,kernel,nic_driver,nic_firmware
hp2-hp5-x710,hp2,combo.pcap,c-flowdis-usp,100,5,159.80,160,160.00,159.41,160.19,6,,,/nix/store/bhzmrx71ssyri9d0ha8dxsg5skn129s5-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,i40e,9.30
hp2-hp5-x710,hp2,combo.pcap,c-xdp2-usp,100,5,229.60,229,235.80,227.89,231.31,4,,,/nix/store/bhzmrx71ssyri9d0ha8dxsg5skn129s5-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,i40e,9.30
hp2-hp5-x710,hp2,combo.pcap,c-xdp2-parse-only,100,5,218,217,223.10,216.48,219.52,4,,,/nix/store/bhzmrx71ssyri9d0ha8dxsg5skn129s5-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,i40e,9.30
hp2-hp5-x710,hp2,combo.pcap,c-bpf-flowdis,100,5,87.40,87,88.00,86.92,87.88,11,,,/nix/store/bhzmrx71ssyri9d0ha8dxsg5skn129s5-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,i40e,9.30
hp2-hp5-x710,hp2,combo.pcap,c-bpf-xdp2,100,0,—,—,—,—,—,—,,,/nix/store/bhzmrx71ssyri9d0ha8dxsg5skn129s5-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,i40e,9.30
hp2-hp5-x710,hp2,combo.pcap,c-bpf-fast,100,5,17.80,18,18.00,17.41,18.19,55,,,/nix/store/bhzmrx71ssyri9d0ha8dxsg5skn129s5-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,i40e,9.30
hp2-hp5-x710,hp2,combo.pcap,rust-graph,100,5,286.40,287,291.40,283.73,289.07,3,,,/nix/store/bhzmrx71ssyri9d0ha8dxsg5skn129s5-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,i40e,9.30
hp2-hp5-x710,hp2,combo.pcap,rust-graph-enum,100,5,11.60,12,12.00,11.12,12.08,83,,,/nix/store/bhzmrx71ssyri9d0ha8dxsg5skn129s5-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,i40e,9.30
hp2-hp5-x710,hp2,combo.pcap,rust-mono,100,5,49.20,49,50.70,48.81,49.59,20,,,/nix/store/bhzmrx71ssyri9d0ha8dxsg5skn129s5-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,i40e,9.30
hp2-hp5-x710,hp2,combo.pcap,rust-mono-x4,100,5,53.80,54,54.00,53.41,54.19,18,,,/nix/store/bhzmrx71ssyri9d0ha8dxsg5skn129s5-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,i40e,9.30
hp2-hp5-x710,hp2,combo.pcap,rust-compiled,100,5,46.60,47,47.00,46.12,47.08,21,,,/nix/store/bhzmrx71ssyri9d0ha8dxsg5skn129s5-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,i40e,9.30
hp2-hp5-x710,hp2,combo.pcap,rust-simd,100,5,55.20,55,56.70,54.81,55.59,18,,,/nix/store/bhzmrx71ssyri9d0ha8dxsg5skn129s5-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,i40e,9.30
hp2-hp5-x710,hp2,combo.pcap,rust-template,100,5,49.80,50,50.00,49.41,50.19,20,,,/nix/store/bhzmrx71ssyri9d0ha8dxsg5skn129s5-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,i40e,9.30
hp2-hp5-x710,hp2,combo.pcap,rust-template-simd,100,5,54.60,55,55.00,54.12,55.08,18,,,/nix/store/bhzmrx71ssyri9d0ha8dxsg5skn129s5-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,i40e,9.30
hp2-hp5-x710,hp2,https-web.pcap,c-flowdis-usp,100,14,121.57,121.00,128.00,119.49,123.65,8.00,false,9280,/nix/store/2npllk3a20zrwhvhwk3b8w8rvbfv5yk2-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,https-web.pcap,c-xdp2-usp,100,14,198.21,197.50,212.00,194.12,202.30,4.50,false,9280,/nix/store/2npllk3a20zrwhvhwk3b8w8rvbfv5yk2-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,https-web.pcap,c-xdp2-parse-only,100,14,186.29,185.50,194.00,182.78,189.79,5.00,false,9280,/nix/store/2npllk3a20zrwhvhwk3b8w8rvbfv5yk2-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
