testbed,host,pcap,mode,n_iter,n_replicates,ns_per_pkt_mean,ns_per_pkt_median,ns_per_pkt_p95,ns_per_pkt_ci95_lo,ns_per_pkt_ci95_hi,mpps_median,parity_ok,parity_disagreements,build_hash,kernel,nic_driver,nic_firmware
hp2-hp5-x710,hp2,https-web.pcap,c-flowdis-usp,100,1,119,119,119,—,—,8,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,https-web.pcap,c-xdp2-usp,100,1,129,129,129,—,—,7,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,https-web.pcap,c-xdp2-parse-only,100,1,129,129,129,—,—,7,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,https-web.pcap,c-xdp2-mono,100,1,70,70,70,—,—,14,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,https-web.pcap,c-bpf-flowdis,100,1,120,120,120,—,—,8,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,https-web.pcap,c-bpf-xdp2,100,0,—,—,—,—,—,—,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,https-web.pcap,c-bpf-fast,100,1,23,23,23,—,—,43,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,https-web.pcap,rust-graph,100,1,259,259,259,—,—,4,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,https-web.pcap,rust-graph-enum,100,1,103,103,103,—,—,10,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,https-web.pcap,rust-mono,100,1,71,71,71,—,—,14,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,https-web.pcap,rust-mono-x4,100,1,82,82,82,—,—,12,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,https-web.pcap,rust-compiled,100,1,72,72,72,—,—,14,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,https-web.pcap,rust-simd,100,1,41,41,41,—,—,24,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,https-web.pcap,rust-template,100,1,68,68,68,—,—,15,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,https-web.pcap,rust-template-simd,100,1,72,72,72,—,—,14,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,k8s-microservices.pcap,c-flowdis-usp,100,1,120,120,120,—,—,8,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,k8s-microservices.pcap,c-xdp2-usp,100,1,165,165,165,—,—,6,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,k8s-microservices.pcap,c-xdp2-parse-only,100,1,165,165,165,—,—,6,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,k8s-microservices.pcap,c-xdp2-mono,100,1,139,139,139,—,—,7,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,k8s-microservices.pcap,c-bpf-flowdis,100,1,115,115,115,—,—,8,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,k8s-microservices.pcap,c-bpf-xdp2,100,0,—,—,—,—,—,—,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,k8s-microservices.pcap,c-bpf-fast,100,1,22,22,22,—,—,45,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,k8s-microservices.pcap,rust-graph,100,1,369,369,369,—,—,3,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,k8s-microservices.pcap,rust-graph-enum,100,1,106,106,106,—,—,9,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,k8s-microservices.pcap,rust-mono,100,1,84,84,84,—,—,12,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,k8s-microservices.pcap,rust-mono-x4,100,1,91,91,91,—,—,11,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,k8s-microservices.pcap,rust-compiled,100,1,81,81,81,—,—,12,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,k8s-microservices.pcap,rust-simd,100,1,40,40,40,—,—,25,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,k8s-microservices.pcap,rust-template,100,1,70,70,70,—,—,14,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,k8s-microservices.pcap,rust-template-simd,100,1,72,72,72,—,—,14,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,nfs-server.pcap,c-flowdis-usp,100,1,119,119,119,—,—,8,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,nfs-server.pcap,c-xdp2-usp,100,1,129,129,129,—,—,7,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,nfs-server.pcap,c-xdp2-parse-only,100,1,125,125,125,—,—,8,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,nfs-server.pcap,c-xdp2-mono,100,1,68,68,68,—,—,14,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,nfs-server.pcap,c-bpf-flowdis,100,1,120,120,120,—,—,8,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,nfs-server.pcap,c-bpf-xdp2,100,0,—,—,—,—,—,—,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,nfs-server.pcap,c-bpf-fast,100,1,23,23,23,—,—,43,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,nfs-server.pcap,rust-graph,100,1,258,258,258,—,—,4,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,nfs-server.pcap,rust-graph-enum,100,1,106,106,106,—,—,9,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,nfs-server.pcap,rust-mono,100,1,69,69,69,—,—,14,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,nfs-server.pcap,rust-mono-x4,100,1,82,82,82,—,—,12,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,nfs-server.pcap,rust-compiled,100,1,71,71,71,—,—,14,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,nfs-server.pcap,rust-simd,100,1,36,36,36,—,—,28,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,nfs-server.pcap,rust-template,100,1,67,67,67,—,—,15,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,nfs-server.pcap,rust-template-simd,100,1,74,74,74,—,—,13,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,pppoe-isp.pcap,c-flowdis-usp,100,1,127,127,127,—,—,7,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,pppoe-isp.pcap,c-xdp2-usp,100,1,136,136,136,—,—,7,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,pppoe-isp.pcap,c-xdp2-parse-only,100,1,136,136,136,—,—,7,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,pppoe-isp.pcap,c-xdp2-mono,100,1,75,75,75,—,—,13,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,pppoe-isp.pcap,c-bpf-flowdis,100,1,69,69,69,—,—,14,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,pppoe-isp.pcap,c-bpf-xdp2,100,0,—,—,—,—,—,—,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,pppoe-isp.pcap,c-bpf-fast,100,1,17,17,17,—,—,58,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,pppoe-isp.pcap,rust-graph,100,1,317,317,317,—,—,3,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,pppoe-isp.pcap,rust-graph-enum,100,1,27,27,27,—,—,36,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,pppoe-isp.pcap,rust-mono,100,1,80,80,80,—,—,12,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,pppoe-isp.pcap,rust-mono-x4,100,1,89,89,89,—,—,11,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
