testbed,host,pcap,mode,n_iter,n_replicates,ns_per_pkt_mean,ns_per_pkt_median,ns_per_pkt_p95,ns_per_pkt_ci95_lo,ns_per_pkt_ci95_hi,mpps_median,parity_ok,parity_disagreements,build_hash,kernel,nic_driver,nic_firmware
hp2-hp5-x710,hp2,https-web.pcap,c-flowdis-usp,100,1,116,116,116,—,—,8,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,https-web.pcap,c-xdp2-usp,100,1,134,134,134,—,—,7,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,https-web.pcap,c-xdp2-parse-only,100,1,132,132,132,—,—,7,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,https-web.pcap,c-xdp2-mono,100,1,72,72,72,—,—,13,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,https-web.pcap,c-bpf-flowdis,100,1,119,119,119,—,—,8,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,https-web.pcap,c-bpf-xdp2,100,0,—,—,—,—,—,—,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,https-web.pcap,c-bpf-fast,100,1,23,23,23,—,—,43,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,https-web.pcap,rust-graph,100,1,266,266,266,—,—,4,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,https-web.pcap,rust-graph-enum,100,1,103,103,103,—,—,10,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,https-web.pcap,rust-mono,100,1,71,71,71,—,—,14,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,https-web.pcap,rust-mono-x4,100,1,83,83,83,—,—,12,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,https-web.pcap,rust-compiled,100,1,72,72,72,—,—,14,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,https-web.pcap,rust-simd,100,1,39,39,39,—,—,25,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,https-web.pcap,rust-template,100,1,67,67,67,—,—,15,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,https-web.pcap,rust-template-simd,100,1,72,72,72,—,—,14,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,k8s-microservices.pcap,c-flowdis-usp,100,1,113,113,113,—,—,8,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,k8s-microservices.pcap,c-xdp2-usp,100,1,157,157,157,—,—,6,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,k8s-microservices.pcap,c-xdp2-parse-only,100,1,155,155,155,—,—,6,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,k8s-microservices.pcap,c-xdp2-mono,100,1,134,134,134,—,—,7,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,k8s-microservices.pcap,c-bpf-flowdis,100,1,120,120,120,—,—,8,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,k8s-microservices.pcap,c-bpf-xdp2,100,0,—,—,—,—,—,—,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,k8s-microservices.pcap,c-bpf-fast,100,1,22,22,22,—,—,45,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,k8s-microservices.pcap,rust-graph,100,1,365,365,365,—,—,3,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,k8s-microservices.pcap,rust-graph-enum,100,1,105,105,105,—,—,9,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,k8s-microservices.pcap,rust-mono,100,1,84,84,84,—,—,12,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,k8s-microservices.pcap,rust-mono-x4,100,1,92,92,92,—,—,11,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,k8s-microservices.pcap,rust-compiled,100,1,81,81,81,—,—,12,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,k8s-microservices.pcap,rust-simd,100,1,40,40,40,—,—,25,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,k8s-microservices.pcap,rust-template,100,1,69,69,69,—,—,14,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,k8s-microservices.pcap,rust-template-simd,100,1,73,73,73,—,—,14,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,nfs-server.pcap,c-flowdis-usp,100,1,113,113,113,—,—,8,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,nfs-server.pcap,c-xdp2-usp,100,1,124,124,124,—,—,8,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,nfs-server.pcap,c-xdp2-parse-only,100,1,124,124,124,—,—,8,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,nfs-server.pcap,c-xdp2-mono,100,1,68,68,68,—,—,14,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,nfs-server.pcap,c-bpf-flowdis,100,1,120,120,120,—,—,8,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,nfs-server.pcap,c-bpf-xdp2,100,0,—,—,—,—,—,—,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
