testbed,host,pcap,mode,n_iter,n_replicates,ns_per_pkt_mean,ns_per_pkt_median,ns_per_pkt_p95,ns_per_pkt_ci95_lo,ns_per_pkt_ci95_hi,mpps_median,parity_ok,parity_disagreements,build_hash,kernel,nic_driver,nic_firmware
hp2-hp5-x710,hp2,https-web.pcap,c-flowdis-usp,100,1,120,120,120,—,—,8,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,https-web.pcap,c-xdp2-usp,100,1,136,136,136,—,—,7,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,https-web.pcap,c-xdp2-parse-only,100,1,135,135,135,—,—,7,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,https-web.pcap,c-xdp2-mono,100,1,73,73,73,—,—,13,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,https-web.pcap,c-bpf-flowdis,100,1,120,120,120,—,—,8,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,https-web.pcap,c-bpf-xdp2,100,0,—,—,—,—,—,—,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,https-web.pcap,c-bpf-fast,100,1,23,23,23,—,—,43,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,https-web.pcap,rust-graph,100,1,261,261,261,—,—,4,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,https-web.pcap,rust-graph-enum,100,1,104,104,104,—,—,10,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,https-web.pcap,rust-mono,100,1,71,71,71,—,—,14,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,https-web.pcap,rust-mono-x4,100,1,83,83,83,—,—,12,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,https-web.pcap,rust-compiled,100,1,72,72,72,—,—,14,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,https-web.pcap,rust-simd,100,1,40,40,40,—,—,25,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,https-web.pcap,rust-template,100,1,67,67,67,—,—,15,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,https-web.pcap,rust-template-simd,100,1,72,72,72,—,—,14,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,vxlan-k8s-pure.pcap,c-flowdis-usp,100,1,109,109,109,—,—,9,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,vxlan-k8s-pure.pcap,c-xdp2-usp,100,1,156,156,156,—,—,6,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,vxlan-k8s-pure.pcap,c-xdp2-parse-only,100,1,156,156,156,—,—,6,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,vxlan-k8s-pure.pcap,c-xdp2-mono,100,1,137,137,137,—,—,7,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,vxlan-k8s-pure.pcap,c-bpf-flowdis,100,1,122,122,122,—,—,8,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,vxlan-k8s-pure.pcap,c-bpf-xdp2,100,0,—,—,—,—,—,—,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,vxlan-k8s-pure.pcap,c-bpf-fast,100,1,24,24,24,—,—,41,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,vxlan-k8s-pure.pcap,rust-graph,100,1,464,464,464,—,—,2,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,vxlan-k8s-pure.pcap,rust-graph-enum,100,1,113,113,113,—,—,9,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,vxlan-k8s-pure.pcap,rust-mono,100,1,92,92,92,—,—,11,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,vxlan-k8s-pure.pcap,rust-mono-x4,100,1,97,97,97,—,—,10,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,vxlan-k8s-pure.pcap,rust-compiled,100,1,89,89,89,—,—,11,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,vxlan-k8s-pure.pcap,rust-simd,100,1,34,34,34,—,—,29,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,vxlan-k8s-pure.pcap,rust-template,100,1,72,72,72,—,—,14,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp2,vxlan-k8s-pure.pcap,rust-template-simd,100,1,78,78,78,—,—,13,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp5,https-web.pcap,c-flowdis-usp,100,1,121,121,121,—,—,8,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp5,https-web.pcap,c-xdp2-usp,100,1,133,133,133,—,—,7,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp5,https-web.pcap,c-xdp2-parse-only,100,1,134,134,134,—,—,7,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp5,https-web.pcap,c-xdp2-mono,100,1,72,72,72,—,—,13,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
hp2-hp5-x710,hp5,https-web.pcap,c-bpf-flowdis,100,1,115,115,115,—,—,8,,,/nix/store/9vgp0qk9zl0adiyx9z5xwahssw83ls8r-xdp2-rs-0.1.0/bin/xdp2-bench,7.0.1,,
