protocol,parser,accepted,n_packets,n_accepted,reject_reason,field_disagreements,expected,classification
ah,c-flowdis-usp,True,1,1,,0,accept,OK
ah,c-xdp2-usp,False,1,0,parse-error,0,reject:parse-error,REJ-expected
ah,c-xdp2-parse-only,False,1,0,parse-error,0,reject:parse-error,REJ-expected
ah,c-xdp2-mono,False,1,0,parse-error,0,reject:parse-error,REJ-expected
ah,c-bpf-xdp2,False,1,0,verifier,0,reject:verifier,REJ-expected
ah,rust-graph,False,1,0,parse-error,0,reject:parse-error,REJ-expected
ah,rust-graph-enum,False,1,0,ipv4-only,0,reject:ipv4-only,REJ-expected
ah,rust-mono,False,1,0,parse-error,0,reject:parse-error,REJ-expected
ah,rust-mono-x4,False,1,0,parse-error,0,reject:parse-error,REJ-expected
ah,rust-compiled,False,1,0,parse-error,0,reject:parse-error,REJ-expected
ah,rust-simd,False,1,0,parse-error,0,reject:parse-error,REJ-expected
ah,rust-template,True,1,1,,0,accept,OK
ah,rust-template-simd,True,1,1,,0,accept,OK
amqp,c-flowdis-usp,True,1,1,,0,accept,OK
amqp,c-xdp2-usp,True,1,1,,0,accept,OK
amqp,c-xdp2-parse-only,True,1,1,,0,accept,OK
amqp,c-xdp2-mono,True,1,1,,0,accept,OK
amqp,c-bpf-xdp2,False,1,0,verifier,0,reject:verifier,REJ-expected
amqp,rust-graph,True,1,1,,0,accept,OK
amqp,rust-graph-enum,True,1,1,,0,accept,OK
amqp,rust-mono,True,1,1,,0,accept,OK
amqp,rust-mono-x4,True,1,1,,0,accept,OK
amqp,rust-compiled,True,1,1,,0,accept,OK
amqp,rust-simd,True,1,1,,0,accept,OK
amqp,rust-template,True,1,1,,0,accept,OK
amqp,rust-template-simd,True,1,1,,0,accept,OK
amt,c-flowdis-usp,True,1,1,,0,accept,OK
amt,c-xdp2-usp,True,1,1,,0,accept,OK
amt,c-xdp2-parse-only,True,1,1,,0,accept,OK
amt,c-xdp2-mono,True,1,1,,0,accept,OK
amt,c-bpf-xdp2,False,1,0,verifier,0,reject:verifier,REJ-expected
amt,rust-graph,True,1,1,,0,accept,OK
amt,rust-graph-enum,True,1,1,,0,accept,OK
amt,rust-mono,True,1,1,,0,accept,OK
amt,rust-mono-x4,True,1,1,,0,accept,OK
amt,rust-compiled,True,1,1,,0,accept,OK
amt,rust-simd,True,1,1,,0,accept,OK
amt,rust-template,True,1,1,,0,accept,OK
amt,rust-template-simd,True,1,1,,0,accept,OK
aoe,c-flowdis-usp,False,1,0,parse-error,0,reject:parse-error,REJ-expected
aoe,c-xdp2-usp,True,1,1,,0,accept,OK
aoe,c-xdp2-parse-only,True,1,1,,0,accept,OK
aoe,c-xdp2-mono,True,1,1,,0,accept,OK
aoe,c-bpf-xdp2,False,1,0,verifier,0,reject:verifier,REJ-expected
aoe,rust-graph,True,1,1,,0,accept,OK
aoe,rust-graph-enum,False,1,0,ipv4-only,0,reject:ipv4-only,REJ-expected
aoe,rust-mono,True,1,1,,0,accept,OK
aoe,rust-mono-x4,True,1,1,,0,accept,OK
aoe,rust-compiled,True,1,1,,0,accept,OK
aoe,rust-simd,True,1,1,,0,accept,OK
aoe,rust-template,False,1,0,no-template,0,reject:no-template,REJ-expected
aoe,rust-template-simd,False,1,0,no-template,0,reject:no-template,REJ-expected
