ts hour gbit_s retx cake_sent_pkts cake_drops cake_requeues mem_used_MB tcp_retx tcp_lost dmesg_new_lines
1779689165 1 NA NA 20656817960 0 22522 3444 0 NA 8
1779692765 2 NA NA 41982063022 0 44525 3451 0 NA 8
1779696366 3 NA NA 62959178651 0 67808 3467 0 NA 8
1779699966 4 NA NA 83965989651 0 90240 3475 0 NA 8
1779703566 5 NA NA 104696121117 0 113245 3484 0 NA 8
1779707167 6 NA NA 125753253850 0 137204 3489 0 NA 8
1779710767 7 NA NA 147217399900 0 160324 3496 0 NA 8
1779714368 8 NA NA 168537371943 0 183283 3508 0 NA 8
1779717968 9 NA NA 189432855827 0 206780 3519 0 NA 8
1779721568 10 NA NA 210711056041 0 229708 3517 0 NA 8
1779725169 11 NA NA 231752630002 0 252017 3517 0 NA 8
1779728769 12 NA NA 253166427993 1 274879 3515 0 NA 8
1779732370 13 NA NA 273703557039 1 297763 3517 0 NA 8
1779735970 14 NA NA 294281631600 1 320165 3513 0 NA 8
1779739571 15 NA NA 314956005315 2 342681 3514 0 NA 8
1779743171 16 NA NA 336185922725 2 364933 3515 0 NA 8
1779746771 17 NA NA 357482238843 2 388387 3515 0 NA 8
1779750372 18 NA NA 378128267351 2 410361 3519 0 NA 8
1779753972 19 NA NA 399256652343 3 433580 3517 0 NA 8
1779757573 20 NA NA 419794868556 3 456271 3516 0 NA 8
1779761173 21 NA NA 440829794726 4 479105 3519 0 NA 8
1779764773 22 NA NA 461795222069 4 503396 3515 0 NA 8
1779768374 23 NA NA 482993510496 5 525393 3514 0 NA 8
1779771974 24 NA NA 504185433925 5 548745 3518 0 NA 8
