run,start_ts,gbit_s,retransmits,mean_rtt_us,jitter_ms
1,1779685565,15.9085,76004,3431,0
2,1779685875,16.0349,64693,3578,0
3,1779686185,16.1926,58357,3709,0
4,1779686496,15.8824,80333,3666,0
5,1779686806,15.6870,90082,3216,0
6,1779687116,15.9901,80399,3560,0
7,1779687426,15.9144,90286,3309,0
8,1779687736,16.2072,71392,3754,0
9,1779688047,16.0855,74963,3409,0
10,1779688357,16.3080,70677,3676,0
11,1779688667,16.2465,72224,3364,0
12,1779688977,15.9584,63945,3801,0
13,1779689288,16.1485,79514,3564,0
14,1779689598,15.8881,77984,3507,0
15,1779689908,16.4513,87273,3529,0
16,1779690218,15.9316,74113,3538,0
17,1779690529,15.9851,65603,3537,0
18,1779690839,16.1025,67351,3665,0
19,1779691149,15.5499,64462,4073,0
20,1779691459,16.1971,67888,3757,0
21,1779691769,16.2783,68006,3988,0
22,1779692080,16.1770,77362,3870,0
23,1779692390,16.0621,59638,3659,0
24,1779692700,16.2532,71310,3829,0
25,1779693011,15.7769,84240,3506,0
26,1779693321,15.9676,66421,3722,0
27,1779693631,16.2592,66885,3627,0
28,1779693941,16.2653,80877,3600,0
29,1779694251,16.2543,69712,3440,0
30,1779694562,16.1292,70078,3794,0
31,1779694872,16.0796,73193,3463,0
32,1779695182,15.8785,66630,3631,0
33,1779695492,16.2618,60136,3925,0
34,1779695803,16.1551,81287,3692,0
35,1779696113,15.9428,70383,3708,0
36,1779696423,16.3849,69106,3529,0
37,1779696734,15.9713,66871,3921,0
38,1779697044,16.1765,61262,3642,0
39,1779697354,16.0439,76367,3671,0
40,1779697664,16.0432,52581,3539,0
41,1779697974,15.6329,57598,3974,0
42,1779698285,16.1068,50239,3848,0
43,1779698595,16.2384,82952,3496,0
44,1779698905,16.1565,68845,3613,0
45,1779699215,16.0066,80736,3729,0
46,1779699526,15.8949,65655,3884,0
47,1779699836,16.0557,64155,3582,0
48,1779700146,16.3313,81043,3456,0
49,1779700456,15.9591,88718,3544,0
50,1779700767,16.0451,90059,3458,0
51,1779701077,15.7984,69561,3843,0
52,1779701387,16.1248,75440,3584,0
53,1779701697,15.8693,70508,3578,0
54,1779702008,16.2857,81326,3335,0
55,1779702318,15.9486,79201,3559,0
56,1779702628,15.9713,69034,3882,0
57,1779702938,16.2089,61952,3786,0
58,1779703249,16.0916,64661,3577,0
59,1779703559,16.0663,68392,3762,0
60,1779703869,16.1436,69370,3714,0
61,1779704179,16.2027,75795,3621,0
62,1779704489,16.1108,91256,3345,0
63,1779704800,16.1697,80458,3555,0
64,1779705110,16.1554,65174,3734,0
65,1779705420,16.1585,82278,3726,0
66,1779705730,16.0919,70357,3698,0
67,1779706041,15.9942,65965,3766,0
68,1779706351,16.1471,70111,3782,0
69,1779706661,16.1603,84463,3470,0
70,1779706971,16.2897,67084,3660,0
71,1779707282,15.9253,78749,3620,0
72,1779707592,15.9821,64579,3749,0
73,1779707902,16.0026,74855,3599,0
74,1779708212,15.9364,80142,3590,0
75,1779708522,16.4150,63542,3957,0
76,1779708833,16.0051,63665,3857,0
77,1779709143,15.8285,73570,3633,0
78,1779709453,16.1050,82459,3430,0
79,1779709763,15.7052,85596,3432,0
80,1779710074,16.0449,77003,3337,0
81,1779710384,15.7390,65677,3862,0
82,1779710694,15.9298,88841,3397,0
83,1779711005,16.0440,81433,3690,0
84,1779711315,16.4527,64516,3662,0
85,1779711625,15.6550,67936,3731,0
86,1779711935,16.2154,59474,3873,0
87,1779712246,16.1521,85505,3328,0
88,1779712556,16.2350,89031,3502,0
89,1779712866,15.9501,59278,3508,0
90,1779713176,15.9346,80511,3561,0
91,1779713486,16.1575,68003,3835,0
92,1779713797,16.0227,79898,3408,0
93,1779714107,16.3620,76670,3810,0
94,1779714417,15.6589,73810,3481,0
95,1779714728,15.9921,82235,3580,0
96,1779715038,16.0015,72580,3762,0
97,1779715348,16.0086,66676,3526,0
98,1779715658,15.7319,67073,3573,0
99,1779715968,16.0553,85503,3291,0
100,1779716279,15.9446,80539,3732,0
101,1779716589,15.9851,93288,3508,0
102,1779716899,15.8645,74114,3641,0
103,1779717209,15.8471,73588,3739,0
104,1779717520,16.3763,76581,3769,0
105,1779717830,16.1862,62494,3828,0
106,1779718140,16.0282,69621,3879,0
107,1779718450,16.4077,78973,3550,0
108,1779718761,16.1929,84613,3531,0
109,1779719071,16.3747,73073,3773,0
110,1779719381,16.3097,81394,3706,0
111,1779719691,16.1064,62274,3912,0
112,1779720002,15.7470,74136,3564,0
113,1779720312,15.7946,49326,3723,0
114,1779720622,16.0685,55600,4002,0
115,1779720932,15.7419,86107,3440,0
116,1779721242,16.0249,75138,3574,0
117,1779721553,15.9528,82788,3591,0
118,1779721863,15.8983,73431,3578,0
119,1779722173,15.6747,75615,3558,0
120,1779722483,15.8566,66077,3735,0
121,1779722794,15.6792,61879,3898,0
122,1779723104,15.8290,66695,3898,0
123,1779723414,15.8407,62184,3684,0
124,1779723724,15.8062,72219,3793,0
125,1779724035,15.7985,71170,3827,0
126,1779724345,15.9644,58935,3815,0
127,1779724655,15.6706,78216,3337,0
128,1779724965,15.5124,56689,4038,0
129,1779725275,16.1090,70119,3729,0
130,1779725586,16.1657,72010,3559,0
131,1779725896,15.9946,79407,3607,0
132,1779726206,15.9957,81544,3733,0
133,1779726516,16.0927,79393,3802,0
134,1779726827,16.0573,88064,3422,0
135,1779727137,16.0459,79607,3558,0
136,1779727447,16.0564,85634,3364,0
137,1779727757,16.3251,84180,3500,0
138,1779728068,15.6513,66966,3720,0
139,1779728378,15.8847,71857,3901,0
140,1779728688,16.1209,75625,3686,0
141,1779728998,15.8849,93101,3305,0
142,1779729309,16.0212,74803,3370,0
143,1779729619,15.9915,88147,3225,0
144,1779729929,15.9960,69942,3807,0
145,1779730239,15.8108,69733,3964,0
146,1779730550,15.8479,81462,3858,0
147,1779730860,16.0743,85293,3462,0
148,1779731170,15.5133,73981,3721,0
149,1779731480,16.3289,72223,3679,0
150,1779731790,16.2561,71411,3796,0
151,1779732101,16.0279,83263,3585,0
152,1779732411,16.3168,64854,3904,0
153,1779732721,16.1346,79759,3622,0
154,1779733032,15.8595,83373,3342,0
155,1779733342,15.9798,72468,3585,0
156,1779733652,16.0154,78092,3451,0
157,1779733962,16.1813,78013,3472,0
158,1779734273,15.9791,58668,3864,0
159,1779734583,15.8165,53850,3933,0
160,1779734893,15.9680,78785,3436,0
161,1779735203,15.9395,82219,3591,0
162,1779735514,15.7934,84830,3310,0
163,1779735824,15.8914,88177,3507,0
164,1779736134,15.7692,87902,3634,0
165,1779736444,15.8612,79707,3339,0
166,1779736755,15.9297,83023,3277,0
167,1779737065,15.9093,80070,3619,0
168,1779737375,15.6518,77753,3625,0
169,1779737685,15.8191,84322,3463,0
170,1779737995,16.0034,66679,4099,0
171,1779738306,16.1422,71567,3536,0
172,1779738616,15.9891,75700,3476,0
173,1779738926,16.1476,82283,3586,0
174,1779739236,16.1994,82218,3510,0
175,1779739547,15.8934,59830,3780,0
176,1779739857,15.8220,91822,3506,0
177,1779740167,16.1764,68528,3987,0
178,1779740478,16.3098,72606,3614,0
179,1779740788,16.4160,68772,3860,0
180,1779741098,16.0143,68430,3571,0
181,1779741408,16.2483,90693,3529,0
182,1779741719,16.0757,83221,3712,0
183,1779742029,16.4220,71016,3508,0
184,1779742339,15.6519,79206,3474,0
185,1779742649,15.8184,69923,3467,0
186,1779742959,16.0133,79627,3359,0
187,1779743270,16.0555,77965,3588,0
188,1779743580,16.0283,72449,3643,0
189,1779743890,16.0075,85887,3517,0
190,1779744200,16.5389,75619,3476,0
191,1779744511,16.2474,82829,3460,0
192,1779744821,16.2679,89038,3463,0
193,1779745131,16.0261,94954,3717,0
194,1779745441,15.6289,86049,3529,0
195,1779745752,15.8834,77859,3764,0
196,1779746062,15.9935,64468,3524,0
197,1779746372,15.9767,90953,3707,0
198,1779746682,16.0930,90642,3462,0
199,1779746992,15.8405,66850,3763,0
200,1779747303,16.0535,80316,3710,0
201,1779747613,15.7876,80731,3574,0
202,1779747923,15.9728,87680,3656,0
203,1779748233,15.9096,73773,3534,0
204,1779748544,15.5265,61663,4023,0
205,1779748854,15.9897,82826,3536,0
206,1779749164,15.9278,86124,3392,0
207,1779749474,16.0214,101049,3308,0
208,1779749785,15.9567,83440,3530,0
209,1779750095,15.7761,61989,3825,0
210,1779750405,16.0726,68143,3704,0
211,1779750715,15.7566,76164,3730,0
212,1779751026,15.9584,76914,3725,0
213,1779751336,15.9780,80350,3410,0
214,1779751646,16.3773,66930,3896,0
215,1779751956,15.9947,77597,3893,0
216,1779752267,16.2314,65130,3646,0
217,1779752577,16.1874,75568,3564,0
218,1779752887,15.8481,80150,3518,0
219,1779753197,16.2841,81703,3456,0
220,1779753507,16.0985,71739,3656,0
221,1779753818,15.8832,69127,3853,0
222,1779754128,15.9245,87089,3323,0
223,1779754438,15.4896,70312,3520,0
224,1779754748,16.0468,60523,3850,0
225,1779755059,15.8555,75459,3600,0
226,1779755369,15.9718,70903,3396,0
227,1779755679,15.8568,75478,3351,0
228,1779755989,15.9020,67243,3806,0
229,1779756300,16.0404,70360,3788,0
230,1779756610,16.4729,57369,3925,0
231,1779756920,16.3177,63100,3600,0
232,1779757230,16.3950,73451,3644,0
233,1779757541,16.1210,85957,3622,0
234,1779757851,15.9514,71908,3735,0
235,1779758161,16.2190,79271,3371,0
236,1779758471,16.0177,80020,3516,0
237,1779758781,15.9854,79051,3586,0
238,1779759092,16.3672,64535,3665,0
239,1779759402,16.2501,68302,3810,0
240,1779759712,15.8274,85845,3368,0
241,1779760022,16.2992,66272,3892,0
242,1779760333,15.9007,81138,3580,0
243,1779760643,16.0807,62026,3786,0
244,1779760953,15.8490,75724,3452,0
245,1779761263,15.9749,79859,3445,0
246,1779761574,16.1563,64656,3504,0
247,1779761884,16.1579,76591,3934,0
248,1779762194,16.0940,87226,3608,0
249,1779762504,15.9506,70455,3472,0
250,1779762815,16.3598,82558,3301,0
251,1779763125,15.8233,84457,3238,0
252,1779763435,15.9052,87900,3266,0
253,1779763745,15.8828,74307,3531,0
254,1779764055,16.0303,77650,3673,0
