=== mlx5 iperf2 soak — Thu May 28 12:55:30 PM PDT 2026 ===
GEN=hp1 DUT=hp3 DEV=enp1s0f0np0 BW=25Gbit DURATION=86400s
tuned
tuned
iperf2 server listening on hp3:5202 (ssh PID 3891478)

=== rolling iperf2 sessions (300s each, -P 16) ===
run gbits ts
1 16.159 1779998433
2 16.147 1779998738
3 16.330 1779999043
4 16.279 1779999348
5 16.338 1779999653
6 16.607 1779999958
7 16.098 1780000263
8 16.752 1780000568
9 16.336 1780000873
10 16.475 1780001178
11 16.122 1780001483
[hour 1] 43334 3653 1 8
12 16.205 1780001788
13 16.752 1780002094
14 16.083 1780002399
15 16.237 1780002704
16 16.288 1780003009
17 16.415 1780003314
18 16.692 1780003619
19 16.420 1780003924
20 16.051 1780004229
21 16.352 1780004534
22 16.420 1780004839
23 16.146 1780005144
[hour 2] 64338 3665 1 8
24 16.086 1780005449
25 16.136 1780005754
26 16.003 1780006059
27 16.795 1780006365
28 16.287 1780006671
29 16.166 1780006976
30 16.274 1780007281
31 15.974 1780007586
32 16.232 1780007891
33 16.674 1780008196
34 16.379 1780008501
35 16.793 1780008806
[hour 3] 85280 3670 1 8
36 16.246 1780009111
37 16.304 1780009416
38 16.437 1780009721
39 16.056 1780010027
40 16.696 1780010332
41 16.459 1780010637
42 16.492 1780010942
43 16.274 1780011248
44 16.296 1780011553
45 16.363 1780011858
46 16.365 1780012163
47 16.716 1780012468
[hour 4] 107324 3680 1 8
48 16.322 1780012773
49 16.384 1780013078
50 16.024 1780013383
51 16.012 1780013688
52 16.136 1780013993
53 15.823 1780014298
54 16.782 1780014603
55 16.564 1780014908
56 16.105 1780015213
57 16.061 1780015518
58 16.162 1780015824
59 16.236 1780016129
[hour 5] 128350 3682 3 8
60 16.531 1780016434
61 16.293 1780016739
62 16.073 1780017044
63 16.255 1780017349
64 16.542 1780017654
65 16.353 1780017959
66 16.288 1780018264
67 16.038 1780018569
68 17.435 1780018874
69 16.514 1780019179
70 16.250 1780019484
[hour 6] 150544 3681 3 8
71 16.279 1780019789
72 16.380 1780020094
73 16.474 1780020399
74 16.084 1780020705
75 16.379 1780021010
76 16.253 1780021315
77 16.569 1780021620
78 16.205 1780021925
79 16.382 1780022230
80 16.004 1780022536
81 16.046 1780022841
82 15.956 1780023146
[hour 7] 172089 3683 3 8
83 15.835 1780023451
84 15.982 1780023756
85 15.526 1780024061
86 16.584 1780024366
87 16.245 1780024671
88 16.306 1780024977
89 16.549 1780025282
90 16.039 1780025587
91 16.383 1780025892
92 16.056 1780026197
93 16.827 1780026502
94 16.251 1780026807
[hour 8] 193765 3680 5 8
95 16.485 1780027112
