=== iperf3 soak (hp2-hp5-x710) — Thu May 28 12:52:23 PM PDT 2026 ===
GEN=hp2  DUT=hp5  DEV=enp1s0f0np0  BW=10Gbit  DURATION=86400s
hp2: TCP tuned
hp5: TCP tuned
33240 bash -c          tc qdisc replace dev enp1s0f0np0 root cake bandwidth 10Gbit triple-isolate         pkill iperf3 2>/dev/null; sleep 1         nix run nixpkgs#iperf3 -- -s -B 10.10.0.5 -p 5201 -D         sleep 2         pgrep -af iperf3 | head -2       
33257 /nix/store/rk0cy00y45dxx7wq0m5v88qapz077blx-iperf-3.20/bin/iperf3 -s -B 10.10.0.5 -p 5201 -D

=== rolling iperf3 sessions (300 s each, -P 16) ===
run gbits retx ts
1 parse-failed 1779998251
2 parse-failed 1779998561
3 parse-failed 1779998872
4 parse-failed 1779999182
5 parse-failed 1779999492
6 parse-failed 1779999803
7 parse-failed 1780000113
8 parse-failed 1780000423
9 parse-failed 1780000734
10 parse-failed 1780001044
11 parse-failed 1780001354
12 parse-failed 1780001665
13 parse-failed 1780001975
14 parse-failed 1780002285
15 parse-failed 1780002596
16 parse-failed 1780002906
17 parse-failed 1780003216
18 parse-failed 1780003527
19 parse-failed 1780003837
20 parse-failed 1780004147
21 parse-failed 1780004458
22 parse-failed 1780004768
23 parse-failed 1780005078
24 parse-failed 1780005389
25 parse-failed 1780005699
26 parse-failed 1780006009
27 parse-failed 1780006320
28 parse-failed 1780006630
29 parse-failed 1780006940
30 parse-failed 1780007251
31 parse-failed 1780007561
32 parse-failed 1780007871
33 parse-failed 1780008182
34 parse-failed 1780008492
35 parse-failed 1780008802
36 parse-failed 1780009112
37 parse-failed 1780009423
38 parse-failed 1780009733
39 parse-failed 1780010044
40 parse-failed 1780010354
41 parse-failed 1780010664
42 parse-failed 1780010975
43 parse-failed 1780011285
44 parse-failed 1780011595
45 parse-failed 1780011906
46 parse-failed 1780012216
47 parse-failed 1780012526
48 parse-failed 1780012837
49 parse-failed 1780013147
50 parse-failed 1780013457
51 parse-failed 1780013768
52 parse-failed 1780014078
53 parse-failed 1780014388
54 parse-failed 1780014699
55 parse-failed 1780015009
56 parse-failed 1780015319
57 parse-failed 1780015630
58 parse-failed 1780015940
59 parse-failed 1780016250
60 parse-failed 1780016561
61 parse-failed 1780016871
62 parse-failed 1780017181
63 parse-failed 1780017492
64 parse-failed 1780017802
65 parse-failed 1780018112
66 parse-failed 1780018423
67 parse-failed 1780018733
68 parse-failed 1780019043
69 parse-failed 1780019354
70 parse-failed 1780019664
71 parse-failed 1780019974
72 parse-failed 1780020284
73 parse-failed 1780020595
74 parse-failed 1780020905
75 parse-failed 1780021215
76 parse-failed 1780021526
77 parse-failed 1780021836
78 parse-failed 1780022146
79 parse-failed 1780022457
80 parse-failed 1780022767
81 parse-failed 1780023077
82 parse-failed 1780023388
83 parse-failed 1780023698
84 parse-failed 1780024008
85 parse-failed 1780024319
86 parse-failed 1780024629
87 parse-failed 1780024939
88 parse-failed 1780025250
89 parse-failed 1780025560
90 parse-failed 1780025870
91 parse-failed 1780026181
92 parse-failed 1780026491
93 parse-failed 1780026801
94 parse-failed 1780027112
95 parse-failed 1780027422
96 parse-failed 1780027732
97 parse-failed 1780028043
98 parse-failed 1780028353
99 parse-failed 1780028663
100 parse-failed 1780028974
101 parse-failed 1780029284
102 parse-failed 1780029594
103 parse-failed 1780029905
104 parse-failed 1780030215
105 parse-failed 1780030525
106 parse-failed 1780030836
107 parse-failed 1780031146
108 parse-failed 1780031456
109 parse-failed 1780031767
110 parse-failed 1780032077
111 parse-failed 1780032387
112 parse-failed 1780032698
113 parse-failed 1780033008
114 parse-failed 1780033318
115 parse-failed 1780033629
116 parse-failed 1780033939
117 parse-failed 1780034249
118 parse-failed 1780034559
119 parse-failed 1780034870
120 parse-failed 1780035180
121 parse-failed 1780035491
122 parse-failed 1780035801
123 parse-failed 1780036111
124 parse-failed 1780036421
125 parse-failed 1780036732
126 parse-failed 1780037042
127 parse-failed 1780037352
128 parse-failed 1780037663
129 parse-failed 1780037973
130 parse-failed 1780038283
131 parse-failed 1780038594
132 parse-failed 1780038904
133 parse-failed 1780039214
134 parse-failed 1780039525
135 parse-failed 1780039835
136 parse-failed 1780040145
137 parse-failed 1780040456
138 parse-failed 1780040766
139 parse-failed 1780041076
140 parse-failed 1780041387
141 parse-failed 1780041697
142 parse-failed 1780042007
143 parse-failed 1780042317
144 parse-failed 1780042628
145 parse-failed 1780042938
146 parse-failed 1780043249
147 parse-failed 1780043559
148 parse-failed 1780043869
149 parse-failed 1780044179
150 parse-failed 1780044490
151 parse-failed 1780044800
152 parse-failed 1780045110
153 parse-failed 1780045421
154 parse-failed 1780045731
155 parse-failed 1780046041
156 parse-failed 1780046352
157 parse-failed 1780046662
158 parse-failed 1780046972
159 parse-failed 1780047283
160 parse-failed 1780047593
161 parse-failed 1780047903
162 parse-failed 1780048214
163 parse-failed 1780048524
164 parse-failed 1780048834
165 parse-failed 1780049145
166 parse-failed 1780049455
167 parse-failed 1780049765
168 parse-failed 1780050076
169 parse-failed 1780050386
170 parse-failed 1780050696
171 parse-failed 1780051007
172 parse-failed 1780051317
173 parse-failed 1780051627
