recv,proto,sysctl,iter,throughput_mbps,retx,cpu_recv_pct,cpu_send_pct,note
pi4-1,iperf3-tcp,0,1,936.38,0,70.9,2.7,ok
pi4-1,iperf3-tcp,0,2,936.39,0,70.5,2.8,ok
pi4-1,iperf3-tcp,0,3,936.33,0,68.0,2.8,ok
pi4-1,iperf3-udp-small,0,1,96.71,4294867,49.2,78.7,ok
pi4-1,iperf3-udp-small,0,2,98.75,3915524,49.6,80.2,ok
pi4-1,iperf3-udp-small,0,3,98.21,3682381,49.8,82.4,ok
pi4-1,iperf2-tcp,0,1,936.25,NA,NA,NA,ok
pi4-1,iperf2-tcp,0,2,936.28,NA,NA,NA,ok
pi4-1,iperf2-tcp,0,3,936.35,NA,NA,NA,ok
pi4-1,iperf2-udp-small,0,1,159.28,NA,NA,NA,ok
pi4-1,iperf2-udp-small,0,2,156.52,NA,NA,NA,ok
pi4-1,iperf2-udp-small,0,3,155.69,NA,NA,NA,ok
pi4-1,iperf3-tcp,1,1,936.41,0,72.1,2.9,ok
pi4-1,iperf3-tcp,1,2,936.39,1,66.8,2.8,ok
pi4-1,iperf3-tcp,1,3,936.35,0,70.4,2.8,ok
pi4-1,iperf3-udp-small,1,1,98.35,3463869,49.7,85.5,ok
pi4-1,iperf3-udp-small,1,2,97.87,3373096,49.1,86.0,ok
pi4-1,iperf3-udp-small,1,3,98.57,3308332,49.7,86.1,ok
pi4-1,iperf2-tcp,1,1,936.28,NA,NA,NA,ok
pi4-1,iperf2-tcp,1,2,936.14,NA,NA,NA,ok
pi4-1,iperf2-tcp,1,3,936.03,NA,NA,NA,ok
pi4-1,iperf2-udp-small,1,1,154.62,NA,NA,NA,ok
pi4-1,iperf2-udp-small,1,2,153.73,NA,NA,NA,ok
pi4-1,iperf2-udp-small,1,3,153.32,NA,NA,NA,ok
pi3-1,iperf3-tcp,0,1,93.82,97,13.8,0.3,ok
pi3-1,iperf3-tcp,0,2,93.82,109,13.5,0.3,ok
pi3-1,iperf3-tcp,0,3,93.84,102,13.8,0.3,ok
pi3-1,iperf3-udp-small,0,1,29.23,7645456,38.9,84.4,ok
pi3-1,iperf3-udp-small,0,2,29.84,7407611,39.5,85.3,ok
pi3-1,iperf3-udp-small,0,3,29.54,7337088,39.4,86.7,ok
pi3-1,iperf2-tcp,0,1,93.85,NA,NA,NA,ok
pi3-1,iperf2-tcp,0,2,93.86,NA,NA,NA,ok
pi3-1,iperf2-tcp,0,3,93.85,NA,NA,NA,ok
pi3-1,iperf2-udp-small,0,1,158.46,NA,NA,NA,ok
pi3-1,iperf2-udp-small,0,2,155.22,NA,NA,NA,ok
pi3-1,iperf2-udp-small,0,3,153.84,NA,NA,NA,ok
pi3-1,iperf3-tcp,1,1,93.82,110,13.6,0.3,ok
pi3-1,iperf3-tcp,1,2,93.81,106,13.4,0.3,ok
pi3-1,iperf3-tcp,1,3,93.81,101,13.7,0.3,ok
pi3-1,iperf3-udp-small,1,1,29.88,7598987,39.9,84.6,ok
pi3-1,iperf3-udp-small,1,2,29.85,7393762,39.9,85.7,ok
pi3-1,iperf3-udp-small,1,3,29.9,7331829,40.0,87.2,ok
pi3-1,iperf2-tcp,1,1,93.86,NA,NA,NA,ok
pi3-1,iperf2-tcp,1,2,93.86,NA,NA,NA,ok
pi3-1,iperf2-tcp,1,3,93.84,NA,NA,NA,ok
pi3-1,iperf2-udp-small,1,1,158.18,NA,NA,NA,ok
pi3-1,iperf2-udp-small,1,2,155.15,NA,NA,NA,ok
pi3-1,iperf2-udp-small,1,3,169.55,NA,NA,NA,ok
