pcap,n_packets,patched_mean_ns,patched_stdev,baseline_mean_ns,baseline_stdev,delta_ns,delta_pct,note
6in4,20,10.863,0.023,10.690,0.070,+0.173,+1.62,ok
6to4,5,10.850,0.000,10.850,0.052,+0.000,+0.00,ok
broad-coverage,5200,11.887,0.006,10.923,0.114,+0.963,+8.82,ok
can-2003-0003,27,10.843,0.006,10.620,0.078,+0.223,+2.10,ok
gre-pptp,2,10.847,0.006,10.427,0.136,+0.420,+4.03,ok
gre-sample,40,10.850,0.000,10.617,0.119,+0.233,+2.20,ok
gre-within-gre,628,10.850,0.010,10.467,0.119,+0.383,+3.66,ok
icmp_ipv4,6,10.850,0.000,10.587,0.214,+0.263,+2.49,ok
icmp_ipv6,6,10.853,0.006,10.803,0.105,+0.050,+0.46,ok
ipip,10,10.857,0.012,10.577,0.012,+0.280,+2.65,ok
ipv4frags,3,10.850,0.010,10.727,0.076,+0.123,+1.15,ok
ipv6-udp-fragmented,6,10.850,0.000,10.850,0.114,+0.000,+0.00,ok
l2tp,38,12.857,0.021,11.973,0.116,+0.883,+7.38,ok
l7_l2tp,4,10.847,0.006,10.293,0.263,+0.553,+5.38,ok
plain-ipv6-64,1,10.847,0.006,10.170,0.411,+0.677,+6.65,ok
protobuf_in_udp,2,10.847,0.006,9.990,0.226,+0.857,+8.58,ok
QinQ,2,10.847,0.006,10.027,0.176,+0.820,+8.18,ok
srv6-end-64,1,10.847,0.006,10.310,0.236,+0.537,+5.21,ok
srv6-end_dt6-64,1,10.847,0.006,10.183,0.401,+0.663,+6.51,ok
srv6-end_dx2-64,1,10.850,0.000,10.063,0.195,+0.787,+7.82,ok
srv6-end_dx6-64,1,10.840,0.000,10.287,0.465,+0.553,+5.38,ok
srv6-end_t-64,1,10.850,0.000,10.587,0.015,+0.263,+2.49,ok
srv6-end_x-64,1,10.847,0.006,10.317,0.474,+0.530,+5.14,ok
srv6-t_encaps_l2-64,1,10.840,0.000,10.143,0.064,+0.697,+6.87,ok
srv6-t_encaps_v6-64,1,10.843,0.006,10.440,0.269,+0.403,+3.86,ok
srv6-t_insert_v6-64,1,10.853,0.006,10.037,0.179,+0.817,+8.14,ok
tcp_ipv4,11,10.850,0.000,10.620,0.078,+0.230,+2.17,ok
tcp_ipv6,12,10.847,0.006,10.720,0.050,+0.127,+1.18,ok
tcp_sack,39,10.850,0.010,10.633,0.064,+0.217,+2.04,ok
vlan_icmp,1,10.850,0.000,10.167,0.412,+0.683,+6.72,ok
vxlan,10,10.847,0.006,10.610,0.070,+0.237,+2.23,ok
zlip-1,1,10.843,0.006,9.953,0.421,+0.890,+8.94,ok
zlip-2,1,10.850,0.000,10.250,0.494,+0.600,+5.85,ok
zlip-3,1,10.847,0.006,9.910,0.468,+0.937,+9.45,ok
