nn,sender,recv,proto,sysctl,throughput_mbps_recv,retransmits,cpu_recv_pct,thr_p50,thr_min,thr_max,thr_cv_pct,drift_pct_per_hour,tx_packets,failed_packets,cpu_recv_mean_pct,cpu_recv_p95_pct,max_temp_recv,max_temp_send,throttled_recv,throttled_send,thermal_clean,note
01,pi5-1,pi5-2,iperf3-tcp,0,936.452244885059,0,8.655633293128053,935.3293460004254,917.5058593787679,967.765043651017,0.6385000722776775,-0.008428227259458215,,,,,58.2,51.0,0xe0000,,True,
02,pi5-1,pi5-2,iperf3-tcp,1,936.4547524037711,0,8.608417674823027,935.3307397509603,922.7450100037896,965.8038379787728,0.46862390576120133,-0.01142702427617655,,,,,58.2,51.6,0xe0000,,True,
03,pi5-2,pi4-1,iperf3-tcp,0,936.437711740991,0,65.6258843998966,937.4260500008526,904.9229218787165,975.2217848568949,0.9684932432694972,-0.04110994399715867,,,,,37.0,57.6,,0xe0000,True,
04,pi5-2,pi4-1,iperf3-tcp,1,936.4358099353041,0,64.3240089099215,934.3634459652936,910.148452764487,974.0345611674765,1.0028330329480974,-0.024032737673682594,,,,,37.0,57.1,,0xe0000,True,
05,pi5-2,pi3-1,iperf3-tcp,0,93.90231518596185,10527,14.910432901171733,94.3715587508382,79.6920135007078,113.13126428520218,4.072690392363024,-0.07178119888581133,,,,,46.2,53.2,,0xe0000,True,
06,pi5-2,pi3-1,iperf3-tcp,1,93.90307279180406,10641,14.925280108198818,94.37175000008583,80.740352,114.17866721280569,3.9104197626555455,-0.04683423096166803,,,,,46.2,52.7,,0xe0000,True,
07,pi5-1,pi5-2,iperf2-tcp,0,936.4482924901362,,,936.378368,919.601152,951.058432,0.5716759173964481,-0.00456279094350024,,,,,57.1,49.9,0xe0000,,True,
08,pi5-1,pi5-2,iperf2-tcp,1,936.4564503473187,,,936.378368,920.649728,953.155584,0.5313794854752307,-0.00539619105687089,,,,,57.1,49.9,0xe0000,,True,
09,pi5-2,pi3-1,tcpreplay-vxlan,0,,,,,,,,,,,14.9379,18.572,42.9,65.3,,0xe0000,True,mpstat SSH died after 288s; tcpreplay wedged past --duration (script killed at +2h). Sidecar + recovered partial-mpstat numbers are valid.
10,pi5-2,pi3-1,tcpreplay-vxlan,1,,,,,,,,,,,14.3024,18.14,42.9,63.7,,0xe0000,True,mpstat SSH died after 412s; tcpreplay wedged past --duration (script killed at +1h). Sidecar + recovered partial-mpstat numbers are valid.
