time,srcaddress,srcport,dstaddr,dstport,transferid,istart,iend,bytes,speed,writecnt,writeerr,tcpretry,tcpcwnd,tcppcwnd,tcprtt,tcprttvar
-0700:20260611040459.240501,172.16.40.122,41334,172.16.40.174,5001,1,0.0,1.0,30146624,241172992,231,0,0,192,136,4274,87
-0700:20260611040459.240500,172.16.40.122,41336,172.16.40.174,5001,2,0.0,1.0,29884480,239075840,229,0,0,168,119,4286,114
-0700:20260611040459.240586,172.16.40.122,41330,172.16.40.174,5001,3,0.0,1.0,30277696,242221568,232,0,0,224,159,4255,160
-0700:20260611040459.240500,172.16.40.122,41332,172.16.40.174,5001,4,0.0,1.0,30408768,243270144,233,0,0,189,134,4231,123
-0700:20260611040459.240500,172.16.40.122,0,172.16.40.174,5001,-1,0.0,1.0,120717568,965740544,925,0,0,4120854346931896320,0,0,0
-0700:20260611040500.240501,172.16.40.122,41334,172.16.40.174,5001,1,1.0,2.0,29229056,233832448,223,0,0,205,145,4240,119
-0700:20260611040500.240500,172.16.40.122,41336,172.16.40.174,5001,2,1.0,2.0,29360128,234881024,224,0,0,182,129,4333,130
-0700:20260611040500.240586,172.16.40.122,41330,172.16.40.174,5001,3,1.0,2.0,29097984,232783872,222,0,0,224,159,4304,140
-0700:20260611040500.240500,172.16.40.122,41332,172.16.40.174,5001,4,1.0,2.0,29097984,232783872,222,0,0,189,134,4258,117
-0700:20260611040500.240500,172.16.40.122,0,172.16.40.174,5001,-1,1.0,2.0,116785152,934281216,891,0,0,4120854346931896320,0,0,0
-0700:20260611040501.240500,172.16.40.122,41332,172.16.40.174,5001,4,2.0,3.0,29229056,233832448,223,0,0,200,142,4311,143
-0700:20260611040501.240501,172.16.40.122,41334,172.16.40.174,5001,1,2.0,3.0,29097984,232783872,222,0,0,205,145,4262,85
-0700:20260611040501.240500,172.16.40.122,41336,172.16.40.174,5001,2,2.0,3.0,29360128,234881024,224,0,0,182,129,4321,135
