recv,pcap,sysctl,iter,mbps,recv_cpu_mean_pct,tx_packets,rx_packets,packets_loss,note
pi4-1,broad-coverage,0,1,500,17.02,5283201,2324724,2958477,ok
pi4-1,broad-coverage,0,2,500,16.33,5153201,2267520,2885681,ok
pi4-1,broad-coverage,0,3,500,16.28,5064801,2228649,2836152,ok
pi4-1,vxlan-k8s-pure,0,1,500,17.17,2080211,2080374,-163,ok
pi4-1,vxlan-k8s-pure,0,2,500,17.08,2080208,2080377,-169,ok
pi4-1,vxlan-k8s-pure,0,3,500,17.28,2080207,2080371,-164,ok
pi4-1,broad-coverage,1,1,500,15.85,4976401,2189734,2786667,ok
pi4-1,broad-coverage,1,2,500,15.94,4945201,2176001,2769200,ok
pi4-1,broad-coverage,1,3,500,15.8,4976401,2189739,2786662,ok
pi4-1,vxlan-k8s-pure,1,1,500,17.17,2080203,2080377,-174,ok
pi4-1,vxlan-k8s-pure,1,2,500,17.21,2080206,2080376,-170,ok
pi4-1,vxlan-k8s-pure,1,3,500,17.15,2080203,2080351,-148,ok
pi3-1,broad-coverage,0,1,80,15.0,1931762,856933,1074829,ok
pi3-1,broad-coverage,0,2,80,14.43,1931762,857547,1074215,ok
pi3-1,broad-coverage,0,3,80,14.15,1931762,857541,1074221,ok
pi3-1,vxlan-k8s-pure,0,1,80,12.35,332833,333006,-173,ok
pi3-1,vxlan-k8s-pure,0,2,80,12.26,332833,332996,-163,ok
pi3-1,vxlan-k8s-pure,0,3,80,12.17,332833,332980,-147,ok
pi3-1,broad-coverage,1,1,80,13.99,1931762,857570,1074192,ok
pi3-1,broad-coverage,1,2,80,14.08,1931762,857552,1074210,ok
pi3-1,broad-coverage,1,3,80,14.24,1931762,857585,1074177,ok
pi3-1,vxlan-k8s-pure,1,1,80,12.07,332833,332994,-161,ok
pi3-1,vxlan-k8s-pure,1,2,80,11.95,332833,333028,-195,ok
pi3-1,vxlan-k8s-pure,1,3,80,12.44,332833,332999,-166,ok
