nn,sender,recv,proto,sysctl,throughput_mbps_recv,retransmits,cpu_recv_pct,thr_p50,thr_min,thr_max,thr_cv_pct,drift_pct_per_hour,tx_packets,failed_packets,cpu_recv_mean_pct,max_temp_recv,max_temp_send,throttled_recv,throttled_send,thermal_clean,note
01,pi5-1,pi5-2,iperf3-tcp,0,936.44830726638,0,8.659384371720144,936.3844516022375,925.592705921527,968.1919499879081,0.5290221352579577,-0.00898781216046857,,,,60.4,57.6,0xe0000,,True,
02,pi5-1,pi5-2,iperf3-tcp,1,936.4481726874619,0,8.60731176281552,936.4232992183779,923.776074406642,970.852216183108,0.41412086498549733,-0.015638805408872015,,,,60.4,57.6,0xe0000,,True,
03,pi5-2,pi4-1,iperf3-tcp,0,936.4399310994486,0,66.2250472159213,939.5250480009646,905.9878083633799,966.7493867190265,0.8456087319940446,-0.016815215229612396,,,,38.9,59.3,,0xe0000,True,
04,pi5-2,pi4-1,iperf3-tcp,1,936.4380882650217,0,62.32325213337656,936.3774750008516,910.456815420744,971.0433517813186,0.8998187192268011,-0.022150677345749475,,,,38.4,59.3,,0xe0000,True,
05,pi5-2,pi3-1,iperf3-tcp,0,93.9056332818169,10669,14.915559864180375,94.28344725355674,79.69807024709543,113.13103525130961,3.938653514861993,-0.06336599960540075,,,,47.8,56.0,,0xe0000,True,
06,pi5-2,pi3-1,iperf3-tcp,1,93.9068505841932,10478,14.94576602951251,93.33250472499441,80.7405926257171,116.27334246003626,3.784077185956287,-0.06226535688074688,,,,47.2,55.4,,0xe0000,True,
07,pi5-1,pi5-2,iperf2-tcp,0,936.4547022350653,,,936.378368,920.649728,948.96128,0.52975454758889,-0.004807852918299945,,,,59.8,57.1,0xe0000,,True,
08,pi5-1,pi5-2,iperf2-tcp,1,936.455576291192,,,935.329792,923.795456,954.20416,0.5354350892151712,-0.0036753570039143057,,,,59.3,56.5,0xe0000,,True,
09,pi5-2,pi3-1,tcpreplay-vxlan,0,,,,,,,,,,,10.398938888888887,43.5,65.3,,0xe0000,True,
10,pi5-2,pi3-1,tcpreplay-vxlan,1,,,,,,,,,,,10.419994444444443,42.9,64.8,,0xe0000,True,
