time,srcaddress,srcport,dstaddr,dstport,transferid,istart,iend,bytes,speed,writecnt,writeerr,tcpretry,tcpcwnd,tcppcwnd,tcprtt,tcprttvar
-0700:20260612020457.546481,172.16.40.122,54948,172.16.40.174,5001,1,0.0,1.0,30277696,242221568,232,0,0,209,148,4254,141
-0700:20260612020457.546574,172.16.40.122,54946,172.16.40.174,5001,3,0.0,1.0,29884480,239075840,229,0,0,205,145,4226,154
-0700:20260612020457.546481,172.16.40.122,54944,172.16.40.174,5001,4,0.0,1.0,30408768,243270144,233,0,0,195,138,4222,161
-0700:20260612020457.546482,172.16.40.122,54942,172.16.40.174,5001,2,0.0,1.0,30670912,245367296,235,0,0,264,187,4303,138
-0700:20260612020457.546481,172.16.40.122,0,172.16.40.174,5001,-1,0.0,1.0,121241856,969934848,929,0,0,3905805257111764992,0,0,0
-0700:20260612020458.546481,172.16.40.122,54948,172.16.40.174,5001,1,1.0,2.0,29229056,233832448,223,0,0,209,148,4301,148
-0700:20260612020458.546481,172.16.40.122,54944,172.16.40.174,5001,4,1.0,2.0,29229056,233832448,223,0,0,195,138,4254,141
-0700:20260612020458.546482,172.16.40.122,54942,172.16.40.174,5001,2,1.0,2.0,29491200,235929600,225,0,0,264,187,4224,150
-0700:20260612020458.546574,172.16.40.122,54946,172.16.40.174,5001,3,1.0,2.0,29884416,239075328,228,0,0,230,163,4268,113
-0700:20260612020458.546481,172.16.40.122,0,172.16.40.174,5001,-1,1.0,2.0,117833728,942669824,899,0,0,3905805257111764992,0,0,0
-0700:20260612020459.546482,172.16.40.122,54942,172.16.40.174,5001,2,2.0,3.0,28704768,229638144,219,0,0,264,187,4224,162
-0700:20260612020459.546481,172.16.40.122,54948,172.16.40.174,5001,1,2.0,3.0,29097984,232783872,222,0,0,209,148,4294,112
-0700:20260612020459.546481,172.16.40.122,54944,172.16.40.174,5001,4,2.0,3.0,29229056,233832448,223,0,0,207,147,4250,122
-0700:20260612020459.546574,172.16.40.122,54946,172.16.40.174,5001,3,2.0,3.0,29097984,232783872,222,0,0,230,163,4387,225
-0700:20260612020459.546481,172.16.40.122,0,172.16.40.174,5001,-1,2.0,3.0,116129792,929038336,886,0,0,3905805257111764992,0,0,0
-0700:20260612020500.546481,172.16.40.122,54948,172.16.40.174,5001,1,3.0,4.0,29229056,233832448,223,0,0,209,148,4287,118
-0700:20260612020500.546481,172.16.40.122,54944,172.16.40.174,5001,4,3.0,4.0,29229056,233832448,223,0,0,207,147,4310,123
