pair,scenario,cell,proto,sysctl,dur_s,scenario_iface,scenario_v4,mbps,retransmits,kernel_has_sysctl,status
hp1-hp3,vlan,cell-01,tcp,0,30,vlan100,10.10.40.5,18876.0,1432,yes,ok
hp1-hp3,vlan,cell-02,tcp,1,30,vlan100,10.10.40.5,19215.1,4674,yes,ok
hp1-hp3,vlan,cell-03,udp,0,30,vlan100,10.10.40.5,6793.9,0,yes,ok
hp1-hp3,vlan,cell-04,udp,1,30,vlan100,10.10.40.5,6805.7,0,yes,ok
hp1-hp3,qinq,cell-01,tcp,0,30,cvlan100,10.10.41.5,0.0,28,yes,ok
hp1-hp3,qinq,cell-02,tcp,1,30,cvlan100,10.10.41.5,0.0,28,yes,ok
hp1-hp3,qinq,cell-03,udp,0,30,cvlan100,10.10.41.5,5714.2,0,yes,ok
hp1-hp3,qinq,cell-04,udp,1,30,cvlan100,10.10.41.5,5715.6,0,yes,ok
hp1-hp3,vxlan,cell-01,tcp,0,30,vxlan10,192.168.100.2,17617.3,1070,yes,ok
hp1-hp3,vxlan,cell-02,tcp,1,30,vxlan10,192.168.100.2,16289.8,2330,yes,ok
hp1-hp3,vxlan,cell-03,udp,0,30,vxlan10,192.168.100.2,5847.1,0,yes,ok
hp1-hp3,vxlan,cell-04,udp,1,30,vxlan10,192.168.100.2,5775.9,0,yes,ok
