pair,scenario,cell,proto,sysctl,dur_s,scenario_iface,scenario_v4,mbps,retransmits,kernel_has_sysctl,status
pi5-pair,vlan,cell-01,tcp,0,60,vlan100,10.10.40.5,938.9,0,yes,ok
pi5-pair,vlan,cell-02,tcp,1,60,vlan100,10.10.40.5,939.0,0,yes,ok
pi5-pair,vlan,cell-03,udp,0,60,vlan100,10.10.40.5,944.9,0,yes,ok
pi5-pair,vlan,cell-04,udp,1,60,vlan100,10.10.40.5,944.9,12,yes,ok
pi5-pair,qinq,cell-01,tcp,0,60,cvlan100,10.10.41.5,936.5,0,yes,ok
pi5-pair,qinq,cell-02,tcp,1,60,cvlan100,10.10.41.5,936.5,0,yes,ok
pi5-pair,qinq,cell-03,udp,0,60,cvlan100,10.10.41.5,941.9,0,yes,ok
pi5-pair,qinq,cell-04,udp,1,60,cvlan100,10.10.41.5,941.9,6,yes,ok
pi5-pair,vxlan,cell-01,tcp,0,60,vxlan10,192.168.100.2,908.9,0,yes,ok
pi5-pair,vxlan,cell-02,tcp,1,60,vxlan10,192.168.100.2,908.9,0,yes,ok
pi5-pair,vxlan,cell-03,udp,0,60,vxlan10,192.168.100.2,911.9,0,yes,ok
pi5-pair,vxlan,cell-04,udp,1,60,vxlan10,192.168.100.2,911.9,0,yes,ok
hp1-hp3,vlan,cell-01,tcp,0,60,vlan100,10.10.40.5,18500.2,6070,yes,ok
hp1-hp3,vlan,cell-02,tcp,1,60,vlan100,10.10.40.5,17251.5,13513,yes,ok
hp1-hp3,vlan,cell-03,udp,0,60,vlan100,10.10.40.5,6927.6,0,yes,ok
hp1-hp3,vlan,cell-04,udp,1,60,vlan100,10.10.40.5,6911.6,0,yes,ok
hp1-hp3,qinq,cell-01,tcp,0,60,cvlan100,10.10.41.5,17690.0,3458,yes,ok
hp1-hp3,qinq,cell-02,tcp,1,60,cvlan100,10.10.41.5,15281.1,15734,yes,ok
hp1-hp3,qinq,cell-03,udp,0,60,cvlan100,10.10.41.5,5988.3,0,yes,ok
hp1-hp3,qinq,cell-04,udp,1,60,cvlan100,10.10.41.5,5858.1,0,yes,ok
hp1-hp3,vxlan,cell-01,tcp,0,60,vxlan10,192.168.100.2,17102.7,4800,yes,ok
hp1-hp3,vxlan,cell-02,tcp,1,60,vxlan10,192.168.100.2,15706.8,4072,yes,ok
hp1-hp3,vxlan,cell-03,udp,0,60,vxlan10,192.168.100.2,5659.2,0,yes,ok
hp1-hp3,vxlan,cell-04,udp,1,60,vxlan10,192.168.100.2,5674.7,0,yes,ok
hp2-hp5,vlan,cell-01,tcp,0,60,vlan100,10.10.40.5,9388.2,8314,yes,ok
hp2-hp5,vlan,cell-02,tcp,1,60,vlan100,10.10.40.5,9386.9,9869,yes,ok
hp2-hp5,vlan,cell-03,udp,0,60,vlan100,10.10.40.5,7446.6,0,yes,ok
hp2-hp5,vlan,cell-04,udp,1,60,vlan100,10.10.40.5,7458.6,0,yes,ok
hp2-hp5,qinq,cell-01,tcp,0,60,cvlan100,10.10.41.5,8956.2,3525,yes,ok
hp2-hp5,qinq,cell-02,tcp,1,60,cvlan100,10.10.41.5,8716.2,4006,yes,ok
hp2-hp5,qinq,cell-03,udp,0,60,cvlan100,10.10.41.5,6071.6,0,yes,ok
hp2-hp5,qinq,cell-04,udp,1,60,cvlan100,10.10.41.5,6116.7,0,yes,ok
hp2-hp5,vxlan,cell-01,tcp,0,60,vxlan10,192.168.100.2,9080.0,9967,yes,ok
hp2-hp5,vxlan,cell-02,tcp,1,60,vxlan10,192.168.100.2,9087.6,8302,yes,ok
hp2-hp5,vxlan,cell-03,udp,0,60,vxlan10,192.168.100.2,6151.3,0,yes,ok
hp2-hp5,vxlan,cell-04,udp,1,60,vxlan10,192.168.100.2,6165.8,0,yes,ok
