pair,scenario,cell,proto,sysctl,dur_s,scenario_iface,scenario_v4,mbps,retransmits,kernel_has_sysctl,status
pi5-pair,vlan,cell-01,tcp,0,10,vlan100,10.10.40.5,938.8,0,yes,ok
pi5-pair,vlan,cell-02,tcp,1,10,vlan100,10.10.40.5,938.8,0,yes,ok
pi5-pair,vlan,cell-03,udp,0,10,vlan100,10.10.40.5,945.1,0,yes,ok
pi5-pair,vlan,cell-04,udp,1,10,vlan100,10.10.40.5,945.1,0,yes,ok
pi5-pair,qinq,cell-01,tcp,0,10,cvlan100,10.10.41.5,936.3,0,yes,ok
pi5-pair,qinq,cell-02,tcp,1,10,cvlan100,10.10.41.5,936.3,0,yes,ok
pi5-pair,qinq,cell-03,udp,0,10,cvlan100,10.10.41.5,942.2,0,yes,ok
pi5-pair,qinq,cell-04,udp,1,10,cvlan100,10.10.41.5,942.1,0,yes,ok
pi5-pair,vxlan,cell-01,tcp,0,10,vxlan10,192.168.100.2,908.7,0,yes,ok
pi5-pair,vxlan,cell-02,tcp,1,10,vxlan10,192.168.100.2,908.6,0,yes,ok
pi5-pair,vxlan,cell-03,udp,0,10,vxlan10,192.168.100.2,912.1,0,yes,ok
pi5-pair,vxlan,cell-04,udp,1,10,vxlan10,192.168.100.2,912.1,0,yes,ok
hp1-hp3,vlan,cell-01,tcp,0,10,vlan100,10.10.40.5,16196.1,2705,yes,ok
hp1-hp3,vlan,cell-02,tcp,1,10,vlan100,10.10.40.5,16842.9,1683,yes,ok
hp1-hp3,vlan,cell-03,udp,0,10,vlan100,10.10.40.5,7203.1,0,yes,ok
hp1-hp3,vlan,cell-04,udp,1,10,vlan100,10.10.40.5,6965.9,0,yes,ok
hp1-hp3,qinq,cell-01,tcp,0,10,cvlan100,10.10.41.5,0.0,20,yes,ok
hp1-hp3,qinq,cell-02,tcp,1,10,cvlan100,10.10.41.5,0.0,20,yes,ok
hp1-hp3,qinq,cell-03,udp,0,10,cvlan100,10.10.41.5,5793.6,0,yes,ok
hp1-hp3,qinq,cell-04,udp,1,10,cvlan100,10.10.41.5,5847.1,0,yes,ok
hp1-hp3,vxlan,cell-01,tcp,0,10,vxlan10,192.168.100.2,16526.8,2723,yes,ok
hp1-hp3,vxlan,cell-02,tcp,1,10,vxlan10,192.168.100.2,17078.8,2235,yes,ok
hp1-hp3,vxlan,cell-03,udp,0,10,vxlan10,192.168.100.2,5589.8,0,yes,ok
hp1-hp3,vxlan,cell-04,udp,1,10,vxlan10,192.168.100.2,5829.4,0,yes,ok
hp2-hp5,vlan,cell-01,tcp,0,10,vlan100,10.10.40.5,9369.7,865,yes,ok
hp2-hp5,vlan,cell-02,tcp,1,10,vlan100,10.10.40.5,9388.6,754,yes,ok
hp2-hp5,vlan,cell-03,udp,0,10,vlan100,10.10.40.5,7371.1,0,yes,ok
hp2-hp5,vlan,cell-04,udp,1,10,vlan100,10.10.40.5,7392.9,0,yes,ok
hp2-hp5,qinq,cell-01,tcp,0,10,cvlan100,10.10.41.5,8378.8,1230,yes,ok
hp2-hp5,qinq,cell-02,tcp,1,10,cvlan100,10.10.41.5,8675.5,1822,yes,ok
hp2-hp5,qinq,cell-03,udp,0,10,cvlan100,10.10.41.5,6120.9,0,yes,ok
hp2-hp5,qinq,cell-04,udp,1,10,cvlan100,10.10.41.5,6088.6,0,yes,ok
hp2-hp5,vxlan,cell-01,tcp,0,10,vxlan10,192.168.100.2,9086.9,1220,yes,ok
hp2-hp5,vxlan,cell-02,tcp,1,10,vxlan10,192.168.100.2,9087.2,1710,yes,ok
hp2-hp5,vxlan,cell-03,udp,0,10,vxlan10,192.168.100.2,6087.2,0,yes,ok
hp2-hp5,vxlan,cell-04,udp,1,10,vxlan10,192.168.100.2,6192.9,0,yes,ok
