Linux 7.0.9 (hp3) 	06/16/2026 	_x86_64_	(8 CPU)

07:56:05 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:56:06 PM  all    1.26    0.00    3.14    0.00    0.13    8.05    0.00    0.00    0.00   87.42
07:56:06 PM    0    5.21    0.00   10.42    0.00    1.04    0.00    0.00    0.00    0.00   83.33
07:56:06 PM    1    5.00    0.00   15.00    0.00    0.00    0.00    0.00    0.00    0.00   80.00
07:56:06 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:56:06 PM    3    0.00    0.00    0.00    0.00    0.00   12.12    0.00    0.00    0.00   87.88
07:56:06 PM    4    0.00    0.00    0.00    0.00    0.00   20.00    0.00    0.00    0.00   80.00
07:56:06 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:56:06 PM    6    0.00    0.00    0.00    0.00    0.00   16.00    0.00    0.00    0.00   84.00
07:56:06 PM    7    0.00    0.00    0.00    0.00    0.00   16.00    0.00    0.00    0.00   84.00

07:56:06 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:56:07 PM  all    1.75    0.00    4.88    0.00    0.00   10.76    0.00    0.00    0.00   82.60
07:56:07 PM    0    6.93    0.00   20.79    0.00    0.00    0.00    0.00    0.00    0.00   72.28
07:56:07 PM    1    7.07    0.00   18.18    0.00    0.00    0.00    0.00    0.00    0.00   74.75
07:56:07 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:56:07 PM    3    0.00    0.00    0.00    0.00    0.00   19.00    0.00    0.00    0.00   81.00
07:56:07 PM    4    0.00    0.00    0.00    0.00    0.00   23.23    0.00    0.00    0.00   76.77
07:56:07 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:56:07 PM    6    0.00    0.00    0.00    0.00    0.00   22.00    0.00    0.00    0.00   78.00
07:56:07 PM    7    0.00    0.00    0.00    0.00    0.00   22.00    0.00    0.00    0.00   78.00

07:56:07 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:56:08 PM  all    1.86    0.00    5.32    0.00    0.00   10.77    0.00    0.00    0.00   82.05
07:56:08 PM    0    7.69    0.00   21.15    0.00    0.00    0.00    0.00    0.00    0.00   71.15
07:56:08 PM    1    6.80    0.00   20.39    0.00    0.00    0.00    0.00    0.00    0.00   72.82
07:56:08 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:56:08 PM    3    0.00    0.00    0.00    0.00    0.00   19.00    0.00    0.00    0.00   81.00
07:56:08 PM    4    0.00    0.00    0.00    0.00    0.00   23.76    0.00    0.00    0.00   76.24
07:56:08 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:56:08 PM    6    0.00    0.00    0.00    0.00    0.00   22.00    0.00    0.00    0.00   78.00
07:56:08 PM    7    0.00    0.00    0.00    0.00    0.00   22.00    0.00    0.00    0.00   78.00

07:56:08 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:56:09 PM  all    1.86    0.00    5.58    0.00    0.12   10.53    0.00    0.00    0.00   81.91
07:56:09 PM    0    6.86    0.00   19.61    0.00    0.00    0.00    0.00    0.00    0.00   73.53
07:56:09 PM    1    7.48    0.00   23.36    0.00    0.93    0.00    0.00    0.00    0.00   68.22
07:56:09 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:56:09 PM    3    0.00    0.00    0.00    0.00    0.00   19.00    0.00    0.00    0.00   81.00
07:56:09 PM    4    0.00    0.00    0.00    0.00    0.00   22.22    0.00    0.00    0.00   77.78
07:56:09 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:56:09 PM    6    0.00    0.00    0.00    0.00    0.00   22.22    0.00    0.00    0.00   77.78
07:56:09 PM    7    0.00    0.00    0.00    0.00    0.00   22.00    0.00    0.00    0.00   78.00

07:56:09 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:56:10 PM  all    2.22    0.00    5.31    0.12    0.37   10.37    0.00    0.00    0.00   81.60
07:56:10 PM    0    8.57    0.00   20.00    0.00    0.95    0.00    0.00    0.00    0.00   70.48
07:56:10 PM    1    8.57    0.00   20.00    0.95    0.00    0.00    0.00    0.00    0.00   70.48
07:56:10 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:56:10 PM    3    0.00    0.00    0.00    0.00    0.00   18.18    0.00    0.00    0.00   81.82
07:56:10 PM    4    0.00    0.00    0.00    0.00    0.99   22.77    0.00    0.00    0.00   76.24
07:56:10 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:56:10 PM    6    0.00    0.00    0.98    0.00    0.98   21.57    0.00    0.00    0.00   76.47
07:56:10 PM    7    0.00    0.00    0.00    0.00    0.00   21.43    0.00    0.00    0.00   78.57

07:56:10 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:56:11 PM  all    2.22    0.00    5.19    0.12    0.00   10.62    0.00    0.00    0.00   81.85
07:56:11 PM    0    8.57    0.00   19.05    0.95    0.00    0.00    0.00    0.00    0.00   71.43
07:56:11 PM    1    8.57    0.00   20.95    0.00    0.00    0.00    0.00    0.00    0.00   70.48
07:56:11 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:56:11 PM    3    0.00    0.00    0.00    0.00    0.00   19.00    0.00    0.00    0.00   81.00
07:56:11 PM    4    0.00    0.00    0.00    0.00    0.00   23.00    0.00    0.00    0.00   77.00
07:56:11 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:56:11 PM    6    0.00    0.00    0.00    0.00    0.00   22.00    0.00    0.00    0.00   78.00
07:56:11 PM    7    0.00    0.00    0.00    0.00    0.00   22.00    0.00    0.00    0.00   78.00

07:56:11 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:56:12 PM  all    2.10    0.00    5.31    0.00    0.12   10.62    0.00    0.00    0.00   81.85
07:56:12 PM    0    7.84    0.00   19.61    0.00    0.00    0.00    0.00    0.00    0.00   72.55
07:56:12 PM    1    8.41    0.00   21.50    0.00    0.00    0.00    0.00    0.00    0.00   70.09
07:56:12 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:56:12 PM    3    0.00    0.00    0.00    0.00    0.99   18.81    0.00    0.00    0.00   80.20
07:56:12 PM    4    0.00    0.00    0.00    0.00    0.00   23.00    0.00    0.00    0.00   77.00
07:56:12 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:56:12 PM    6    0.00    0.00    0.00    0.00    0.00   22.00    0.00    0.00    0.00   78.00
07:56:12 PM    7    0.00    0.00    0.00    0.00    0.00   22.00    0.00    0.00    0.00   78.00

07:56:12 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:56:13 PM  all    2.22    0.00    5.55    0.00    0.12   10.60    0.00    0.00    0.00   81.50
07:56:13 PM    0    8.49    0.00   21.70    0.00    0.00    0.00    0.00    0.00    0.00   69.81
07:56:13 PM    1    8.49    0.00   20.75    0.00    0.00    0.94    0.00    0.00    0.00   69.81
07:56:13 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:56:13 PM    3    0.00    0.00    0.00    0.00    0.00   18.18    0.00    0.00    0.00   81.82
07:56:13 PM    4    0.00    0.00    0.00    0.00    0.00   23.23    0.00    0.00    0.00   76.77
07:56:13 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:56:13 PM    6    0.00    0.00    0.00    0.00    0.00   22.00    0.00    0.00    0.00   78.00
07:56:13 PM    7    0.00    0.00    0.00    0.00    0.99   21.78    0.00    0.00    0.00   77.23

07:56:13 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:56:14 PM  all    1.61    0.00    5.45    0.00    0.12   10.78    0.00    0.00    0.00   82.03
07:56:14 PM    0    5.94    0.00   18.81    0.00    0.99    0.00    0.00    0.00    0.00   74.26
07:56:14 PM    1    6.73    0.00   24.04    0.00    0.00    0.00    0.00    0.00    0.00   69.23
07:56:14 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:56:14 PM    3    0.00    0.00    0.00    0.00    0.00   19.00    0.00    0.00    0.00   81.00
07:56:14 PM    4    0.00    0.00    0.00    0.00    0.00   23.76    0.00    0.00    0.00   76.24
07:56:14 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:56:14 PM    6    0.00    0.00    0.00    0.00    0.00   22.00    0.00    0.00    0.00   78.00
07:56:14 PM    7    0.00    0.00    0.00    0.00    0.00   21.78    0.00    0.00    0.00   78.22

07:56:14 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:56:15 PM  all    1.74    0.00    5.60    0.00    0.00   10.70    0.00    0.00    0.00   81.97
07:56:15 PM    0    6.86    0.00   20.59    0.00    0.00    0.00    0.00    0.00    0.00   72.55
07:56:15 PM    1    6.67    0.00   22.86    0.00    0.00    0.00    0.00    0.00    0.00   70.48
07:56:15 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:56:15 PM    3    0.00    0.00    0.00    0.00    0.00   19.00    0.00    0.00    0.00   81.00
07:56:15 PM    4    0.00    0.00    0.00    0.00    0.00   23.23    0.00    0.00    0.00   76.77
07:56:15 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:56:15 PM    6    0.00    0.00    0.00    0.00    0.00   22.22    0.00    0.00    0.00   77.78
07:56:15 PM    7    0.00    0.00    0.00    0.00    0.00   22.22    0.00    0.00    0.00   77.78

07:56:15 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:56:16 PM  all    1.63    0.00    4.64    0.00    0.13   10.66    0.00    0.00    0.00   82.94
07:56:16 PM    0    7.14    0.00   18.37    0.00    0.00    0.00    0.00    0.00    0.00   74.49
07:56:16 PM    1    6.00    0.00   19.00    0.00    1.00    0.00    0.00    0.00    0.00   74.00
07:56:16 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:56:16 PM    3    0.00    0.00    0.00    0.00    0.00   19.00    0.00    0.00    0.00   81.00
07:56:16 PM    4    0.00    0.00    0.00    0.00    0.00   23.00    0.00    0.00    0.00   77.00
07:56:16 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:56:16 PM    6    0.00    0.00    0.00    0.00    0.00   22.00    0.00    0.00    0.00   78.00
07:56:16 PM    7    0.00    0.00    0.00    0.00    0.00   21.21    0.00    0.00    0.00   78.79

07:56:16 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:56:17 PM  all    1.50    0.00    4.51    0.00    0.38   10.76    0.00    0.00    0.00   82.85
07:56:17 PM    0    6.12    0.00   16.33    0.00    1.02    0.00    0.00    0.00    0.00   76.53
07:56:17 PM    1    6.00    0.00   20.00    0.00    0.00    0.00    0.00    0.00    0.00   74.00
07:56:17 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:56:17 PM    3    0.00    0.00    0.00    0.00    0.00   19.00    0.00    0.00    0.00   81.00
07:56:17 PM    4    0.00    0.00    0.00    0.00    1.00   23.00    0.00    0.00    0.00   76.00
07:56:17 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:56:17 PM    6    0.00    0.00    0.00    0.00    0.99   21.78    0.00    0.00    0.00   77.23
07:56:17 PM    7    0.00    0.00    0.00    0.00    0.00   22.00    0.00    0.00    0.00   78.00

07:56:17 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:56:18 PM  all    1.88    0.00    4.63    0.00    0.00   10.76    0.00    0.00    0.00   82.73
07:56:18 PM    0    7.14    0.00   18.37    0.00    0.00    0.00    0.00    0.00    0.00   74.49
07:56:18 PM    1    7.92    0.00   18.81    0.00    0.00    0.00    0.00    0.00    0.00   73.27
07:56:18 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:56:18 PM    3    0.00    0.00    0.00    0.00    0.00   18.18    0.00    0.00    0.00   81.82
07:56:18 PM    4    0.00    0.00    0.00    0.00    0.00   23.00    0.00    0.00    0.00   77.00
07:56:18 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:56:18 PM    6    0.00    0.00    0.00    0.00    0.00   22.00    0.00    0.00    0.00   78.00
07:56:18 PM    7    0.00    0.00    0.00    0.00    0.00   22.77    0.00    0.00    0.00   77.23

07:56:18 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:56:19 PM  all    1.39    0.00    3.91    0.00    0.13   10.97    0.00    0.00    0.00   83.61
07:56:19 PM    0    5.26    0.00   16.84    0.00    0.00    0.00    0.00    0.00    0.00   77.89
07:56:19 PM    1    6.25    0.00   15.62    0.00    0.00    0.00    0.00    0.00    0.00   78.12
07:56:19 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:56:19 PM    3    0.00    0.00    0.00    0.00    0.99   18.81    0.00    0.00    0.00   80.20
07:56:19 PM    4    0.00    0.00    0.00    0.00    0.00   22.77    0.00    0.00    0.00   77.23
07:56:19 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:56:19 PM    6    0.00    0.00    0.00    0.00    0.00   23.00    0.00    0.00    0.00   77.00
07:56:19 PM    7    0.00    0.00    0.00    0.00    0.00   22.00    0.00    0.00    0.00   78.00

07:56:19 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:56:20 PM  all    1.27    0.00    4.18    0.00    0.13   10.89    0.00    0.00    0.00   83.54
07:56:20 PM    0    6.19    0.00   17.53    0.00    0.00    0.00    0.00    0.00    0.00   76.29
07:56:20 PM    1    4.26    0.00   17.02    0.00    0.00    0.00    0.00    0.00    0.00   78.72
07:56:20 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:56:20 PM    3    0.00    0.00    0.00    0.00    0.00   19.00    0.00    0.00    0.00   81.00
07:56:20 PM    4    0.00    0.00    0.00    0.00    0.00   23.23    0.00    0.00    0.00   76.77
07:56:20 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:56:20 PM    6    0.00    0.00    0.00    0.00    0.00   22.00    0.00    0.00    0.00   78.00
07:56:20 PM    7    0.00    0.00    0.00    0.00    1.00   22.00    0.00    0.00    0.00   77.00

07:56:20 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:56:21 PM  all    1.26    0.00    4.40    0.00    0.13   10.82    0.00    0.00    0.00   83.40
07:56:21 PM    0    5.21    0.00   16.67    0.00    1.04    0.00    0.00    0.00    0.00   77.08
