Linux 7.0.9 (hp3) 	06/16/2026 	_x86_64_	(8 CPU)

07:44:10 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:44:11 PM  all    0.25    0.00   23.70    0.00    0.00   11.91    0.00    0.00    0.00   64.14
07:44:11 PM    0    1.01    0.00   69.70    0.00    0.00    5.05    0.00    0.00    0.00   24.24
07:44:11 PM    1    0.99    0.00   71.29    0.00    0.00    3.96    0.00    0.00    0.00   23.76
07:44:11 PM    2    0.00    0.00   12.62    0.00    0.00   22.33    0.00    0.00    0.00   65.05
07:44:11 PM    3    0.00    0.00   14.56    0.00    0.00   20.39    0.00    0.00    0.00   65.05
07:44:11 PM    4    0.00    0.00   10.00    0.00    0.00   23.00    0.00    0.00    0.00   67.00
07:44:11 PM    5    0.00    0.00   12.00    0.00    0.00   20.00    0.00    0.00    0.00   68.00
07:44:11 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:44:11 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

07:44:11 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:44:12 PM  all    0.38    0.00   45.00    0.00    0.12    9.38    0.00    0.00    0.00   45.12
07:44:12 PM    0    1.00    0.00   98.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00
07:44:12 PM    1    2.00    0.00   97.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00
07:44:12 PM    2    0.00    0.00   42.42    0.00    0.00   20.20    0.00    0.00    0.00   37.37
07:44:12 PM    3    0.00    0.00   43.56    0.00    0.99   16.83    0.00    0.00    0.00   38.61
07:44:12 PM    4    0.00    0.00   36.63    0.00    0.00   19.80    0.00    0.00    0.00   43.56
07:44:12 PM    5    0.00    0.00   42.00    0.00    0.00   16.00    0.00    0.00    0.00   42.00
07:44:12 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:44:12 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

07:44:12 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:44:13 PM  all    0.50    0.00   45.90    0.00    0.37    8.58    0.00    0.00    0.00   44.65
07:44:13 PM    0    1.98    0.00   96.04    0.00    0.99    0.00    0.00    0.00    0.00    0.99
07:44:13 PM    1    2.00    0.00   96.00    0.00    1.00    1.00    0.00    0.00    0.00    0.00
07:44:13 PM    2    0.00    0.00   43.69    0.00    0.97   19.42    0.00    0.00    0.00   35.92
07:44:13 PM    3    0.00    0.00   47.47    0.00    0.00   15.15    0.00    0.00    0.00   37.37
07:44:13 PM    4    0.00    0.00   39.60    0.00    0.00   18.81    0.00    0.00    0.00   41.58
07:44:13 PM    5    0.00    0.00   44.00    0.00    0.00   14.00    0.00    0.00    0.00   42.00
07:44:13 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:44:13 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

07:44:13 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:44:14 PM  all    0.50    0.00   46.44    0.00    0.00    8.24    0.00    0.00    0.00   44.82
07:44:14 PM    0    2.02    0.00   96.97    0.00    0.00    1.01    0.00    0.00    0.00    0.00
07:44:14 PM    1    1.98    0.00   97.03    0.00    0.00    0.00    0.00    0.00    0.00    0.99
07:44:14 PM    2    0.00    0.00   47.00    0.00    0.00   16.00    0.00    0.00    0.00   37.00
07:44:14 PM    3    0.00    0.00   44.55    0.00    0.00   17.82    0.00    0.00    0.00   37.62
07:44:14 PM    4    0.00    0.00   40.00    0.00    0.00   17.00    0.00    0.00    0.00   43.00
07:44:14 PM    5    0.00    0.00   46.00    0.00    0.00   14.00    0.00    0.00    0.00   40.00
07:44:14 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:44:14 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

07:44:14 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:44:15 PM  all    0.25    0.00   41.64    0.00    0.50    8.80    0.00    0.00    0.00   48.82
07:44:15 PM    0    0.99    0.00   90.10    0.00    0.99    0.99    0.00    0.00    0.00    6.93
07:44:15 PM    1    1.00    0.00   92.00    0.00    1.00    1.00    0.00    0.00    0.00    5.00
07:44:15 PM    2    0.00    0.00   46.00    0.00    0.00   16.00    0.00    0.00    0.00   38.00
07:44:15 PM    3    0.00    0.00   41.58    0.00    0.99   18.81    0.00    0.00    0.00   38.61
07:44:15 PM    4    0.00    0.00   32.04    0.00    0.97   16.50    0.00    0.00    0.00   50.49
