Linux 7.0.9 (hp3) 	06/16/2026 	_x86_64_	(8 CPU)

07:39:36 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:39:37 PM  all    0.37    0.00   27.59    0.00    0.37    9.11    0.00    0.00    0.00   62.55
07:39:37 PM    0    1.00    0.00   69.00    0.00    0.00    5.00    0.00    0.00    0.00   25.00
07:39:37 PM    1    2.02    0.00   71.72    0.00    0.00    2.02    0.00    0.00    0.00   24.24
07:39:37 PM    2    0.00    0.00    0.00    0.00    0.99    2.97    0.00    0.00    0.00   96.04
07:39:37 PM    3    0.00    0.00    0.00    0.00    0.99    2.97    0.00    0.00    0.00   96.04
07:39:37 PM    4    0.00    0.00   13.00    0.00    0.00   29.00    0.00    0.00    0.00   58.00
07:39:37 PM    5    0.00    0.00   68.00    0.00    0.00    5.00    0.00    0.00    0.00   27.00
07:39:37 PM    6    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00    0.00   99.01
07:39:37 PM    7    0.00    0.00    0.00    0.00    0.00   26.26    0.00    0.00    0.00   73.74

07:39:37 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:39:38 PM  all    0.38    0.00   37.05    0.00    0.38   10.26    0.00    0.00    0.00   51.94
07:39:38 PM    0    2.00    0.00   93.00    0.00    1.00    2.00    0.00    0.00    0.00    2.00
07:39:38 PM    1    1.03    0.00   93.81    0.00    0.00    3.09    0.00    0.00    0.00    2.06
07:39:38 PM    2    0.00    0.00    0.00    0.00    0.00    3.03    0.00    0.00    0.00   96.97
07:39:38 PM    3    0.00    0.00    0.00    0.00    0.00    3.06    0.00    0.00    0.00   96.94
07:39:38 PM    4    0.00    0.00   15.69    0.00    0.98   29.41    0.00    0.00    0.00   53.92
07:39:38 PM    5    0.00    0.00   93.00    0.00    0.00    4.00    0.00    0.00    0.00    3.00
07:39:38 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:39:38 PM    7    0.00    0.00    2.91    0.00    0.97   35.92    0.00    0.00    0.00   60.19

07:39:38 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:39:39 PM  all    0.25    0.00   36.45    0.00    0.37   11.74    0.00    0.00    0.00   51.19
07:39:39 PM    0    1.01    0.00   94.95    0.00    0.00    2.02    0.00    0.00    0.00    2.02
07:39:39 PM    1    0.99    0.00   91.09    0.00    0.99    4.95    0.00    0.00    0.00    1.98
07:39:39 PM    2    0.00    0.00    0.00    0.00    1.00    4.00    0.00    0.00    0.00   95.00
07:39:39 PM    3    0.00    0.00    0.00    0.00    0.99    3.96    0.00    0.00    0.00   95.05
07:39:39 PM    4    0.00    0.00   27.00    0.00    0.00   22.00    0.00    0.00    0.00   51.00
07:39:39 PM    5    0.00    0.00   72.00    0.00    0.00   14.00    0.00    0.00    0.00   14.00
07:39:39 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:39:39 PM    7    0.00    0.00    7.00    0.00    0.00   43.00    0.00    0.00    0.00   50.00

07:39:39 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:39:40 PM  all    0.50    0.00   37.08    0.00    0.37   10.99    0.00    0.00    0.00   51.06
07:39:40 PM    0    2.00    0.00   91.00    0.00    0.00    3.00    0.00    0.00    0.00    4.00
07:39:40 PM    1    2.00    0.00   91.00    0.00    0.00    3.00    0.00    0.00    0.00    4.00
07:39:40 PM    2    0.00    0.00    0.00    0.00    1.01    3.03    0.00    0.00    0.00   95.96
07:39:40 PM    3    0.00    0.00    0.00    0.00    1.01    3.03    0.00    0.00    0.00   95.96
07:39:40 PM    4    0.00    0.00   28.71    0.00    0.00   24.75    0.00    0.00    0.00   46.53
07:39:40 PM    5    0.00    0.00   79.00    0.00    0.00   10.00    0.00    0.00    0.00   11.00
07:39:40 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:39:40 PM    7    0.00    0.00    6.80    0.00    0.97   39.81    0.00    0.00    0.00   52.43

07:39:40 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:39:41 PM  all    0.50    0.00   38.38    0.00    0.50   10.62    0.00    0.00    0.00   50.00
07:39:41 PM    0    1.98    0.00   93.07    0.00    0.99    1.98    0.00    0.00    0.00    1.98
07:39:41 PM    1    2.02    0.00   90.91    0.00    1.01    3.03    0.00    0.00    0.00    3.03
07:39:41 PM    2    0.00    0.00    0.00    0.00    1.00    4.00    0.00    0.00    0.00   95.00
07:39:41 PM    3    0.00    0.00    0.00    0.00    1.01    4.04    0.00    0.00    0.00   94.95
07:39:41 PM    4    0.00    0.00   33.00    0.00    0.00   24.00    0.00    0.00    0.00   43.00
07:39:41 PM    5    0.00    0.00   82.00    0.00    0.00    9.00    0.00    0.00    0.00    9.00
07:39:41 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
07:39:41 PM    7    0.00    0.00    7.92    0.00    0.00   38.61    0.00    0.00    0.00   53.47

07:39:41 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
07:39:42 PM  all    0.38    0.00   39.67    0.00    0.25    9.26    0.00    0.00    0.00   50.44
07:39:42 PM    0    1.02    0.00   95.92    0.00    0.00    1.02    0.00    0.00    0.00    2.04
07:39:42 PM    1    2.02    0.00   92.93    0.00    0.00    3.03    0.00    0.00    0.00    2.02
07:39:42 PM    2    0.00    0.00    0.00    0.00    1.00    4.00    0.00    0.00    0.00   95.00
07:39:42 PM    3    0.00    0.00    0.00    0.00    1.00    4.00    0.00    0.00    0.00   95.00
07:39:42 PM    4    0.00    0.00   37.62    0.00    0.00   16.83    0.00    0.00    0.00   45.54
