Linux 7.0.0 (hp5) 	06/16/2026 	_x86_64_	(8 CPU)

08:26:55 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:26:56 PM  all    0.25    0.00   15.94    0.00    0.25    4.48    0.00    0.00    0.00   79.08
08:26:56 PM    0    0.99    0.00   64.36    0.00    0.00   10.89    0.00    0.00    0.00   23.76
08:26:56 PM    1    0.99    0.00   62.38    0.00    0.00   11.88    0.00    0.00    0.00   24.75
08:26:56 PM    2    0.00    0.00    0.00    0.00    0.00    1.01    0.00    0.00    0.00   98.99
08:26:56 PM    3    0.00    0.00    0.00    0.00    1.00    1.00    0.00    0.00    0.00   98.00
08:26:56 PM    4    0.00    0.00    0.00    0.00    0.99    4.95    0.00    0.00    0.00   94.06
08:26:56 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:26:56 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:26:56 PM    7    0.00    0.00    0.00    0.00    0.00    5.94    0.00    0.00    0.00   94.06

08:26:56 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:26:57 PM  all    0.13    0.00   20.93    0.00    0.25    5.39    0.00    0.00    0.00   73.31
08:26:57 PM    0    1.01    0.00   84.85    0.00    0.00   14.14    0.00    0.00    0.00    0.00
08:26:57 PM    1    0.00    0.00   83.00    0.00    1.00   14.00    0.00    0.00    0.00    2.00
08:26:57 PM    2    0.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   99.00
08:26:57 PM    3    0.00    0.00    0.00    0.00    0.00    2.00    0.00    0.00    0.00   98.00
08:26:57 PM    4    0.00    0.00    0.00    0.00    0.00    6.06    0.00    0.00    0.00   93.94
08:26:57 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:26:57 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:26:57 PM    7    0.00    0.00    0.00    0.00    1.00    6.00    0.00    0.00    0.00   93.00

08:26:57 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:26:58 PM  all    0.25    0.00   20.95    0.00    0.25    5.74    0.00    0.00    0.00   72.82
08:26:58 PM    0    0.99    0.00   84.16    0.00    0.99   12.87    0.00    0.00    0.00    0.99
08:26:58 PM    1    0.98    0.00   81.37    0.00    0.00   14.71    0.00    0.00    0.00    2.94
08:26:58 PM    2    0.00    0.00    0.00    0.00    0.99    1.98    0.00    0.00    0.00   97.03
08:26:58 PM    3    0.00    0.00    0.00    0.00    0.00    2.00    0.00    0.00    0.00   98.00
08:26:58 PM    4    0.00    0.00    0.00    0.00    0.00    7.07    0.00    0.00    0.00   92.93
08:26:58 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:26:58 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:26:58 PM    7    0.00    0.00    0.00    0.00    0.00    7.07    0.00    0.00    0.00   92.93

08:26:58 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:26:59 PM  all    0.37    0.00   21.10    0.00    0.12    5.49    0.00    0.00    0.00   72.91
08:26:59 PM    0    2.00    0.00   84.00    0.00    0.00   14.00    0.00    0.00    0.00    0.00
08:26:59 PM    1    1.00    0.00   85.00    0.00    0.00   14.00    0.00    0.00    0.00    0.00
08:26:59 PM    2    0.00    0.00    0.00    0.00    0.00    2.00    0.00    0.00    0.00   98.00
08:26:59 PM    3    0.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   99.00
08:26:59 PM    4    0.00    0.00    0.00    0.00    0.99    5.94    0.00    0.00    0.00   93.07
08:26:59 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:26:59 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:26:59 PM    7    0.00    0.00    0.00    0.00    0.00    7.00    0.00    0.00    0.00   93.00

08:26:59 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:27:00 PM  all    0.25    0.00   21.10    0.00    0.25    5.62    0.00    0.00    0.00   72.78
08:27:00 PM    0    1.00    0.00   84.00    0.00    0.00   14.00    0.00    0.00    0.00    1.00
08:27:00 PM    1    0.99    0.00   84.16    0.00    0.99   13.86    0.00    0.00    0.00    0.00
