Linux 7.0.0 (hp5) 	06/16/2026 	_x86_64_	(8 CPU)

08:19:29 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:19:30 PM  all    0.75    0.00   14.86    0.00    0.12    5.87    0.00    0.00    0.00   78.40
08:19:30 PM    0    3.00    0.00   60.00    0.00    0.00   15.00    0.00    0.00    0.00   22.00
08:19:30 PM    1    3.03    0.00   59.60    0.00    0.00   15.15    0.00    0.00    0.00   22.22
08:19:30 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:19:30 PM    3    0.00    0.00    0.00    0.00    1.00    4.00    0.00    0.00    0.00   95.00
08:19:30 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:19:30 PM    5    0.00    0.00    0.00    0.00    0.00    5.00    0.00    0.00    0.00   95.00
08:19:30 PM    6    0.00    0.00    0.00    0.00    0.00    3.96    0.00    0.00    0.00   96.04
08:19:30 PM    7    0.00    0.00    0.00    0.00    0.00    3.96    0.00    0.00    0.00   96.04

08:19:30 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:19:31 PM  all    1.24    0.00   18.98    0.00    0.37    7.20    0.00    0.00    0.00   72.21
08:19:31 PM    0    4.95    0.00   75.25    0.00    0.99   18.81    0.00    0.00    0.00    0.00
08:19:31 PM    1    4.95    0.00   76.24    0.00    0.00   18.81    0.00    0.00    0.00    0.00
08:19:31 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:19:31 PM    3    0.00    0.00    0.00    0.00    0.00    5.94    0.00    0.00    0.00   94.06
08:19:31 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:19:31 PM    5    0.00    0.00    0.00    0.00    0.98    5.88    0.00    0.00    0.00   93.14
08:19:31 PM    6    0.00    0.00    0.00    0.00    0.00    4.04    0.00    0.00    0.00   95.96
08:19:31 PM    7    0.00    0.00    0.00    0.00    1.00    4.00    0.00    0.00    0.00   95.00

08:19:31 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:19:32 PM  all    1.13    0.00   18.72    0.00    0.13    7.41    0.00    0.00    0.00   72.61
08:19:32 PM    0    5.05    0.00   74.75    0.00    0.00   19.19    0.00    0.00    0.00    1.01
08:19:32 PM    1    4.04    0.00   75.76    0.00    1.01   19.19    0.00    0.00    0.00    0.00
08:19:32 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:19:32 PM    3    0.00    0.00    0.00    0.00    0.00    6.06    0.00    0.00    0.00   93.94
08:19:32 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:19:32 PM    5    0.00    0.00    0.00    0.00    0.00    5.05    0.00    0.00    0.00   94.95
08:19:32 PM    6    0.00    0.00    0.00    0.00    0.00    5.00    0.00    0.00    0.00   95.00
08:19:32 PM    7    0.00    0.00    0.00    0.00    0.00    5.00    0.00    0.00    0.00   95.00

08:19:32 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:19:33 PM  all    1.37    0.00   18.80    0.00    0.12    7.72    0.00    0.00    0.00   71.98
08:19:33 PM    0    4.95    0.00   75.25    0.00    0.00   19.80    0.00    0.00    0.00    0.00
08:19:33 PM    1    5.94    0.00   74.26    0.00    0.00   19.80    0.00    0.00    0.00    0.00
08:19:33 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:19:33 PM    3    0.00    0.00    0.00    0.00    0.00    6.00    0.00    0.00    0.00   94.00
08:19:33 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:19:33 PM    5    0.00    0.00    0.00    0.00    0.00    6.00    0.00    0.00    0.00   94.00
08:19:33 PM    6    0.00    0.00    0.00    0.00    0.99    3.96    0.00    0.00    0.00   95.05
08:19:33 PM    7    0.00    0.00    0.00    0.00    0.00    6.00    0.00    0.00    0.00   94.00

08:19:33 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:19:34 PM  all    1.38    0.00   18.55    0.00    0.13    7.52    0.00    0.00    0.00   72.43
08:19:34 PM    0    6.06    0.00   73.74    0.00    1.01   19.19    0.00    0.00    0.00    0.00
08:19:34 PM    1    5.05    0.00   75.76    0.00    0.00   19.19    0.00    0.00    0.00    0.00
08:19:34 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:19:34 PM    3    0.00    0.00    0.00    0.00    0.00    6.00    0.00    0.00    0.00   94.00
08:19:34 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:19:34 PM    5    0.00    0.00    0.00    0.00    0.00    6.00    0.00    0.00    0.00   94.00
08:19:34 PM    6    0.00    0.00    0.00    0.00    0.00    5.00    0.00    0.00    0.00   95.00
08:19:34 PM    7    0.00    0.00    0.00    0.00    0.00    5.00    0.00    0.00    0.00   95.00

08:19:34 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:19:35 PM  all    1.25    0.00   18.19    0.00    0.13    8.41    0.00    0.00    0.00   72.02
08:19:35 PM    0    5.05    0.00   72.73    0.00    0.00   22.22    0.00    0.00    0.00    0.00
08:19:35 PM    1    5.05    0.00   73.74    0.00    0.00   21.21    0.00    0.00    0.00    0.00
08:19:35 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:19:35 PM    3    0.00    0.00    0.00    0.00    0.99    6.93    0.00    0.00    0.00   92.08
08:19:35 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:19:35 PM    5    0.00    0.00    0.00    0.00    0.00    7.00    0.00    0.00    0.00   93.00
08:19:35 PM    6    0.00    0.00    0.00    0.00    0.00    5.05    0.00    0.00    0.00   94.95
08:19:35 PM    7    0.00    0.00    0.00    0.00    0.00    5.05    0.00    0.00    0.00   94.95

08:19:35 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:19:36 PM  all    1.36    0.00   18.24    0.00    0.37    8.68    0.00    0.00    0.00   71.34
08:19:36 PM    0    5.94    0.00   72.28    0.00    0.00   21.78    0.00    0.00    0.00    0.00
08:19:36 PM    1    4.90    0.00   72.55    0.00    0.98   21.57    0.00    0.00    0.00    0.00
08:19:36 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:19:36 PM    3    0.00    0.00    0.00    0.00    0.00    7.00    0.00    0.00    0.00   93.00
08:19:36 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:19:36 PM    5    0.00    0.00    0.00    0.00    0.99    6.93    0.00    0.00    0.00   92.08
08:19:36 PM    6    0.00    0.00    0.00    0.00    0.00    5.94    0.00    0.00    0.00   94.06
08:19:36 PM    7    0.00    0.00    0.00    0.00    0.99    5.94    0.00    0.00    0.00   93.07

08:19:36 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:19:37 PM  all    1.12    0.00   18.50    0.00    0.00    8.38    0.00    0.00    0.00   72.00
08:19:37 PM    0    4.00    0.00   74.00    0.00    0.00   22.00    0.00    0.00    0.00    0.00
08:19:37 PM    1    5.00    0.00   74.00    0.00    0.00   21.00    0.00    0.00    0.00    0.00
08:19:37 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:19:37 PM    3    0.00    0.00    0.00    0.00    0.00    7.00    0.00    0.00    0.00   93.00
08:19:37 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:19:37 PM    5    0.00    0.00    0.00    0.00    0.00    6.06    0.00    0.00    0.00   93.94
08:19:37 PM    6    0.00    0.00    0.00    0.00    0.00    5.00    0.00    0.00    0.00   95.00
08:19:37 PM    7    0.00    0.00    0.00    0.00    0.00    5.94    0.00    0.00    0.00   94.06

08:19:37 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:19:38 PM  all    1.25    0.00   18.27    0.00    0.25    8.39    0.00    0.00    0.00   71.84
08:19:38 PM    0    5.94    0.00   71.29    0.00    0.99   21.78    0.00    0.00    0.00    0.00
08:19:38 PM    1    4.04    0.00   74.75    0.00    0.00   21.21    0.00    0.00    0.00    0.00
08:19:38 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:19:38 PM    3    0.00    0.00    0.00    0.00    0.00    7.00    0.00    0.00    0.00   93.00
08:19:38 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:19:38 PM    5    0.00    0.00    0.00    0.00    0.00    7.00    0.00    0.00    0.00   93.00
08:19:38 PM    6    0.00    0.00    0.00    0.00    1.00    5.00    0.00    0.00    0.00   94.00
08:19:38 PM    7    0.00    0.00    0.00    0.00    0.00    5.05    0.00    0.00    0.00   94.95

08:19:38 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:19:39 PM  all    1.25    0.00   18.20    0.00    0.25    8.60    0.00    0.00    0.00   71.70
08:19:39 PM    0    5.05    0.00   72.73    0.00    0.00   22.22    0.00    0.00    0.00    0.00
08:19:39 PM    1    4.95    0.00   73.27    0.00    0.99   20.79    0.00    0.00    0.00    0.00
08:19:39 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:19:39 PM    3    0.00    0.00    0.00    0.00    0.99    6.93    0.00    0.00    0.00   92.08
08:19:39 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:19:39 PM    5    0.00    0.00    0.00    0.00    0.00    7.00    0.00    0.00    0.00   93.00
08:19:39 PM    6    0.00    0.00    0.00    0.00    0.00    5.94    0.00    0.00    0.00   94.06
08:19:39 PM    7    0.00    0.00    0.00    0.00    0.00    6.00    0.00    0.00    0.00   94.00

08:19:39 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:19:40 PM  all    1.50    0.00   18.12    0.00    0.12    8.50    0.00    0.00    0.00   71.75
08:19:40 PM    0    5.00    0.00   73.00    0.00    0.00   21.00    0.00    0.00    0.00    1.00
08:19:40 PM    1    6.93    0.00   71.29    0.00    0.00   21.78    0.00    0.00    0.00    0.00
08:19:40 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:19:40 PM    3    0.00    0.00    0.00    0.00    0.00    7.07    0.00    0.00    0.00   92.93
08:19:40 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:19:40 PM    5    0.00    0.00    0.00    0.00    0.99    6.93    0.00    0.00    0.00   92.08
08:19:40 PM    6    0.00    0.00    0.00    0.00    0.00    5.05    0.00    0.00    0.00   94.95
08:19:40 PM    7    0.00    0.00    0.00    0.00    0.00    6.00    0.00    0.00    0.00   94.00

08:19:40 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:19:41 PM  all    1.25    0.00   18.38    0.00    0.25    8.25    0.00    0.00    0.00   71.88
