pair,scenario,cell,proto,sysctl,dur_s,scenario_iface,scenario_v4,mbps,retransmits,recv_sys_pct,recv_soft_pct,kernel_has_sysctl,status
pi5-pair,vlan,cell-01,tcp,0,60,vlan100,10.10.40.5,938.9,0,1.16,4.63,yes,ok
pi5-pair,vlan,cell-02,tcp,1,60,vlan100,10.10.40.5,939.0,0,1.18,4.67,yes,ok
pi5-pair,vlan,cell-03,udp,0,60,vlan100,10.10.40.5,944.9,0,3.32,10.37,yes,ok
pi5-pair,vlan,cell-04,udp,1,60,vlan100,10.10.40.5,944.9,0,3.29,10.39,yes,ok
pi5-pair,qinq,cell-01,tcp,0,60,cvlan100,10.10.41.5,936.2,0,1.00,5.33,yes,ok
pi5-pair,qinq,cell-02,tcp,1,60,cvlan100,10.10.41.5,936.2,0,1.01,5.33,yes,ok
pi5-pair,qinq,cell-03,udp,0,60,cvlan100,10.10.41.5,941.9,0,3.00,11.97,yes,ok
pi5-pair,qinq,cell-04,udp,1,60,cvlan100,10.10.41.5,941.9,74,2.99,11.96,yes,ok
pi5-pair,vxlan,cell-01,tcp,0,60,vxlan10,192.168.100.2,908.9,0,1.18,5.29,yes,ok
pi5-pair,vxlan,cell-02,tcp,1,60,vxlan10,192.168.100.2,908.9,0,1.18,5.28,yes,ok
pi5-pair,vxlan,cell-03,udp,0,60,vxlan10,192.168.100.2,911.9,0,3.49,15.28,yes,ok
pi5-pair,vxlan,cell-04,udp,1,60,vxlan10,192.168.100.2,911.9,0,3.34,15.32,yes,ok
pi5-pair,mpls,cell-01,tcp,0,60,lo,10.10.43.5,938.8,0,7.71,15.73,yes,ok
pi5-pair,mpls,cell-02,tcp,1,60,lo,10.10.43.5,938.8,0,7.77,15.65,yes,ok
pi5-pair,mpls,cell-03,udp,0,60,lo,10.10.43.5,944.9,0,3.09,11.72,yes,ok
pi5-pair,mpls,cell-04,udp,1,60,lo,10.10.43.5,944.9,0,3.22,11.72,yes,ok
pi5-pair,ipip,cell-01,tcp,0,60,ipip0,10.10.42.5,928.4,0,0.91,5.43,yes,ok
pi5-pair,ipip,cell-02,tcp,1,60,ipip0,10.10.42.5,928.4,0,0.94,5.44,yes,ok
pi5-pair,ipip,cell-03,udp,0,60,ipip0,10.10.42.5,933.1,0,3.15,13.98,yes,ok
pi5-pair,ipip,cell-04,udp,1,60,ipip0,10.10.42.5,933.1,0,3.19,13.93,yes,ok
hp1-hp3,vlan,cell-01,tcp,0,60,vlan100,10.10.40.5,18530.6,5127,38.54,9.43,yes,ok
hp1-hp3,vlan,cell-02,tcp,1,60,vlan100,10.10.40.5,18974.5,3477,36.38,9.65,yes,ok
hp1-hp3,vlan,cell-03,udp,0,60,vlan100,10.10.40.5,7091.3,0,22.68,0.07,yes,ok
hp1-hp3,vlan,cell-04,udp,1,60,vlan100,10.10.40.5,7128.0,0,22.59,0.06,yes,ok
hp1-hp3,qinq,cell-01,tcp,0,60,cvlan100,10.10.41.5,17425.6,6369,44.28,8.70,yes,ok
hp1-hp3,qinq,cell-02,tcp,1,60,cvlan100,10.10.41.5,15588.1,9728,39.61,8.71,yes,ok
hp1-hp3,qinq,cell-03,udp,0,60,cvlan100,10.10.41.5,5819.1,0,22.93,0.06,yes,ok
hp1-hp3,qinq,cell-04,udp,1,60,cvlan100,10.10.41.5,5820.5,0,22.98,0.04,yes,ok
hp1-hp3,vxlan,cell-01,tcp,0,60,vxlan10,192.168.100.2,17005.3,10047,20.41,16.12,yes,ok
hp1-hp3,vxlan,cell-02,tcp,1,60,vxlan10,192.168.100.2,17256.1,3650,21.25,16.01,yes,ok
hp1-hp3,vxlan,cell-03,udp,0,60,vxlan10,192.168.100.2,5833.8,0,15.95,7.78,yes,ok
hp1-hp3,vxlan,cell-04,udp,1,60,vxlan10,192.168.100.2,6014.9,0,16.02,7.63,yes,ok
hp1-hp3,mpls,cell-01,tcp,0,60,lo,10.10.43.5,18991.3,6714,15.10,19.23,yes,ok
hp1-hp3,mpls,cell-02,tcp,1,60,lo,10.10.43.5,18997.2,8987,16.79,18.37,yes,ok
