Linux 7.0.9 (hp3) 	06/16/2026 	_x86_64_	(8 CPU)

10:40:18 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:40:19 PM  all    0.25    0.00   10.86    0.00    0.49   15.68    0.00    0.00    0.00   72.72
10:40:19 PM    0    1.02    0.00   38.78    0.00    1.02    0.00    0.00    0.00    0.00   59.18
10:40:19 PM    1    1.05    0.00   37.89    0.00    0.00    0.00    0.00    0.00    0.00   61.05
10:40:19 PM    2    0.00    0.00    0.00    0.00    1.00    2.00    0.00    0.00    0.00   97.00
10:40:19 PM    3    0.00    0.00    1.74    0.00    0.87   29.57    0.00    0.00    0.00   67.83
10:40:19 PM    4    0.00    0.00    0.00    0.00    0.00   37.00    0.00    0.00    0.00   63.00
10:40:19 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:40:19 PM    6    0.00    0.00    5.88    0.00    0.98   29.41    0.00    0.00    0.00   63.73
10:40:19 PM    7    0.00    0.00    5.94    0.00    0.00   23.76    0.00    0.00    0.00   70.30

10:40:19 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:40:20 PM  all    0.00    0.00   14.92    0.00    0.12   19.24    0.00    0.00    0.00   65.72
10:40:20 PM    0    0.00    0.00   50.00    0.00    0.00    0.00    0.00    0.00    0.00   50.00
10:40:20 PM    1    0.00    0.00   51.58    0.00    0.00    0.00    0.00    0.00    0.00   48.42
10:40:20 PM    2    0.00    0.00    0.00    0.00    1.00    2.00    0.00    0.00    0.00   97.00
10:40:20 PM    3    0.00    0.00    2.56    0.00    0.00   39.32    0.00    0.00    0.00   58.12
10:40:20 PM    4    0.00    0.00    0.98    0.00    0.00   36.27    0.00    0.00    0.00   62.75
10:40:20 PM    5    0.00    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00   99.01
