Linux 7.0.0 (hp5) 	06/16/2026 	_x86_64_	(8 CPU)

10:55:10 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:55:11 PM  all    0.25    0.00   22.84    0.00    0.00    0.75    0.00    0.00    0.00   76.16
10:55:11 PM    0    1.01    0.00   56.57    0.00    0.00    0.00    0.00    0.00    0.00   42.42
10:55:11 PM    1    1.02    0.00   52.04    0.00    0.00    3.06    0.00    0.00    0.00   43.88
10:55:11 PM    2    0.00    0.00   74.26    0.00    0.00    0.99    0.00    0.00    0.00   24.75
10:55:11 PM    3    0.00    0.00    0.00    0.00    0.00    2.00    0.00    0.00    0.00   98.00
10:55:11 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:55:11 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:55:11 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:55:11 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

10:55:11 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:55:12 PM  all    0.25    0.00   30.28    0.00    0.00    0.13    0.00    0.00    0.00   69.35
10:55:12 PM    0    1.01    0.00   70.71    0.00    0.00    0.00    0.00    0.00    0.00   28.28
10:55:12 PM    1    1.01    0.00   71.72    0.00    0.00    0.00    0.00    0.00    0.00   27.27
10:55:12 PM    2    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10:55:12 PM    3    0.00    0.00    0.00    0.00    0.00    1.02    0.00    0.00    0.00   98.98
10:55:12 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:55:12 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:55:12 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:55:12 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

10:55:12 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:55:13 PM  all    0.25    0.00   28.75    0.00    0.38    0.38    0.00    0.00    0.00   70.25
10:55:13 PM    0    1.02    0.00   67.35    0.00    1.02    0.00    0.00    0.00    0.00   30.61
10:55:13 PM    1    0.99    0.00   63.37    0.00    0.99    0.00    0.00    0.00    0.00   34.65
10:55:13 PM    2    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10:55:13 PM    3    0.00    0.00    0.00    0.00    0.99    1.98    0.00    0.00    0.00   97.03
10:55:13 PM    4    0.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   99.00
10:55:13 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:55:13 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:55:13 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

10:55:13 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:55:14 PM  all    0.50    0.00   28.61    0.00    0.00    0.25    0.00    0.00    0.00   70.64
10:55:14 PM    0    1.98    0.00   63.37    0.00    0.00    0.00    0.00    0.00    0.00   34.65
10:55:14 PM    1    2.08    0.00   66.67    0.00    0.00    0.00    0.00    0.00    0.00   31.25
10:55:14 PM    2    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
10:55:14 PM    3    0.00    0.00    0.00    0.00    0.00    2.00    0.00    0.00    0.00   98.00
10:55:14 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:55:14 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:55:14 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:55:14 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

10:55:14 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
