Linux 7.0.0 (hp5) 	06/16/2026 	_x86_64_	(8 CPU)

10:59:44 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:59:45 PM  all    0.00    0.00   16.17    0.00    0.37    5.10    0.00    0.00    0.00   78.36
10:59:45 PM    0    0.00    0.00   64.36    0.00    0.99   11.88    0.00    0.00    0.00   22.77
10:59:45 PM    1    0.00    0.00   65.00    0.00    0.00   11.00    0.00    0.00    0.00   24.00
10:59:45 PM    2    0.00    0.00    0.00    0.00    1.00    7.00    0.00    0.00    0.00   92.00
10:59:45 PM    3    0.00    0.00    0.00    0.00    0.98    7.84    0.00    0.00    0.00   91.18
10:59:45 PM    4    0.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   99.00
10:59:45 PM    5    0.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   99.00
10:59:45 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:59:45 PM    7    0.00    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00   99.01

10:59:45 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:59:46 PM  all    0.37    0.00   20.60    0.00    0.12    6.24    0.00    0.00    0.00   72.66
10:59:46 PM    0    0.99    0.00   82.18    0.00    0.00   15.84    0.00    0.00    0.00    0.99
10:59:46 PM    1    2.00    0.00   82.00    0.00    1.00   15.00    0.00    0.00    0.00    0.00
10:59:46 PM    2    0.00    0.00    0.00    0.00    0.00    9.00    0.00    0.00    0.00   91.00
10:59:46 PM    3    0.00    0.00    0.00    0.00    0.00    8.16    0.00    0.00    0.00   91.84
10:59:46 PM    4    0.00    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00   99.01
10:59:46 PM    5    0.00    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00   99.01
10:59:46 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:59:46 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

