pair,scenario,cell,proto,sysctl,dur_s,scenario_iface,scenario_v4,mbps,retransmits,recv_sys_pct,recv_soft_pct,kernel_has_sysctl,status
pi5-pair,vlan,cell-01,tcp,0,60,vlan100,10.10.40.5,938.9,0,1.25,4.61,yes,ok
pi5-pair,vlan,cell-02,tcp,1,60,vlan100,10.10.40.5,938.9,0,1.21,4.66,yes,ok
pi5-pair,vlan,cell-03,udp,0,60,vlan100,10.10.40.5,944.9,10,3.43,10.43,yes,ok
pi5-pair,vlan,cell-04,udp,1,60,vlan100,10.10.40.5,944.9,0,3.38,10.42,yes,ok
pi5-pair,qinq,cell-01,tcp,0,60,cvlan100,10.10.41.5,936.2,0,1.01,5.34,yes,ok
pi5-pair,qinq,cell-02,tcp,1,60,cvlan100,10.10.41.5,936.2,0,1.02,5.36,yes,ok
pi5-pair,qinq,cell-03,udp,0,60,cvlan100,10.10.41.5,941.9,0,3.04,11.97,yes,ok
pi5-pair,qinq,cell-04,udp,1,60,cvlan100,10.10.41.5,941.9,0,2.83,12.01,yes,ok
pi5-pair,vxlan,cell-01,tcp,0,60,vxlan10,192.168.100.2,908.9,0,1.16,5.30,yes,ok
pi5-pair,vxlan,cell-02,tcp,1,60,vxlan10,192.168.100.2,908.9,0,1.22,5.30,yes,ok
pi5-pair,vxlan,cell-03,udp,0,60,vxlan10,192.168.100.2,911.9,0,3.40,15.41,yes,ok
pi5-pair,vxlan,cell-04,udp,1,60,vxlan10,192.168.100.2,911.9,0,3.34,15.43,yes,ok
pi5-pair,mpls,cell-01,tcp,0,60,lo,10.10.43.5,938.8,0,7.82,15.78,yes,ok
pi5-pair,mpls,cell-02,tcp,1,60,lo,10.10.43.5,938.8,0,7.94,15.79,yes,ok
pi5-pair,mpls,cell-03,udp,0,60,lo,10.10.43.5,944.9,9,3.18,11.78,yes,ok
pi5-pair,mpls,cell-04,udp,1,60,lo,10.10.43.5,944.9,0,3.27,11.75,yes,ok
pi5-pair,ipip,cell-01,tcp,0,60,ipip0,10.10.42.5,928.4,0,0.90,5.42,yes,ok
pi5-pair,ipip,cell-02,tcp,1,60,ipip0,10.10.42.5,928.4,0,0.93,5.43,yes,ok
pi5-pair,ipip,cell-03,udp,0,60,ipip0,10.10.42.5,933.1,0,3.31,13.87,yes,ok
pi5-pair,ipip,cell-04,udp,1,60,ipip0,10.10.42.5,933.1,0,3.31,13.83,yes,ok
hp1-hp3,vlan,cell-01,tcp,0,60,vlan100,10.10.40.5,18479.7,7554,38.00,9.51,yes,ok
hp1-hp3,vlan,cell-02,tcp,1,60,vlan100,10.10.40.5,18089.6,6593,42.01,5.82,yes,ok
hp1-hp3,vlan,cell-03,udp,0,60,vlan100,10.10.40.5,7212.3,0,22.63,0.04,yes,ok
hp1-hp3,vlan,cell-04,udp,1,60,vlan100,10.10.40.5,6908.4,0,22.70,0.03,yes,ok
hp1-hp3,qinq,cell-01,tcp,0,60,cvlan100,10.10.41.5,15212.5,14300,44.05,2.24,yes,ok
hp1-hp3,qinq,cell-02,tcp,1,60,cvlan100,10.10.41.5,16477.5,26582,32.73,15.04,yes,ok
hp1-hp3,qinq,cell-03,udp,0,60,cvlan100,10.10.41.5,5988.3,0,22.98,0.03,yes,ok
hp1-hp3,qinq,cell-04,udp,1,60,cvlan100,10.10.41.5,5983.2,0,22.82,0.06,yes,ok
hp1-hp3,vxlan,cell-01,tcp,0,60,vxlan10,192.168.100.2,16616.6,10759,25.19,10.70,yes,ok
hp1-hp3,vxlan,cell-02,tcp,1,60,vxlan10,192.168.100.2,17076.5,6940,20.66,16.20,yes,ok
hp1-hp3,vxlan,cell-03,udp,0,60,vxlan10,192.168.100.2,6025.4,0,15.75,7.90,yes,ok
hp1-hp3,vxlan,cell-04,udp,1,60,vxlan10,192.168.100.2,5880.1,0,15.92,7.76,yes,ok
hp1-hp3,mpls,cell-01,tcp,0,60,lo,10.10.43.5,19028.6,3206,16.95,18.14,yes,ok
hp1-hp3,mpls,cell-02,tcp,1,60,lo,10.10.43.5,18541.8,6405,21.23,15.06,yes,ok
hp1-hp3,mpls,cell-03,udp,0,60,lo,10.10.43.5,6704.3,0,5.11,11.50,yes,ok
hp1-hp3,mpls,cell-04,udp,1,60,lo,10.10.43.5,6473.3,0,6.13,9.85,yes,ok
hp1-hp3,ipip,cell-01,tcp,0,60,ipip0,10.10.42.5,11186.4,1013,20.36,4.98,yes,ok
hp1-hp3,ipip,cell-02,tcp,1,60,ipip0,10.10.42.5,11308.2,903,19.85,5.25,yes,ok
hp1-hp3,ipip,cell-03,udp,0,60,ipip0,10.10.42.5,6593.6,0,16.32,7.25,yes,ok
hp1-hp3,ipip,cell-04,udp,1,60,ipip0,10.10.42.5,6966.4,0,16.32,7.24,yes,ok
hp2-hp5,vlan,cell-01,tcp,0,60,vlan100,10.10.40.5,9386.7,10037,24.25,2.17,yes,ok
hp2-hp5,vlan,cell-02,tcp,1,60,vlan100,10.10.40.5,9387.7,8313,24.27,2.20,yes,ok
hp2-hp5,vlan,cell-03,udp,0,60,vlan100,10.10.40.5,7317.7,0,22.88,1.64,yes,ok
hp2-hp5,vlan,cell-04,udp,1,60,vlan100,10.10.40.5,7343.0,0,22.87,1.59,yes,ok
hp2-hp5,qinq,cell-01,tcp,0,60,cvlan100,10.10.41.5,8931.6,3255,28.96,0.62,yes,ok
hp2-hp5,qinq,cell-02,tcp,1,60,cvlan100,10.10.41.5,8932.8,3543,29.41,0.32,yes,ok
hp2-hp5,qinq,cell-03,udp,0,60,cvlan100,10.10.41.5,5932.7,0,22.66,0.20,yes,ok
hp2-hp5,qinq,cell-04,udp,1,60,cvlan100,10.10.41.5,5936.9,0,22.47,0.24,yes,ok
hp2-hp5,vxlan,cell-01,tcp,0,60,vxlan10,192.168.100.2,9087.6,8914,20.71,6.26,yes,ok
hp2-hp5,vxlan,cell-02,tcp,1,60,vxlan10,192.168.100.2,9086.4,13325,20.57,6.22,yes,ok
hp2-hp5,vxlan,cell-03,udp,0,60,vxlan10,192.168.100.2,6015.6,0,18.16,8.39,yes,ok
hp2-hp5,vxlan,cell-04,udp,1,60,vxlan10,192.168.100.2,6048.9,0,18.20,8.18,yes,ok
hp2-hp5,mpls,cell-01,tcp,0,60,lo,10.10.43.5,9386.3,12410,8.29,11.26,yes,ok
hp2-hp5,mpls,cell-02,tcp,1,60,lo,10.10.43.5,9386.2,12774,8.59,11.66,yes,ok
hp2-hp5,mpls,cell-03,udp,0,60,lo,10.10.43.5,6686.5,0,5.06,9.55,yes,ok
hp2-hp5,mpls,cell-04,udp,1,60,lo,10.10.43.5,6741.6,0,4.54,8.78,yes,ok
hp2-hp5,ipip,cell-01,tcp,0,60,ipip0,10.10.42.5,9272.4,4053,22.27,6.33,yes,ok
hp2-hp5,ipip,cell-02,tcp,1,60,ipip0,10.10.42.5,9277.9,9582,22.95,6.55,yes,ok
hp2-hp5,ipip,cell-03,udp,0,60,ipip0,10.10.42.5,7304.3,0,17.62,7.48,yes,ok
hp2-hp5,ipip,cell-04,udp,1,60,ipip0,10.10.42.5,7282.7,0,18.12,8.18,yes,ok
