Linux 7.0.9 (hp3) 	06/17/2026 	_x86_64_	(8 CPU)

11:50:54 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:50:55 PM  all    1.12    0.00   12.70    0.00    0.25    5.48    0.00    0.00    0.00   80.45
11:50:55 PM    0    5.00    0.00   51.00    0.00    1.00   20.00    0.00    0.00    0.00   23.00
11:50:55 PM    1    3.96    0.00   50.50    0.00    0.99   21.78    0.00    0.00    0.00   22.77
11:50:55 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:50:55 PM    3    0.00    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00   99.01
11:50:55 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:50:55 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:50:55 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:50:55 PM    7    0.00    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00   99.01

11:50:55 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:50:56 PM  all    1.50    0.00   16.38    0.00    0.00    7.12    0.00    0.00    0.00   75.00
11:50:56 PM    0    6.00    0.00   65.00    0.00    0.00   29.00    0.00    0.00    0.00    0.00
11:50:56 PM    1    6.00    0.00   66.00    0.00    0.00   28.00    0.00    0.00    0.00    0.00
11:50:56 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:50:56 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:50:56 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:50:56 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:50:56 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:50:56 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

11:50:56 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:50:57 PM  all    1.38    0.00   16.62    0.00    0.00    7.25    0.00    0.00    0.00   74.75
11:50:57 PM    0    6.00    0.00   66.00    0.00    0.00   28.00    0.00    0.00    0.00    0.00
11:50:57 PM    1    5.05    0.00   66.67    0.00    0.00   27.27    0.00    0.00    0.00    1.01
11:50:57 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:50:57 PM    3    0.00    0.00    1.00    0.00    0.00    1.00    0.00    0.00    0.00   98.00
11:50:57 PM    4    0.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   99.00
11:50:57 PM    5    0.00    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00   99.01
11:50:57 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:50:57 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

11:50:57 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:50:58 PM  all    1.63    0.00   16.40    0.00    0.00    6.88    0.00    0.00    0.00   75.09
11:50:58 PM    0    6.00    0.00   66.00    0.00    0.00   27.00    0.00    0.00    0.00    1.00
11:50:58 PM    1    7.00    0.00   64.00    0.00    0.00   28.00    0.00    0.00    0.00    1.00
11:50:58 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:50:58 PM    3    0.00    0.00    1.01    0.00    0.00    0.00    0.00    0.00    0.00   98.99
11:50:58 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:50:58 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:50:58 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:50:58 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

11:50:58 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:50:59 PM  all    1.25    0.00   16.75    0.00    0.25    7.00    0.00    0.00    0.00   74.75
11:50:59 PM    0    5.00    0.00   67.00    0.00    1.00   27.00    0.00    0.00    0.00    0.00
11:50:59 PM    1    5.00    0.00   66.00    0.00    1.00   27.00    0.00    0.00    0.00    1.00
11:50:59 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:50:59 PM    3    0.00    0.00    1.00    0.00    0.00    1.00    0.00    0.00    0.00   98.00
11:50:59 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:50:59 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
