Linux 7.0.9 (hp3) 	06/17/2026 	_x86_64_	(8 CPU)

11:23:59 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:24:00 PM  all    0.12    0.00   15.11    0.00    0.37    6.12    0.00    0.00    0.00   78.28
11:24:00 PM    0    0.99    0.00   59.41    0.00    0.99   14.85    0.00    0.00    0.00   23.76
11:24:00 PM    1    0.00    0.00   61.62    0.00    1.01   14.14    0.00    0.00    0.00   23.23
11:24:00 PM    2    0.00    0.00    0.00    0.00    0.00    6.00    0.00    0.00    0.00   94.00
11:24:00 PM    3    0.00    0.00    0.00    0.00    1.00    1.00    0.00    0.00    0.00   98.00
11:24:00 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:24:00 PM    5    0.00    0.00    0.00    0.00    0.00    8.00    0.00    0.00    0.00   92.00
11:24:00 PM    6    0.00    0.00    0.00    0.00    0.00    4.00    0.00    0.00    0.00   96.00
11:24:00 PM    7    0.00    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00   99.01

11:24:00 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:24:01 PM  all    0.25    0.00   20.18    0.00    0.25    6.52    0.00    0.00    0.00   72.81
11:24:01 PM    0    0.00    0.00   82.65    0.00    0.00   16.33    0.00    0.00    0.00    1.02
11:24:01 PM    1    2.00    0.00   80.00    0.00    0.00   17.00    0.00    0.00    0.00    1.00
11:24:01 PM    2    0.00    0.00    0.00    0.00    1.00    7.00    0.00    0.00    0.00   92.00
11:24:01 PM    3    0.00    0.00    0.00    0.00    1.00    3.00    0.00    0.00    0.00   96.00
11:24:01 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:24:01 PM    5    0.00    0.00    0.00    0.00    0.00    5.00    0.00    0.00    0.00   95.00
11:24:01 PM    6    0.00    0.00    0.00    0.00    0.00    4.00    0.00    0.00    0.00   96.00
11:24:01 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

11:24:01 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:24:02 PM  all    0.25    0.00   19.57    0.00    0.25    6.78    0.00    0.00    0.00   73.15
11:24:02 PM    0    1.01    0.00   78.79    0.00    0.00   16.16    0.00    0.00    0.00    4.04
11:24:02 PM    1    1.01    0.00   78.79    0.00    0.00   16.16    0.00    0.00    0.00    4.04
11:24:02 PM    2    0.00    0.00    0.00    0.00    0.99    7.92    0.00    0.00    0.00   91.09
11:24:02 PM    3    0.00    0.00    0.00    0.00    0.00    2.02    0.00    0.00    0.00   97.98
11:24:02 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:24:02 PM    5    0.00    0.00    0.00    0.00    1.00    7.00    0.00    0.00    0.00   92.00
11:24:02 PM    6    0.00    0.00    0.00    0.00    0.00    5.00    0.00    0.00    0.00   95.00
11:24:02 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

11:24:02 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:24:03 PM  all    0.13    0.00   19.30    0.00    0.50    6.64    0.00    0.00    0.00   73.43
11:24:03 PM    0    1.00    0.00   77.00    0.00    1.00   17.00    0.00    0.00    0.00    4.00
11:24:03 PM    1    0.00    0.00   78.57    0.00    0.00   16.33    0.00    0.00    0.00    5.10
11:24:03 PM    2    0.00    0.00    0.00    0.00    1.00    6.00    0.00    0.00    0.00   93.00
11:24:03 PM    3    0.00    0.00    0.00    0.00    1.00    3.00    0.00    0.00    0.00   96.00
11:24:03 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:24:03 PM    5    0.00    0.00    0.00    0.00    0.00    7.00    0.00    0.00    0.00   93.00
11:24:03 PM    6    0.00    0.00    0.00    0.00    1.00    4.00    0.00    0.00    0.00   95.00
11:24:03 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

11:24:03 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:24:04 PM  all    0.38    0.00   19.55    0.00    0.38    6.27    0.00    0.00    0.00   73.43
11:24:04 PM    0    2.02    0.00   78.79    0.00    0.00   17.17    0.00    0.00    0.00    2.02
11:24:04 PM    1    1.00    0.00   78.00    0.00    1.00   17.00    0.00    0.00    0.00    3.00
11:24:04 PM    2    0.00    0.00    0.00    0.00    1.01    5.05    0.00    0.00    0.00   93.94
