Linux 7.0.9 (hp3) 	06/18/2026 	_x86_64_	(8 CPU)

08:04:09 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:04:10 PM  all    0.12    0.00   19.45    0.00    0.37    8.43    0.00    0.00    0.00   71.62
08:04:10 PM    0    0.00    0.00   59.60    0.00    0.00    7.07    0.00    0.00    0.00   33.33
08:04:10 PM    1    1.00    0.00   61.00    0.00    0.00    6.00    0.00    0.00    0.00   32.00
08:04:10 PM    2    0.00    0.00    0.00    0.00    1.00    2.00    0.00    0.00    0.00   97.00
08:04:10 PM    3    0.00    0.00   28.57    0.00    0.95   25.71    0.00    0.00    0.00   44.76
08:04:10 PM    4    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00    0.00   99.01
08:04:10 PM    5    0.00    0.00    6.93    0.00    0.00   24.75    0.00    0.00    0.00   68.32
08:04:10 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:04:10 PM    7    0.00    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00   99.01

08:04:10 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:04:11 PM  all    0.13    0.00   26.91    0.00    0.25    8.51    0.00    0.00    0.00   64.21
08:04:11 PM    0    1.02    0.00   76.53    0.00    0.00    6.12    0.00    0.00    0.00   16.33
08:04:11 PM    1    0.00    0.00   77.00    0.00    0.00    7.00    0.00    0.00    0.00   16.00
08:04:11 PM    2    0.00    0.00    0.00    0.00    1.00    2.00    0.00    0.00    0.00   97.00
08:04:11 PM    3    0.00    0.00   57.43    0.00    0.00   22.77    0.00    0.00    0.00   19.80
08:04:11 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:04:11 PM    5    0.00    0.00    4.95    0.00    0.99   29.70    0.00    0.00    0.00   64.36
08:04:11 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:04:11 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

08:04:11 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:04:12 PM  all    0.25    0.00   27.62    0.00    0.25    7.38    0.00    0.00    0.00   64.50
08:04:12 PM    0    1.00    0.00   74.00    0.00    1.00    6.00    0.00    0.00    0.00   18.00
08:04:12 PM    1    1.00    0.00   78.00    0.00    0.00    6.00    0.00    0.00    0.00   15.00
08:04:12 PM    2    0.00    0.00    0.00    0.00    0.00    1.02    0.00    0.00    0.00   98.98
08:04:12 PM    3    0.00    0.00   64.36    0.00    0.00   17.82    0.00    0.00    0.00   17.82
08:04:12 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:04:12 PM    5    0.00    0.00    4.00    0.00    0.00   27.00    0.00    0.00    0.00   69.00
08:04:12 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:04:12 PM    7    0.00    0.00    0.00    0.00    0.99    0.99    0.00    0.00    0.00   98.02

08:04:12 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:04:13 PM  all    0.12    0.00   25.37    0.00    0.50    7.59    0.00    0.00    0.00   66.42
08:04:13 PM    0    1.02    0.00   71.43    0.00    0.00    6.12    0.00    0.00    0.00   21.43
08:04:13 PM    1    0.00    0.00   75.00    0.00    1.00    7.00    0.00    0.00    0.00   17.00
08:04:13 PM    2    0.00    0.00    0.00    0.00    1.00    2.00    0.00    0.00    0.00   97.00
08:04:13 PM    3    0.00    0.00   53.40    0.00    0.97   20.39    0.00    0.00    0.00   25.24
08:04:13 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:04:13 PM    5    0.00    0.00    3.92    0.00    0.98   24.51    0.00    0.00    0.00   70.59
08:04:13 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:04:13 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

08:04:13 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:04:14 PM  all    0.25    0.00   25.62    0.00    0.25    6.88    0.00    0.00    0.00   67.00
08:04:14 PM    0    1.00    0.00   71.00    0.00    0.00    6.00    0.00    0.00    0.00   22.00
08:04:14 PM    1    1.02    0.00   72.45    0.00    0.00    6.12    0.00    0.00    0.00   20.41
08:04:14 PM    2    0.00    0.00    0.00    0.00    1.00    2.00    0.00    0.00    0.00   97.00
08:04:14 PM    3    0.00    0.00   59.41    0.00    0.00   15.84    0.00    0.00    0.00   24.75
08:04:14 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:04:14 PM    5    0.00    0.00    2.94    0.00    0.98   24.51    0.00    0.00    0.00   71.57
08:04:14 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:04:14 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

08:04:14 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:04:15 PM  all    0.12    0.00   27.43    0.00    0.25    6.48    0.00    0.00    0.00   65.71
08:04:15 PM    0    0.00    0.00   74.75    0.00    1.01    6.06    0.00    0.00    0.00   18.18
08:04:15 PM    1    1.01    0.00   73.74    0.00    0.00    6.06    0.00    0.00    0.00   19.19
08:04:15 PM    2    0.00    0.00    0.99    0.00    0.99    0.99    0.00    0.00    0.00   97.03
08:04:15 PM    3    0.00    0.00   68.32    0.00    0.00   13.86    0.00    0.00    0.00   17.82
08:04:15 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:04:15 PM    5    0.00    0.00    2.97    0.00    0.00   23.76    0.00    0.00    0.00   73.27
08:04:15 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:04:15 PM    7    0.00    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00   99.01

08:04:15 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:04:16 PM  all    0.13    0.00   31.12    0.00    0.25    5.27    0.00    0.00    0.00   63.24
08:04:16 PM    0    1.02    0.00   77.55    0.00    0.00    5.10    0.00    0.00    0.00   16.33
08:04:16 PM    1    0.00    0.00   80.81    0.00    1.01    4.04    0.00    0.00    0.00   14.14
08:04:16 PM    2    0.00    0.00    0.00    0.00    0.00    2.02    0.00    0.00    0.00   97.98
08:04:16 PM    3    0.00    0.00   88.12    0.00    0.00    6.93    0.00    0.00    0.00    4.95
08:04:16 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:04:16 PM    5    0.00    0.00    2.97    0.00    0.99   23.76    0.00    0.00    0.00   72.28
08:04:16 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:04:16 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

08:04:16 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:04:17 PM  all    0.25    0.00   25.91    0.00    0.25    6.51    0.00    0.00    0.00   67.08
08:04:17 PM    0    1.01    0.00   73.74    0.00    0.00    7.07    0.00    0.00    0.00   18.18
08:04:17 PM    1    0.99    0.00   71.29    0.00    0.00    7.92    0.00    0.00    0.00   19.80
08:04:17 PM    2    0.00    0.00    0.00    0.00    1.01    1.01    0.00    0.00    0.00   97.98
08:04:17 PM    3    0.00    0.00   61.00    0.00    0.00   15.00    0.00    0.00    0.00   24.00
08:04:17 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:04:17 PM    5    0.00    0.00    1.00    0.00    1.00   21.00    0.00    0.00    0.00   77.00
08:04:17 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:04:17 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

08:04:17 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:04:18 PM  all    0.12    0.00   26.25    0.00    0.38    8.25    0.00    0.00    0.00   65.00
08:04:18 PM    0    1.01    0.00   74.75    0.00    1.01    9.09    0.00    0.00    0.00   14.14
08:04:18 PM    1    0.00    0.00   76.53    0.00    0.00   10.20    0.00    0.00    0.00   13.27
08:04:18 PM    2    0.00    0.00    0.00    0.00    1.00    2.00    0.00    0.00    0.00   97.00
08:04:18 PM    3    0.00    0.00   58.25    0.00    0.97   16.50    0.00    0.00    0.00   24.27
08:04:18 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:04:18 PM    5    0.00    0.00    0.99    0.00    0.00   27.72    0.00    0.00    0.00   71.29
08:04:18 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:04:18 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

08:04:18 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:04:19 PM  all    0.00    0.00   26.03    0.00    0.50    8.34    0.00    0.00    0.00   65.13
08:04:19 PM    0    0.00    0.00   75.76    0.00    0.00   10.10    0.00    0.00    0.00   14.14
08:04:19 PM    1    0.00    0.00   76.77    0.00    1.01    8.08    0.00    0.00    0.00   14.14
08:04:19 PM    2    0.00    0.00    0.00    0.00    1.01    2.02    0.00    0.00    0.00   96.97
08:04:19 PM    3    0.00    0.00   55.88    0.00    0.00   18.63    0.00    0.00    0.00   25.49
08:04:19 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:04:19 PM    5    0.00    0.00    0.98    0.00    0.98   26.47    0.00    0.00    0.00   71.57
08:04:19 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:04:19 PM    7    0.00    0.00    0.00    0.00    0.98    0.98    0.00    0.00    0.00   98.04

