Linux 7.0.9 (hp3) 	06/18/2026 	_x86_64_	(8 CPU)

10:33:54 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:33:55 AM  all    1.12    0.00   12.73    0.00    0.12    5.62    0.00    0.00    0.00   80.40
10:33:55 AM    0    4.95    0.00   50.50    0.00    0.99   20.79    0.00    0.00    0.00   22.77
10:33:55 AM    1    4.04    0.00   50.51    0.00    0.00   23.23    0.00    0.00    0.00   22.22
10:33:55 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:33:55 AM    3    0.00    0.00    0.99    0.00    0.00    0.99    0.00    0.00    0.00   98.02
10:33:55 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:33:55 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:33:55 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:33:55 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

10:33:55 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:33:56 AM  all    1.25    0.00   16.60    0.00    0.12    6.99    0.00    0.00    0.00   75.03
10:33:56 AM    0    6.06    0.00   66.67    0.00    0.00   27.27    0.00    0.00    0.00    0.00
10:33:56 AM    1    3.96    0.00   66.34    0.00    0.99   27.72    0.00    0.00    0.00    0.99
10:33:56 AM    2    0.00    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00   99.01
10:33:56 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:33:56 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:33:56 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:33:56 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:33:56 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

10:33:56 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:33:57 AM  all    1.50    0.00   16.73    0.00    0.00    6.87    0.00    0.00    0.00   74.91
10:33:57 AM    0    5.94    0.00   67.33    0.00    0.00   25.74    0.00    0.00    0.00    0.99
