Linux 7.0.9 (hp3) 	06/18/2026 	_x86_64_	(8 CPU)

10:09:08 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:09:09 AM  all    1.12    0.00   12.75    0.00    0.00    5.50    0.00    0.00    0.00   80.62
10:09:09 AM    0    5.00    0.00   50.00    0.00    0.00   23.00    0.00    0.00    0.00   22.00
10:09:09 AM    1    4.04    0.00   52.53    0.00    0.00   21.21    0.00    0.00    0.00   22.22
10:09:09 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:09:09 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:09:09 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:09:09 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:09:09 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:09:09 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

10:09:09 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:09:10 AM  all    1.25    0.00   16.60    0.00    0.00    7.24    0.00    0.00    0.00   74.91
10:09:10 AM    0    4.00    0.00   66.00    0.00    0.00   30.00    0.00    0.00    0.00    0.00
10:09:10 AM    1    5.94    0.00   66.34    0.00    0.00   27.72    0.00    0.00    0.00    0.00
10:09:10 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:09:10 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:09:10 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:09:10 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:09:10 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:09:10 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

10:09:10 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:09:11 AM  all    1.37    0.00   16.56    0.00    0.12    7.10    0.00    0.00    0.00   74.84
10:09:11 AM    0    4.95    0.00   65.35    0.00    0.99   28.71    0.00    0.00    0.00    0.00
10:09:11 AM    1    6.00    0.00   67.00    0.00    0.00   27.00    0.00    0.00    0.00    0.00
10:09:11 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:09:11 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:09:11 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:09:11 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:09:11 AM    6    0.00    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00   99.01
10:09:11 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

10:09:11 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:09:12 AM  all    1.13    0.00   16.65    0.00    0.00    7.13    0.00    0.00    0.00   75.09
10:09:12 AM    0    5.05    0.00   65.66    0.00    0.00   29.29    0.00    0.00    0.00    0.00
10:09:12 AM    1    4.04    0.00   68.69    0.00    0.00   27.27    0.00    0.00    0.00    0.00
10:09:12 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:09:12 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:09:12 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:09:12 AM    5    0.00    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00   99.01
10:09:12 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:09:12 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

10:09:12 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:09:13 AM  all    1.37    0.00   16.60    0.00    0.12    7.12    0.00    0.00    0.00   74.78
10:09:13 AM    0    4.95    0.00   65.35    0.00    0.00   29.70    0.00    0.00    0.00    0.00
10:09:13 AM    1    5.94    0.00   66.34    0.00    0.99   26.73    0.00    0.00    0.00    0.00
10:09:13 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:09:13 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:09:13 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:09:13 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:09:13 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:09:13 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

10:09:13 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:09:14 AM  all    1.25    0.00   16.60    0.00    0.00    7.24    0.00    0.00    0.00   74.91
10:09:14 AM    0    5.00    0.00   66.00    0.00    0.00   29.00    0.00    0.00    0.00    0.00
10:09:14 AM    1    5.00    0.00   67.00    0.00    0.00   28.00    0.00    0.00    0.00    0.00
10:09:14 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:09:14 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:09:14 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
