pair,scenario,proto,feature,state,sysctl,run,mbps,retransmits,recv_sys_pct,recv_soft_pct,status
hp1-hp3,gre,udp,baseline,asfound,0,1,6869.3,0,16.41,7.00,ok
hp1-hp3,gre,udp,baseline,asfound,0,2,6603.5,0,16.51,6.82,ok
hp1-hp3,gre,udp,baseline,asfound,0,3,6556.3,0,16.45,7.06,ok
hp1-hp3,gre,udp,baseline,asfound,1,1,6937.7,0,16.23,7.20,ok
hp1-hp3,gre,udp,baseline,asfound,1,2,6867.8,0,16.36,7.05,ok
hp1-hp3,gre,udp,baseline,asfound,1,3,6597.4,0,16.53,6.85,ok
hp1-hp3,gre,udp,tx,off,0,1,6961.7,0,16.36,7.05,ok
hp1-hp3,gre,udp,tx,off,0,2,6819.2,0,16.53,6.93,ok
hp1-hp3,gre,udp,tx,off,0,3,6949.7,0,16.48,6.92,ok
hp1-hp3,gre,udp,tx,off,1,1,6594.9,0,16.40,7.07,ok
hp1-hp3,gre,udp,tx,off,1,2,6918.7,0,16.35,7.02,ok
hp1-hp3,gre,udp,tx,off,1,3,6967.3,0,16.14,7.26,ok
hp1-hp3,gre,udp,tx,on,0,1,6514.1,0,16.38,7.06,ok
hp1-hp3,gre,udp,tx,on,0,2,6608.4,0,16.48,6.96,ok
hp1-hp3,gre,udp,tx,on,0,3,6602.6,0,16.52,6.94,ok
hp1-hp3,gre,udp,tx,on,1,1,6598.4,0,16.39,7.06,ok
hp1-hp3,gre,udp,tx,on,1,2,6757.5,0,16.32,7.13,ok
hp1-hp3,gre,udp,tx,on,1,3,6586.6,0,16.43,6.96,ok
hp1-hp3,gre,udp,gso,off,0,1,6965.5,0,16.22,7.20,ok
hp1-hp3,gre,udp,gso,off,0,2,6898.4,0,16.23,7.21,ok
hp1-hp3,gre,udp,gso,off,0,3,6652.5,0,16.56,6.81,ok
hp1-hp3,gre,udp,gso,off,1,1,6661.9,0,16.26,7.17,ok
hp1-hp3,gre,udp,gso,off,1,2,6919.4,0,16.36,7.04,ok
hp1-hp3,gre,udp,gso,off,1,3,6658.7,0,16.56,6.90,ok
hp1-hp3,gre,udp,gso,on,0,1,6915.7,0,16.46,6.84,ok
hp1-hp3,gre,udp,gso,on,0,2,6977.2,0,16.13,7.28,ok
hp1-hp3,gre,udp,gso,on,0,3,6891.3,0,16.17,7.19,ok
hp1-hp3,gre,udp,gso,on,1,1,6634.1,0,16.28,7.09,ok
hp1-hp3,gre,udp,gso,on,1,2,6632.6,0,16.26,7.09,ok
hp1-hp3,gre,udp,gso,on,1,3,6881.5,0,16.39,6.99,ok
hp1-hp3,gre,udp,gro,off,0,1,6963.0,0,16.96,6.32,ok
hp1-hp3,gre,udp,gro,off,0,2,6622.4,0,17.15,6.09,ok
hp1-hp3,gre,udp,gro,off,0,3,6621.1,0,17.16,6.14,ok
hp1-hp3,gre,udp,gro,off,1,1,6591.2,0,17.02,6.07,ok
hp1-hp3,gre,udp,gro,off,1,2,6664.9,0,17.23,6.18,ok
hp1-hp3,gre,udp,gro,off,1,3,6599.8,0,17.55,6.16,ok
hp1-hp3,gre,udp,gro,on,0,1,6888.8,0,16.68,7.21,ok
hp1-hp3,gre,udp,gro,on,0,2,6592.2,0,16.65,7.09,ok
hp1-hp3,gre,udp,gro,on,0,3,6632.9,0,16.52,6.92,ok
hp1-hp3,gre,udp,gro,on,1,1,6652.7,0,16.49,6.99,ok
hp1-hp3,gre,udp,gro,on,1,2,6883.1,0,16.30,7.06,ok
hp1-hp3,gre,udp,gro,on,1,3,6698.6,0,16.54,6.98,ok
hp1-hp3,gre,udp,udp-seg,off,0,1,6987.6,0,16.35,7.09,ok
hp1-hp3,gre,udp,udp-seg,off,0,2,6630.0,0,16.36,7.00,ok
hp1-hp3,gre,udp,udp-seg,off,0,3,6638.4,0,16.63,6.91,ok
hp1-hp3,gre,udp,udp-seg,off,1,1,6643.2,0,16.39,7.08,ok
hp1-hp3,gre,udp,udp-seg,off,1,2,6647.6,0,16.52,6.94,ok
hp1-hp3,gre,udp,udp-seg,off,1,3,6893.6,0,16.22,7.21,ok
hp1-hp3,gre,udp,udp-seg,on,0,1,6621.3,0,16.64,6.97,ok
hp1-hp3,gre,udp,udp-seg,on,0,2,6648.2,0,16.44,6.94,ok
hp1-hp3,gre,udp,udp-seg,on,0,3,6641.7,0,16.39,7.08,ok
hp1-hp3,gre,udp,udp-seg,on,1,1,6907.9,0,16.17,7.21,ok
hp1-hp3,gre,udp,udp-seg,on,1,2,6868.4,0,16.45,6.96,ok
hp1-hp3,gre,udp,udp-seg,on,1,3,6603.6,0,16.64,6.78,ok
hp1-hp3,gre,udp,csum-ipv4,off,0,1,6670.2,0,16.59,6.87,ok
hp1-hp3,gre,udp,csum-ipv4,off,0,2,6640.4,0,16.51,6.96,ok
hp1-hp3,gre,udp,csum-ipv4,off,0,3,6899.6,0,16.41,7.02,ok
hp1-hp3,gre,udp,csum-ipv4,off,1,1,6691.3,0,16.30,7.10,ok
hp1-hp3,gre,udp,csum-ipv4,off,1,2,6671.8,0,16.41,7.14,ok
hp1-hp3,gre,udp,csum-ipv4,off,1,3,6689.2,0,16.35,7.13,ok
hp1-hp3,gre,udp,csum-ipv4,on,0,1,7003.5,0,16.22,7.17,ok
hp1-hp3,gre,udp,csum-ipv4,on,0,2,6895.6,0,16.43,7.02,ok
hp1-hp3,gre,udp,csum-ipv4,on,0,3,6643.1,0,16.39,7.07,ok
hp1-hp3,gre,udp,csum-ipv4,on,1,1,6659.2,0,16.47,6.96,ok
hp1-hp3,gre,udp,csum-ipv4,on,1,2,6979.3,0,16.47,6.86,ok
hp1-hp3,gre,udp,csum-ipv4,on,1,3,6903.9,0,16.23,7.17,ok
