Linux 7.0.9 (hp3) 	06/18/2026 	_x86_64_	(8 CPU)

10:00:50 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:00:51 AM  all    1.00    0.00   12.88    0.00    0.00    5.62    0.00    0.00    0.00   80.50
10:00:51 AM    0    4.00    0.00   52.00    0.00    0.00   22.00    0.00    0.00    0.00   22.00
10:00:51 AM    1    4.00    0.00   51.00    0.00    0.00   23.00    0.00    0.00    0.00   22.00
10:00:51 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:00:51 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:00:51 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:00:51 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:00:51 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:00:51 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

10:00:51 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:00:52 AM  all    1.38    0.00   16.25    0.00    0.12    7.38    0.00    0.00    0.00   74.88
10:00:52 AM    0    6.00    0.00   65.00    0.00    0.00   29.00    0.00    0.00    0.00    0.00
10:00:52 AM    1    4.95    0.00   64.36    0.00    0.99   29.70    0.00    0.00    0.00    0.00
10:00:52 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:00:52 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:00:52 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:00:52 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:00:52 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
