Linux 7.0.9 (hp3) 	06/18/2026 	_x86_64_	(8 CPU)

09:43:50 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:43:51 AM  all    0.88    0.00   13.63    0.00    0.12    4.75    0.00    0.00    0.00   80.62
09:43:51 AM    0    3.00    0.00   54.00    0.00    0.00   20.00    0.00    0.00    0.00   23.00
09:43:51 AM    1    4.00    0.00   55.00    0.00    1.00   18.00    0.00    0.00    0.00   22.00
09:43:51 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:43:51 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:43:51 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:43:51 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:43:51 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:43:51 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

09:43:51 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:43:52 AM  all    1.49    0.00   17.43    0.00    0.00    6.35    0.00    0.00    0.00   74.72
09:43:52 AM    0    7.00    0.00   69.00    0.00    0.00   24.00    0.00    0.00    0.00    0.00
09:43:52 AM    1    5.00    0.00   70.00    0.00    0.00   25.00    0.00    0.00    0.00    0.00
09:43:52 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:43:52 AM    3    0.00    0.00    0.98    0.00    0.00    0.98    0.00    0.00    0.00   98.04
09:43:52 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:43:52 AM    5    0.00    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00   99.01
09:43:52 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:43:52 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

09:43:52 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
