Linux 7.0.9 (hp3) 	06/18/2026 	_x86_64_	(8 CPU)

09:36:42 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:36:43 AM  all    0.75    0.00   12.75    0.00    0.25    5.50    0.00    0.00    0.00   80.75
09:36:43 AM    0    3.00    0.00   51.00    0.00    1.00   22.00    0.00    0.00    0.00   23.00
09:36:43 AM    1    3.00    0.00   51.00    0.00    1.00   22.00    0.00    0.00    0.00   23.00
09:36:43 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:36:43 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:36:43 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:36:43 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:36:43 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:36:43 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

09:36:43 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:36:44 AM  all    1.62    0.00   16.33    0.00    0.12    7.23    0.00    0.00    0.00   74.69
09:36:44 AM    0    7.00    0.00   65.00    0.00    0.00   28.00    0.00    0.00    0.00    0.00
09:36:44 AM    1    5.94    0.00   65.35    0.00    0.00   27.72    0.00    0.00    0.00    0.99
09:36:44 AM    2    0.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   99.00
09:36:44 AM    3    0.00    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00   99.01
09:36:44 AM    4    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00   99.00
09:36:44 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:36:44 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:36:44 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

09:36:44 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:36:45 AM  all    1.13    0.00   16.40    0.00    0.00    7.01    0.00    0.00    0.00   75.47
09:36:45 AM    0    5.05    0.00   65.66    0.00    0.00   28.28    0.00    0.00    0.00    1.01
09:36:45 AM    1    4.04    0.00   66.67    0.00    0.00   27.27    0.00    0.00    0.00    2.02
09:36:45 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:36:45 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:36:45 AM    4    0.00    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00   99.01
09:36:45 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:36:45 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:36:45 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

09:36:45 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:36:46 AM  all    1.38    0.00   16.75    0.00    0.00    7.00    0.00    0.00    0.00   74.88
09:36:46 AM    0    5.05    0.00   66.67    0.00    0.00   28.28    0.00    0.00    0.00    0.00
09:36:46 AM    1    6.00    0.00   67.00    0.00    0.00   27.00    0.00    0.00    0.00    0.00
09:36:46 AM    2    0.00    0.00    0.99    0.00    0.00    0.99    0.00    0.00    0.00   98.02
09:36:46 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:36:46 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:36:46 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
