Linux 7.0.9 (hp3) 	06/18/2026 	_x86_64_	(8 CPU)

09:19:48 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:19:49 AM  all    1.00    0.00   12.97    0.00    0.00    5.49    0.00    0.00    0.00   80.55
09:19:49 AM    0    4.04    0.00   52.53    0.00    0.00   20.20    0.00    0.00    0.00   23.23
09:19:49 AM    1    3.92    0.00   50.98    0.00    0.00   22.55    0.00    0.00    0.00   22.55
09:19:49 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:19:49 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:19:49 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:19:49 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:19:49 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:19:49 AM    7    0.00    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00   99.01

09:19:49 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:19:50 AM  all    1.37    0.00   16.60    0.00    0.00    7.12    0.00    0.00    0.00   74.91
09:19:50 AM    0    5.00    0.00   68.00    0.00    0.00   27.00    0.00    0.00    0.00    0.00
09:19:50 AM    1    6.00    0.00   65.00    0.00    0.00   29.00    0.00    0.00    0.00    0.00
09:19:50 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:19:50 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:19:50 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:19:50 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:19:50 AM    6    0.00    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00   99.01
09:19:50 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

09:19:50 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:19:51 AM  all    1.50    0.00   16.50    0.00    0.00    6.88    0.00    0.00    0.00   75.12
09:19:51 AM    0    7.00    0.00   65.00    0.00    0.00   26.00    0.00    0.00    0.00    2.00
09:19:51 AM    1    5.10    0.00   67.35    0.00    0.00   27.55    0.00    0.00    0.00    0.00
09:19:51 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:19:51 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:19:51 AM    4    0.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   99.00
09:19:51 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:19:51 AM    6    0.00    0.00    0.99    0.00    0.00    0.99    0.00    0.00    0.00   98.02
09:19:51 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

09:19:51 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:19:52 AM  all    1.25    0.00   16.79    0.00    0.00    7.02    0.00    0.00    0.00   74.94
09:19:52 AM    0    6.00    0.00   67.00    0.00    0.00   27.00    0.00    0.00    0.00    0.00
09:19:52 AM    1    4.00    0.00   67.00    0.00    0.00   29.00    0.00    0.00    0.00    0.00
09:19:52 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:19:52 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:19:52 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:19:52 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:19:52 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:19:52 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

09:19:52 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:19:53 AM  all    1.37    0.00   16.48    0.00    0.25    6.99    0.00    0.00    0.00   74.91
