pair,scenario,proto,feature,state,sysctl,run,mbps,retransmits,recv_sys_pct,recv_soft_pct,status
hp1-hp3,ipip,udp,baseline,asfound,0,1,6718.6,0,16.38,7.03,ok
hp1-hp3,ipip,udp,baseline,asfound,0,2,6709.4,0,16.23,7.09,ok
hp1-hp3,ipip,udp,baseline,asfound,0,3,6666.0,0,16.23,6.98,ok
hp1-hp3,ipip,udp,baseline,asfound,1,1,6655.4,0,16.38,7.14,ok
hp1-hp3,ipip,udp,baseline,asfound,1,2,6659.7,0,16.65,7.17,ok
hp1-hp3,ipip,udp,baseline,asfound,1,3,6987.0,0,16.11,7.28,ok
hp1-hp3,ipip,udp,tx,off,0,1,6665.1,0,16.41,6.99,ok
hp1-hp3,ipip,udp,tx,off,0,2,6663.0,0,16.34,7.08,ok
hp1-hp3,ipip,udp,tx,off,0,3,6596.2,0,16.53,6.81,ok
hp1-hp3,ipip,udp,tx,off,1,1,6545.8,0,16.42,7.02,ok
hp1-hp3,ipip,udp,tx,off,1,2,6979.0,0,16.33,7.09,ok
hp1-hp3,ipip,udp,tx,off,1,3,6968.2,0,16.53,6.90,ok
hp1-hp3,ipip,udp,tx,on,0,1,0.0,0,0.04,0.00,ok
hp1-hp3,ipip,udp,tx,on,0,2,0.0,0,0.03,0.00,ok
hp1-hp3,ipip,udp,tx,on,0,3,0.0,0,0.02,0.00,ok
hp1-hp3,ipip,udp,tx,on,1,1,0.0,0,0.03,0.00,ok
hp1-hp3,ipip,udp,tx,on,1,2,0.0,0,0.03,0.01,ok
hp1-hp3,ipip,udp,tx,on,1,3,0.0,0,0.02,0.01,ok
hp1-hp3,ipip,udp,gso,off,0,1,6645.7,0,16.39,7.00,ok
hp1-hp3,ipip,udp,gso,off,0,2,6889.1,0,16.33,7.00,ok
hp1-hp3,ipip,udp,gso,off,0,3,6670.5,0,16.28,7.16,ok
hp1-hp3,ipip,udp,gso,off,1,1,6653.7,0,16.31,7.09,ok
hp1-hp3,ipip,udp,gso,off,1,2,6554.9,0,16.50,6.93,ok
hp1-hp3,ipip,udp,gso,off,1,3,6605.8,0,16.43,7.02,ok
hp1-hp3,ipip,udp,gso,on,0,1,6581.0,0,16.45,7.15,ok
hp1-hp3,ipip,udp,gso,on,0,2,6602.1,0,16.63,7.14,ok
hp1-hp3,ipip,udp,gso,on,0,3,6760.5,0,16.12,7.20,ok
hp1-hp3,ipip,udp,gso,on,1,1,6938.0,0,16.08,7.26,ok
hp1-hp3,ipip,udp,gso,on,1,2,6565.6,0,16.27,7.12,ok
hp1-hp3,ipip,udp,gso,on,1,3,6604.6,0,16.23,7.10,ok
hp1-hp3,ipip,udp,gro,off,0,1,6944.2,0,17.04,6.26,ok
hp1-hp3,ipip,udp,gro,off,0,2,6606.9,0,17.20,6.13,ok
hp1-hp3,ipip,udp,gro,off,0,3,6608.3,0,17.22,6.17,ok
hp1-hp3,ipip,udp,gro,off,1,1,6593.0,0,17.15,6.18,ok
hp1-hp3,ipip,udp,gro,off,1,2,6917.1,0,17.17,6.16,ok
hp1-hp3,ipip,udp,gro,off,1,3,6866.1,0,17.10,6.24,ok
