pair,scenario,proto,feature,state,sysctl,run,mbps,retransmits,recv_sys_pct,recv_soft_pct,status
hp1-hp3,ipip,udp,baseline,asfound,0,1,6674.0,0,16.41,6.94,ok
hp1-hp3,ipip,udp,baseline,asfound,0,2,6677.9,0,16.29,7.14,ok
hp1-hp3,ipip,udp,baseline,asfound,0,3,6624.8,0,16.52,6.80,ok
hp1-hp3,ipip,udp,baseline,asfound,1,1,6675.3,0,16.30,7.11,ok
hp1-hp3,ipip,udp,baseline,asfound,1,2,6895.3,0,16.32,7.08,ok
hp1-hp3,ipip,udp,baseline,asfound,1,3,6594.6,0,16.41,7.01,ok
hp1-hp3,ipip,udp,tx,off,0,1,6936.3,0,16.16,7.28,ok
hp1-hp3,ipip,udp,tx,off,0,2,6649.6,0,16.31,7.14,ok
hp1-hp3,ipip,udp,tx,off,0,3,6590.4,0,16.48,6.95,ok
hp1-hp3,ipip,udp,tx,off,1,1,6647.8,0,16.23,7.15,ok
hp1-hp3,ipip,udp,tx,off,1,2,6629.9,0,16.18,7.14,ok
hp1-hp3,ipip,udp,tx,off,1,3,6646.7,0,16.18,7.20,ok
hp1-hp3,ipip,udp,tx,on,0,1,0.0,0,0.03,0.00,ok
hp1-hp3,ipip,udp,tx,on,0,2,0.0,0,0.01,0.01,ok
hp1-hp3,ipip,udp,tx,on,0,3,0.0,0,0.02,0.00,ok
hp1-hp3,ipip,udp,tx,on,1,1,0.0,0,0.02,0.01,ok
hp1-hp3,ipip,udp,tx,on,1,2,0.0,0,0.02,0.00,ok
hp1-hp3,ipip,udp,tx,on,1,3,0.0,0,0.02,0.01,ok
hp1-hp3,ipip,udp,gso,off,0,1,0.0,0,0.02,0.00,ok
hp1-hp3,ipip,udp,gso,off,0,2,0.0,0,0.02,0.00,ok
hp1-hp3,ipip,udp,gso,off,0,3,0.0,0,0.01,0.00,ok
hp1-hp3,ipip,udp,gso,off,1,1,0.0,0,0.02,0.00,ok
hp1-hp3,ipip,udp,gso,off,1,2,0.0,0,0.03,0.01,ok
hp1-hp3,ipip,udp,gso,off,1,3,0.0,0,0.02,0.00,ok
hp1-hp3,ipip,udp,gso,on,0,1,0.0,0,0.02,0.00,ok
hp1-hp3,ipip,udp,gso,on,0,2,0.0,0,0.02,0.01,ok
hp1-hp3,ipip,udp,gso,on,0,3,0.0,0,0.03,0.00,ok
hp1-hp3,ipip,udp,gso,on,1,1,0.0,0,0.02,0.00,ok
hp1-hp3,ipip,udp,gso,on,1,2,0.0,0,0.03,0.00,ok
hp1-hp3,ipip,udp,gso,on,1,3,0.0,0,0.03,0.00,ok
hp1-hp3,ipip,udp,gro,off,0,1,0.0,0,0.02,0.00,ok
hp1-hp3,ipip,udp,gro,off,0,2,0.0,0,0.02,0.00,ok
hp1-hp3,ipip,udp,gro,off,0,3,0.0,0,0.03,0.00,ok
hp1-hp3,ipip,udp,gro,off,1,1,0.0,0,0.02,0.01,ok
hp1-hp3,ipip,udp,gro,off,1,2,0.0,0,0.03,0.00,ok
hp1-hp3,ipip,udp,gro,off,1,3,0.0,0,0.02,0.00,ok
hp1-hp3,ipip,udp,gro,on,0,1,0.0,0,0.03,0.00,ok
hp1-hp3,ipip,udp,gro,on,0,2,0.0,0,0.02,0.00,ok
