Linux 7.0.9 (hp3) 	06/19/2026 	_x86_64_	(8 CPU)

02:59:31 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:59:32 AM  all    0.37    0.00   15.48    0.00    0.37    4.99    0.00    0.00    0.00   78.78
02:59:32 AM    0    0.99    0.00   60.40    0.00    0.99   13.86    0.00    0.00    0.00   23.76
02:59:32 AM    1    1.98    0.00   61.39    0.00    0.00   13.86    0.00    0.00    0.00   22.77
02:59:32 AM    2    0.00    0.00    0.00    0.00    1.00    1.00    0.00    0.00    0.00   98.00
02:59:32 AM    3    0.00    0.00    0.00    0.00    0.00    1.02    0.00    0.00    0.00   98.98
02:59:32 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:59:32 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:59:32 AM    6    0.00    0.00    0.98    0.00    0.98    7.84    0.00    0.00    0.00   90.20
02:59:32 AM    7    0.00    0.00    0.00    0.00    0.00    2.02    0.00    0.00    0.00   97.98

02:59:32 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:59:33 AM  all    0.25    0.00   20.02    0.00    0.25    5.85    0.00    0.00    0.00   73.63
02:59:33 AM    0    1.00    0.00   80.00    0.00    0.00   18.00    0.00    0.00    0.00    1.00
02:59:33 AM    1    0.99    0.00   78.22    0.00    0.00   18.81    0.00    0.00    0.00    1.98
02:59:33 AM    2    0.00    0.00    0.98    0.00    0.98    2.94    0.00    0.00    0.00   95.10
02:59:33 AM    3    0.00    0.00    0.00    0.00    1.00    3.00    0.00    0.00    0.00   96.00
02:59:33 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:59:33 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:59:33 AM    6    0.00    0.00    1.00    0.00    0.00    3.00    0.00    0.00    0.00   96.00
02:59:33 AM    7    0.00    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00   99.01

02:59:33 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:59:34 AM  all    0.13    0.00   19.95    0.00    0.25    5.40    0.00    0.00    0.00   74.28
02:59:34 AM    0    1.00    0.00   79.00    0.00    0.00   19.00    0.00    0.00    0.00    1.00
02:59:34 AM    1    0.00    0.00   80.00    0.00    1.00   18.00    0.00    0.00    0.00    1.00
02:59:34 AM    2    0.00    0.00    0.00    0.00    0.00    2.04    0.00    0.00    0.00   97.96
02:59:34 AM    3    0.00    0.00    0.00    0.00    1.00    2.00    0.00    0.00    0.00   97.00
