Linux 7.0.9 (hp3) 	06/19/2026 	_x86_64_	(8 CPU)

02:16:35 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:16:36 AM  all    1.13    0.00    4.28    0.00    0.00    7.81    0.00    0.00    0.00   86.78
02:16:36 AM    0    5.10    0.00   17.35    0.00    0.00    0.00    0.00    0.00    0.00   77.55
02:16:36 AM    1    4.08    0.00   16.33    0.00    0.00    1.02    0.00    0.00    0.00   78.57
02:16:36 AM    2    0.00    0.00    1.01    0.00    0.00   30.30    0.00    0.00    0.00   68.69
02:16:36 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:16:36 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:16:36 AM    5    0.00    0.00    0.00    0.00    0.00   20.00    0.00    0.00    0.00   80.00
02:16:36 AM    6    0.00    0.00    0.00    0.00    0.00   11.11    0.00    0.00    0.00   88.89
02:16:36 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

02:16:36 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:16:37 AM  all    1.41    0.00    4.86    0.00    0.38   10.36    0.00    0.00    0.00   82.99
02:16:37 AM    0    5.62    0.00   17.98    0.00    1.12    0.00    0.00    0.00    0.00   75.28
02:16:37 AM    1    6.59    0.00   18.68    0.00    1.10    0.00    0.00    0.00    0.00   73.63
02:16:37 AM    2    0.00    0.00    4.95    0.00    0.99   38.61    0.00    0.00    0.00   55.45
02:16:37 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:16:37 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:16:37 AM    5    0.00    0.00    0.00    0.00    0.00   23.76    0.00    0.00    0.00   76.24
02:16:37 AM    6    0.00    0.00    0.00    0.00    0.00   18.00    0.00    0.00    0.00   82.00
02:16:37 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

02:16:37 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
02:16:38 AM  all    1.17    0.00    5.19    0.00    0.39   10.13    0.00    0.00    0.00   83.12
02:16:38 AM    0    4.71    0.00   17.65    0.00    1.18    0.00    0.00    0.00    0.00   76.47
02:16:38 AM    1    5.88    0.00   16.47    0.00    1.18    0.00    0.00    0.00    0.00   76.47
02:16:38 AM    2    0.00    0.00   11.00    0.00    0.00   36.00    0.00    0.00    0.00   53.00
02:16:38 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
02:16:38 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
