Linux 7.0.0 (hp5) 	06/19/2026 	_x86_64_	(8 CPU)

06:55:26 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:55:27 AM  all    0.25    0.00   15.68    0.00    0.00    4.89    0.00    0.00    0.00   79.17
06:55:27 AM    0    1.02    0.00   62.24    0.00    0.00   10.20    0.00    0.00    0.00   26.53
06:55:27 AM    1    1.01    0.00   64.65    0.00    0.00   11.11    0.00    0.00    0.00   23.23
06:55:27 AM    2    0.00    0.00    0.00    0.00    0.00    7.00    0.00    0.00    0.00   93.00
06:55:27 AM    3    0.00    0.00    0.00    0.00    0.00    8.00    0.00    0.00    0.00   92.00
06:55:27 AM    4    0.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   99.00
06:55:27 AM    5    0.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   99.00
06:55:27 AM    6    0.00    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00   99.01
06:55:27 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

06:55:27 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
06:55:28 AM  all    0.13    0.00   19.77    0.00    0.25    5.88    0.00    0.00    0.00   73.97
06:55:28 AM    0    1.01    0.00   74.75    0.00    1.01   12.12    0.00    0.00    0.00   11.11
06:55:28 AM    1    0.00    0.00   83.17    0.00    0.00   14.85    0.00    0.00    0.00    1.98
06:55:28 AM    2    0.00    0.00    0.00    0.00    1.00    9.00    0.00    0.00    0.00   90.00
06:55:28 AM    3    0.00    0.00    0.00    0.00    0.00    9.09    0.00    0.00    0.00   90.91
06:55:28 AM    4    0.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   99.00
06:55:28 AM    5    0.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   99.00
06:55:28 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
