Linux 7.0.0 (hp5) 	06/19/2026 	_x86_64_	(8 CPU)

05:58:13 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:58:14 AM  all    0.12    0.00   16.98    0.00    0.12    4.87    0.00    0.00    0.00   77.90
05:58:14 AM    0    0.00    0.00   70.00    0.00    0.00    8.00    0.00    0.00    0.00   22.00
05:58:14 AM    1    1.00    0.00   66.00    0.00    0.00   11.00    0.00    0.00    0.00   22.00
05:58:14 AM    2    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00    0.00   99.00
05:58:14 AM    3    0.00    0.00    0.00    0.00    0.00    1.98    0.00    0.00    0.00   98.02
05:58:14 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:58:14 AM    5    0.00    0.00    0.00    0.00    0.00    8.00    0.00    0.00    0.00   92.00
05:58:14 AM    6    0.00    0.00    0.00    0.00    0.00    7.00    0.00    0.00    0.00   93.00
05:58:14 AM    7    0.00    0.00    0.00    0.00    0.00    3.00    0.00    0.00    0.00   97.00

05:58:14 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:58:15 AM  all    0.25    0.00   21.81    0.00    0.50    6.20    0.00    0.00    0.00   71.25
05:58:15 AM    0    0.98    0.00   89.22    0.00    0.98    8.82    0.00    0.00    0.00    0.00
05:58:15 AM    1    0.99    0.00   84.16    0.00    0.99   13.86    0.00    0.00    0.00    0.00
05:58:15 AM    2    0.00    0.00    0.00    0.00    0.00    1.98    0.00    0.00    0.00   98.02
05:58:15 AM    3    0.00    0.00    0.00    0.00    0.99    0.99    0.00    0.00    0.00   98.02
05:58:15 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:58:15 AM    5    0.00    0.00    0.00    0.00    0.00   12.00    0.00    0.00    0.00   88.00
05:58:15 AM    6    0.00    0.00    0.00    0.00    0.99    6.93    0.00    0.00    0.00   92.08
