Linux 7.0.0 (hp5) 	06/19/2026 	_x86_64_	(8 CPU)

04:32:26 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:32:27 AM  all    0.12    0.00   23.22    0.00    0.25    0.25    0.00    0.00    0.00   76.15
04:32:27 AM    0    0.00    0.00   54.00    0.00    1.00    0.00    0.00    0.00    0.00   45.00
04:32:27 AM    1    1.00    0.00   54.00    0.00    0.00    0.00    0.00    0.00    0.00   45.00
04:32:27 AM    2    0.00    0.00    0.00    0.00    0.99    1.98    0.00    0.00    0.00   97.03
04:32:27 AM    3    0.00    0.00   78.00    0.00    0.00    0.00    0.00    0.00    0.00   22.00
04:32:27 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:32:27 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:32:27 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:32:27 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

04:32:27 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:32:28 AM  all    0.13    0.00   29.52    0.00    0.00    0.25    0.00    0.00    0.00   70.10
04:32:28 AM    0    1.00    0.00   69.00    0.00    0.00    0.00    0.00    0.00    0.00   30.00
04:32:28 AM    1    0.00    0.00   68.75    0.00    0.00    0.00    0.00    0.00    0.00   31.25
04:32:28 AM    2    0.00    0.00    0.00    0.00    0.00    2.00    0.00    0.00    0.00   98.00
04:32:28 AM    3    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:32:28 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:32:28 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:32:28 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:32:28 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

04:32:28 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:32:29 AM  all    0.38    0.00   28.84    0.00    0.00    0.13    0.00    0.00    0.00   70.65
04:32:29 AM    0    2.04    0.00   65.31    0.00    0.00    0.00    0.00    0.00    0.00   32.65
04:32:29 AM    1    1.01    0.00   65.66    0.00    0.00    0.00    0.00    0.00    0.00   33.33
04:32:29 AM    2    0.00    0.00    0.00    0.00    0.00    1.02    0.00    0.00    0.00   98.98
04:32:29 AM    3    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:32:29 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:32:29 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:32:29 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:32:29 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

04:32:29 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:32:30 AM  all    0.37    0.00   28.55    0.12    0.25    0.37    0.00    0.00    0.00   70.32
04:32:30 AM    0    1.01    0.00   63.64    0.00    1.01    0.00    0.00    0.00    0.00   34.34
04:32:30 AM    1    1.96    0.00   64.71    0.98    0.98    0.00    0.00    0.00    0.00   31.37
04:32:30 AM    2    0.00    0.00    0.00    0.00    0.00    2.00    0.00    0.00    0.00   98.00
04:32:30 AM    3    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:32:30 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:32:30 AM    5    0.00    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00   99.01
04:32:30 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:32:30 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

04:32:30 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:32:31 AM  all    0.13    0.00   28.52    0.00    0.00    0.38    0.00    0.00    0.00   70.98
04:32:31 AM    0    0.98    0.00   64.71    0.00    0.00    0.98    0.00    0.00    0.00   33.33
04:32:31 AM    1    0.00    0.00   64.21    0.00    0.00    0.00    0.00    0.00    0.00   35.79
04:32:31 AM    2    0.00    0.00    0.00    0.00    0.00    2.00    0.00    0.00    0.00   98.00
04:32:31 AM    3    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:32:31 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:32:31 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:32:31 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:32:31 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

04:32:31 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:32:32 AM  all    0.37    0.00   28.93    0.00    0.25    0.37    0.00    0.00    0.00   70.07
04:32:32 AM    0    1.01    0.00   60.61    0.00    0.00    0.00    0.00    0.00    0.00   38.38
04:32:32 AM    1    1.98    0.00   71.29    0.00    0.00    0.99    0.00    0.00    0.00   25.74
04:32:32 AM    2    0.00    0.00    0.00    0.00    0.99    1.98    0.00    0.00    0.00   97.03
04:32:32 AM    3    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:32:32 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:32:32 AM    5    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00    0.00   99.01
04:32:32 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:32:32 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

04:32:32 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:32:33 AM  all    0.25    0.00   28.82    0.00    0.13    0.25    0.00    0.00    0.00   70.55
04:32:33 AM    0    1.01    0.00   62.63    0.00    1.01    0.00    0.00    0.00    0.00   35.35
04:32:33 AM    1    1.01    0.00   68.69    0.00    0.00    0.00    0.00    0.00    0.00   30.30
04:32:33 AM    2    0.00    0.00    0.00    0.00    0.00    2.00    0.00    0.00    0.00   98.00
04:32:33 AM    3    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:32:33 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:32:33 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:32:33 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:32:33 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

04:32:33 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:32:34 AM  all    0.38    0.00   29.40    0.00    0.13    0.38    0.00    0.00    0.00   69.72
04:32:34 AM    0    2.02    0.00   69.70    0.00    0.00    0.00    0.00    0.00    0.00   28.28
04:32:34 AM    1    1.02    0.00   66.33    0.00    1.02    0.00    0.00    0.00    0.00   31.63
04:32:34 AM    2    0.00    0.00    0.00    0.00    0.00    2.02    0.00    0.00    0.00   97.98
04:32:34 AM    3    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:32:34 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:32:34 AM    5    0.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   99.00
04:32:34 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:32:34 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

04:32:34 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:32:35 AM  all    0.50    0.00   28.81    0.00    0.00    0.13    0.00    0.00    0.00   70.57
04:32:35 AM    0    2.06    0.00   65.98    0.00    0.00    0.00    0.00    0.00    0.00   31.96
04:32:35 AM    1    2.02    0.00   65.66    0.00    0.00    0.00    0.00    0.00    0.00   32.32
04:32:35 AM    2    0.00    0.00    0.00    0.00    0.00    1.01    0.00    0.00    0.00   98.99
04:32:35 AM    3    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:32:35 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:32:35 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:32:35 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:32:35 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

04:32:35 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:32:36 AM  all    0.13    0.00   29.57    0.00    0.25    0.25    0.00    0.00    0.00   69.80
04:32:36 AM    0    1.01    0.00   64.65    0.00    1.01    0.00    0.00    0.00    0.00   33.33
04:32:36 AM    1    0.00    0.00   72.73    0.00    0.00    0.00    0.00    0.00    0.00   27.27
04:32:36 AM    2    0.00    0.00    0.00    0.00    0.99    1.98    0.00    0.00    0.00   97.03
04:32:36 AM    3    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:32:36 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:32:36 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:32:36 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:32:36 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

04:32:36 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:32:37 AM  all    0.25    0.00   29.49    0.00    0.13    0.38    0.00    0.00    0.00   69.76
04:32:37 AM    0    0.00    0.00   68.04    0.00    0.00    1.03    0.00    0.00    0.00   30.93
04:32:37 AM    1    1.98    0.00   68.32    0.00    0.99    0.00    0.00    0.00    0.00   28.71
04:32:37 AM    2    0.00    0.00    0.00    0.00    0.00    2.02    0.00    0.00    0.00   97.98
04:32:37 AM    3    0.00    0.00  100.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00
04:32:37 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:32:37 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:32:37 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
04:32:37 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

04:32:37 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
04:32:38 AM  all    0.38    0.00   28.91    0.00    0.00    0.25    0.00    0.00    0.00   70.46
04:32:38 AM    0    2.00    0.00   66.00    0.00    0.00    0.00    0.00    0.00    0.00   32.00
04:32:38 AM    1    1.01    0.00   65.66    0.00    0.00    0.00    0.00    0.00    0.00   33.33
04:32:38 AM    2    0.00    0.00    0.00    0.00    0.00    2.00    0.00    0.00    0.00   98.00
