pair,scenario,cell,proto,sysctl,dur_s,scenario_iface,scenario_v4,mbps,retransmits,recv_sys_pct,recv_soft_pct,kernel_has_sysctl,status
pi5-pair,vlan,cell-01,tcp,0,420,vlan100,10.10.40.5,939.0,0,1.19,4.64,yes,ok
pi5-pair,vlan,cell-02,tcp,1,420,vlan100,10.10.40.5,939.0,0,1.51,4.60,yes,ok
pi5-pair,vlan,cell-03,udp,0,420,vlan100,10.10.40.5,944.8,0,3.34,10.35,yes,ok
pi5-pair,vlan,cell-04,udp,1,420,vlan100,10.10.40.5,944.8,11,3.31,10.34,yes,ok
pi5-pair,qinq,cell-01,tcp,0,420,cvlan100,10.10.41.5,936.2,0,0.99,5.40,yes,ok
pi5-pair,qinq,cell-02,tcp,1,420,cvlan100,10.10.41.5,936.2,0,0.97,5.42,yes,ok
pi5-pair,qinq,cell-03,udp,0,420,cvlan100,10.10.41.5,941.9,8,2.89,12.10,yes,ok
pi5-pair,qinq,cell-04,udp,1,420,cvlan100,10.10.41.5,941.9,15,2.91,12.08,yes,ok
pi5-pair,vxlan,cell-01,tcp,0,420,vxlan10,192.168.100.2,908.9,0,1.26,5.31,yes,ok
pi5-pair,vxlan,cell-02,tcp,1,420,vxlan10,192.168.100.2,908.9,0,1.23,5.32,yes,ok
pi5-pair,vxlan,cell-03,udp,0,420,vxlan10,192.168.100.2,911.8,0,3.38,15.20,yes,ok
pi5-pair,vxlan,cell-04,udp,1,420,vxlan10,192.168.100.2,911.8,0,3.39,15.20,yes,ok
pi5-pair,mpls,cell-01,tcp,0,420,lo,10.10.43.5,938.8,0,8.01,15.65,yes,ok
pi5-pair,mpls,cell-02,tcp,1,420,lo,10.10.43.5,938.8,0,7.91,15.76,yes,ok
pi5-pair,mpls,cell-03,udp,0,420,lo,10.10.43.5,944.8,25,3.16,11.90,yes,ok
pi5-pair,mpls,cell-04,udp,1,420,lo,10.10.43.5,944.8,0,3.00,11.94,yes,ok
pi5-pair,ipip,cell-01,tcp,0,420,ipip0,10.10.42.5,928.4,0,0.97,5.46,yes,ok
