Linux 7.0.9 (hp3) 	06/19/2026 	_x86_64_	(8 CPU)

08:42:08 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:42:09 AM  all    0.00    0.00    9.38    0.00    0.25   10.50    0.00    0.00    0.00   79.88
08:42:09 AM    0    0.00    0.00   37.62    0.00    0.99   39.60    0.00    0.00    0.00   21.78
08:42:09 AM    1    0.00    0.00   37.00    0.00    0.00   40.00    0.00    0.00    0.00   23.00
08:42:09 AM    2    0.00    0.00    0.00    0.00    1.00    1.00    0.00    0.00    0.00   98.00
08:42:09 AM    3    0.00    0.00    0.00    0.00    0.00    2.00    0.00    0.00    0.00   98.00
08:42:09 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:42:09 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:42:09 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:42:09 AM    7    0.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   99.00

08:42:09 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:42:10 AM  all    0.25    0.00   11.99    0.00    0.00   13.36    0.00    0.00    0.00   74.41
08:42:10 AM    0    1.00    0.00   48.00    0.00    0.00   51.00    0.00    0.00    0.00    0.00
08:42:10 AM    1    0.99    0.00   47.52    0.00    0.00   51.49    0.00    0.00    0.00    0.00
08:42:10 AM    2    0.00    0.00    0.00    0.00    0.00    2.02    0.00    0.00    0.00   97.98
08:42:10 AM    3    0.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   99.00
08:42:10 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:42:10 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:42:10 AM    6    0.00    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00   99.01
08:42:10 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

08:42:10 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:42:11 AM  all    0.00    0.00   11.75    0.00    0.38   13.63    0.00    0.00    0.00   74.25
08:42:11 AM    0    0.00    0.00   47.00    0.00    0.00   53.00    0.00    0.00    0.00    0.00
08:42:11 AM    1    0.00    0.00   46.53    0.00    0.99   52.48    0.00    0.00    0.00    0.00
08:42:11 AM    2    0.00    0.00    0.00    0.00    0.99    1.98    0.00    0.00    0.00   97.03
08:42:11 AM    3    0.00    0.00    0.00    0.00    1.00    1.00    0.00    0.00    0.00   98.00
08:42:11 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:42:11 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:42:11 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:42:11 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

08:42:11 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:42:12 AM  all    0.00    0.00   11.64    0.00    0.13   13.64    0.00    0.00    0.00   74.59
08:42:12 AM    0    0.00    0.00   47.00    0.00    1.00   52.00    0.00    0.00    0.00    0.00
08:42:12 AM    1    0.00    0.00   46.46    0.00    0.00   53.54    0.00    0.00    0.00    0.00
08:42:12 AM    2    0.00    0.00    0.00    0.00    0.00    1.01    0.00    0.00    0.00   98.99
08:42:12 AM    3    0.00    0.00    0.00    0.00    0.00    1.01    0.00    0.00    0.00   98.99
08:42:12 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:42:12 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
08:42:12 AM    6    0.00    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00   99.01
08:42:12 AM    7    0.00    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00   99.01

08:42:12 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
08:42:13 AM  all    0.12    0.00   11.60    0.00    0.37   13.59    0.00    0.00    0.00   74.31
