Linux 7.0.0 (hp5) 	06/19/2026 	_x86_64_	(8 CPU)

09:22:14 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:22:15 AM  all    0.50    0.00    8.84    0.00    0.25   10.46    0.00    0.00    0.00   79.95
09:22:15 AM    0    1.98    0.00   34.65    0.00    0.99   40.59    0.00    0.00    0.00   21.78
09:22:15 AM    1    1.98    0.00   35.64    0.00    0.99   39.60    0.00    0.00    0.00   21.78
09:22:15 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:22:15 AM    3    0.00    0.00    0.00    0.00    0.00    1.98    0.00    0.00    0.00   98.02
09:22:15 AM    4    0.00    0.00    0.00    0.00    0.00    1.01    0.00    0.00    0.00   98.99
09:22:15 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:22:15 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:22:15 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

09:22:15 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:22:16 AM  all    0.75    0.00   11.00    0.00    0.25   13.63    0.00    0.00    0.00   74.38
09:22:16 AM    0    3.00    0.00   44.00    0.00    1.00   52.00    0.00    0.00    0.00    0.00
09:22:16 AM    1    3.00    0.00   44.00    0.00    1.00   52.00    0.00    0.00    0.00    0.00
09:22:16 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:22:16 AM    3    0.00    0.00    0.00    0.00    0.00    2.02    0.00    0.00    0.00   97.98
09:22:16 AM    4    0.00    0.00    0.00    0.00    0.00    3.00    0.00    0.00    0.00   97.00
09:22:16 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
