Linux 7.0.0 (hp5) 	06/19/2026 	_x86_64_	(8 CPU)

09:10:48 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:10:49 AM  all    0.25    0.00   10.35    0.00    0.37   10.22    0.00    0.00    0.00   78.80
09:10:49 AM    0    1.00    0.00   41.00    0.00    0.00   36.00    0.00    0.00    0.00   22.00
09:10:49 AM    1    1.00    0.00   42.00    0.00    1.00   34.00    0.00    0.00    0.00   22.00
09:10:49 AM    2    0.00    0.00    0.00    0.00    0.99    2.97    0.00    0.00    0.00   96.04
09:10:49 AM    3    0.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   99.00
09:10:49 AM    4    0.00    0.00    0.00    0.00    0.00    3.00    0.00    0.00    0.00   97.00
09:10:49 AM    5    0.00    0.00    0.00    0.00    0.99    1.98    0.00    0.00    0.00   97.03
09:10:49 AM    6    0.00    0.00    0.00    0.00    0.00    3.00    0.00    0.00    0.00   97.00
09:10:49 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

09:10:49 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:10:50 AM  all    0.00    0.00   13.84    0.00    0.13   12.96    0.00    0.00    0.00   73.08
09:10:50 AM    0    0.00    0.00   56.00    0.00    1.00   43.00    0.00    0.00    0.00    0.00
09:10:50 AM    1    0.00    0.00   54.55    0.00    0.00   45.45    0.00    0.00    0.00    0.00
09:10:50 AM    2    0.00    0.00    0.00    0.00    0.00    3.03    0.00    0.00    0.00   96.97
09:10:50 AM    3    0.00    0.00    0.00    0.00    0.00    1.01    0.00    0.00    0.00   98.99
09:10:50 AM    4    0.00    0.00    0.00    0.00    0.00    2.00    0.00    0.00    0.00   98.00
09:10:50 AM    5    0.00    0.00    0.00    0.00    0.00    2.02    0.00    0.00    0.00   97.98
09:10:50 AM    6    0.00    0.00    0.00    0.00    0.00    7.07    0.00    0.00    0.00   92.93
09:10:50 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

09:10:50 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:10:51 AM  all    0.12    0.00   13.61    0.00    0.37   13.48    0.00    0.00    0.00   72.41
09:10:51 AM    0    0.00    0.00   56.57    0.00    0.00   43.43    0.00    0.00    0.00    0.00
09:10:51 AM    1    0.99    0.00   52.48    0.00    0.99   45.54    0.00    0.00    0.00    0.00
09:10:51 AM    2    0.00    0.00    0.00    0.00    0.00    4.00    0.00    0.00    0.00   96.00
09:10:51 AM    3    0.00    0.00    0.00    0.00    0.99    0.99    0.00    0.00    0.00   98.02
09:10:51 AM    4    0.00    0.00    0.00    0.00    0.00    4.00    0.00    0.00    0.00   96.00
09:10:51 AM    5    0.00    0.00    0.00    0.00    0.00    4.00    0.00    0.00    0.00   96.00
09:10:51 AM    6    0.00    0.00    0.00    0.00    1.00    6.00    0.00    0.00    0.00   93.00
09:10:51 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

09:10:51 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:10:52 AM  all    0.12    0.00   13.73    0.00    0.25   13.48    0.00    0.00    0.00   72.41
09:10:52 AM    0    0.99    0.00   54.46    0.00    0.99   43.56    0.00    0.00    0.00    0.00
09:10:52 AM    1    0.00    0.00   54.46    0.00    0.99   44.55    0.00    0.00    0.00    0.00
09:10:52 AM    2    0.00    0.00    0.00    0.00    0.00    4.00    0.00    0.00    0.00   96.00
09:10:52 AM    3    0.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   99.00
09:10:52 AM    4    0.00    0.00    0.00    0.00    0.00    3.03    0.00    0.00    0.00   96.97
09:10:52 AM    5    0.00    0.00    0.00    0.00    0.00    3.00    0.00    0.00    0.00   97.00
09:10:52 AM    6    0.00    0.00    0.00    0.00    0.00    8.00    0.00    0.00    0.00   92.00
09:10:52 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

09:10:52 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:10:53 AM  all    0.25    0.00   13.50    0.00    0.50   13.25    0.00    0.00    0.00   72.50
09:10:53 AM    0    1.00    0.00   52.00    0.00    1.00   46.00    0.00    0.00    0.00    0.00
09:10:53 AM    1    1.01    0.00   56.57    0.00    0.00   42.42    0.00    0.00    0.00    0.00
09:10:53 AM    2    0.00    0.00    0.00    0.00    1.00    4.00    0.00    0.00    0.00   95.00
09:10:53 AM    3    0.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   99.00
09:10:53 AM    4    0.00    0.00    0.00    0.00    0.99    2.97    0.00    0.00    0.00   96.04
09:10:53 AM    5    0.00    0.00    0.00    0.00    1.00    3.00    0.00    0.00    0.00   96.00
09:10:53 AM    6    0.00    0.00    0.00    0.00    0.00    7.07    0.00    0.00    0.00   92.93
09:10:53 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

09:10:53 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:10:54 AM  all    0.00    0.00   13.78    0.00    0.13   13.53    0.00    0.00    0.00   72.56
09:10:54 AM    0    0.00    0.00   57.58    0.00    0.00   42.42    0.00    0.00    0.00    0.00
09:10:54 AM    1    0.00    0.00   53.00    0.00    1.00   46.00    0.00    0.00    0.00    0.00
09:10:54 AM    2    0.00    0.00    0.00    0.00    0.00    4.00    0.00    0.00    0.00   96.00
09:10:54 AM    3    0.00    0.00    0.00    0.00    0.00    2.00    0.00    0.00    0.00   98.00
09:10:54 AM    4    0.00    0.00    0.00    0.00    0.00    3.03    0.00    0.00    0.00   96.97
09:10:54 AM    5    0.00    0.00    0.00    0.00    0.00    4.00    0.00    0.00    0.00   96.00
09:10:54 AM    6    0.00    0.00    0.00    0.00    0.00    7.00    0.00    0.00    0.00   93.00
09:10:54 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

