Linux 7.0.0 (hp5) 	06/19/2026 	_x86_64_	(8 CPU)

09:07:21 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:07:22 AM  all    0.90    0.00    2.82    0.00    0.13    8.19    0.00    0.00    0.00   87.96
09:07:22 AM    0    3.37    0.00   11.24    0.00    0.00   26.97    0.00    0.00    0.00   58.43
09:07:22 AM    1    4.40    0.00   13.19    0.00    0.00   26.37    0.00    0.00    0.00   56.04
09:07:22 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:07:22 AM    3    0.00    0.00    0.00    0.00    0.00    4.00    0.00    0.00    0.00   96.00
09:07:22 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:07:22 AM    5    0.00    0.00    0.00    0.00    0.00    4.95    0.00    0.00    0.00   95.05
09:07:22 AM    6    0.00    0.00    0.00    0.00    0.00    4.00    0.00    0.00    0.00   96.00
09:07:22 AM    7    0.00    0.00    0.00    0.00    1.00    3.00    0.00    0.00    0.00   96.00

09:07:22 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:07:23 AM  all    1.29    0.00    3.98    0.00    0.13   11.05    0.00    0.00    0.00   83.55
09:07:23 AM    0    5.49    0.00   17.58    0.00    0.00   35.16    0.00    0.00    0.00   41.76
09:07:23 AM    1    5.62    0.00   16.85    0.00    0.00   35.96    0.00    0.00    0.00   41.57
09:07:23 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:07:23 AM    3    0.00    0.00    0.00    0.00    0.00    5.05    0.00    0.00    0.00   94.95
09:07:23 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:07:23 AM    5    0.00    0.00    0.00    0.00    1.00    5.00    0.00    0.00    0.00   94.00
09:07:23 AM    6    0.00    0.00    0.00    0.00    0.00    6.06    0.00    0.00    0.00   93.94
09:07:23 AM    7    0.00    0.00    0.00    0.00    0.00    6.00    0.00    0.00    0.00   94.00

09:07:23 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:07:24 AM  all    1.40    0.00    4.60    0.00    0.26   10.60    0.00    0.00    0.00   83.14
09:07:24 AM    0    6.38    0.00   19.15    0.00    1.06   32.98    0.00    0.00    0.00   40.43
09:07:24 AM    1    5.43    0.00   19.57    0.00    0.00   34.78    0.00    0.00    0.00   40.22
09:07:24 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:07:24 AM    3    0.00    0.00    0.00    0.00    1.00    5.00    0.00    0.00    0.00   94.00
09:07:24 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:07:24 AM    5    0.00    0.00    0.00    0.00    0.00    5.05    0.00    0.00    0.00   94.95
09:07:24 AM    6    0.00    0.00    0.00    0.00    0.00    5.05    0.00    0.00    0.00   94.95
09:07:24 AM    7    0.00    0.00    0.00    0.00    0.00    5.05    0.00    0.00    0.00   94.95

09:07:24 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:07:25 AM  all    1.39    0.00    5.18    0.13    0.13   11.76    0.00    0.00    0.00   81.42
09:07:25 AM    0    6.32    0.00   21.05    0.00    0.00   35.79    0.00    0.00    0.00   36.84
09:07:25 AM    1    5.21    0.00   21.88    1.04    1.04   36.46    0.00    0.00    0.00   34.38
09:07:25 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:07:25 AM    3    0.00    0.00    0.00    0.00    0.00    6.00    0.00    0.00    0.00   94.00
09:07:25 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:07:25 AM    5    0.00    0.00    0.00    0.00    0.00    6.00    0.00    0.00    0.00   94.00
09:07:25 AM    6    0.00    0.00    0.00    0.00    0.00    6.00    0.00    0.00    0.00   94.00
09:07:25 AM    7    0.00    0.00    0.00    0.00    0.00    6.00    0.00    0.00    0.00   94.00

09:07:25 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:07:26 AM  all    1.26    0.00    5.56    0.00    0.25   12.39    0.00    0.00    0.00   80.53
09:07:26 AM    0    5.15    0.00   22.68    0.00    1.03   37.11    0.00    0.00    0.00   34.02
09:07:26 AM    1    5.26    0.00   23.16    0.00    0.00   38.95    0.00    0.00    0.00   32.63
09:07:26 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:07:26 AM    3    0.00    0.00    0.00    0.00    0.00    6.06    0.00    0.00    0.00   93.94
09:07:26 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:07:26 AM    5    0.00    0.00    0.00    0.00    0.00    6.00    0.00    0.00    0.00   94.00
09:07:26 AM    6    0.00    0.00    0.00    0.00    0.99    6.93    0.00    0.00    0.00   92.08
09:07:26 AM    7    0.00    0.00    0.00    0.00    0.00    6.06    0.00    0.00    0.00   93.94

09:07:26 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:07:27 AM  all    1.64    0.00    5.56    0.00    0.25   11.99    0.00    0.00    0.00   80.56
09:07:27 AM    0    6.25    0.00   22.92    0.00    0.00   36.46    0.00    0.00    0.00   34.38
09:07:27 AM    1    7.22    0.00   22.68    0.00    1.03   37.11    0.00    0.00    0.00   31.96
09:07:27 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:07:27 AM    3    0.00    0.00    0.00    0.00    0.00    6.00    0.00    0.00    0.00   94.00
09:07:27 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:07:27 AM    5    0.00    0.00    0.00    0.00    0.00    6.06    0.00    0.00    0.00   93.94
09:07:27 AM    6    0.00    0.00    0.00    0.00    0.00    6.06    0.00    0.00    0.00   93.94
09:07:27 AM    7    0.00    0.00    0.00    0.00    0.99    5.94    0.00    0.00    0.00   93.07

09:07:27 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:07:28 AM  all    1.15    0.00    5.11    0.00    0.26   12.01    0.00    0.00    0.00   81.48
09:07:28 AM    0    5.38    0.00   22.58    0.00    0.00   36.56    0.00    0.00    0.00   35.48
09:07:28 AM    1    4.44    0.00   21.11    0.00    0.00   40.00    0.00    0.00    0.00   34.44
09:07:28 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:07:28 AM    3    0.00    0.00    0.00    0.00    1.00    6.00    0.00    0.00    0.00   93.00
09:07:28 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:07:28 AM    5    0.00    0.00    0.00    0.00    0.99    5.94    0.00    0.00    0.00   93.07
09:07:28 AM    6    0.00    0.00    0.00    0.00    0.00    6.00    0.00    0.00    0.00   94.00
09:07:28 AM    7    0.00    0.00    0.00    0.00    0.00    6.06    0.00    0.00    0.00   93.94

09:07:28 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:07:29 AM  all    1.02    0.00    5.38    0.00    0.13   12.04    0.00    0.00    0.00   81.43
09:07:29 AM    0    4.30    0.00   23.66    0.00    1.08   36.56    0.00    0.00    0.00   34.41
09:07:29 AM    1    4.49    0.00   22.47    0.00    0.00   39.33    0.00    0.00    0.00   33.71
09:07:29 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:07:29 AM    3    0.00    0.00    0.00    0.00    0.00    6.00    0.00    0.00    0.00   94.00
09:07:29 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:07:29 AM    5    0.00    0.00    0.00    0.00    0.00    6.06    0.00    0.00    0.00   93.94
09:07:29 AM    6    0.00    0.00    0.00    0.00    0.00    7.00    0.00    0.00    0.00   93.00
09:07:29 AM    7    0.00    0.00    0.00    0.00    0.00    6.00    0.00    0.00    0.00   94.00

09:07:29 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:07:30 AM  all    1.02    0.00    4.87    0.00    0.26   12.04    0.00    0.00    0.00   81.82
09:07:30 AM    0    4.44    0.00   21.11    0.00    0.00   37.78    0.00    0.00    0.00   36.67
09:07:30 AM    1    4.44    0.00   21.11    0.00    1.11   38.89    0.00    0.00    0.00   34.44
09:07:30 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:07:30 AM    3    0.00    0.00    0.00    0.00    0.00    7.00    0.00    0.00    0.00   93.00
09:07:30 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:07:30 AM    5    0.00    0.00    0.00    0.00    0.00    6.00    0.00    0.00    0.00   94.00
09:07:30 AM    6    0.00    0.00    0.00    0.00    1.00    6.00    0.00    0.00    0.00   93.00
09:07:30 AM    7    0.00    0.00    0.00    0.00    0.00    6.00    0.00    0.00    0.00   94.00

09:07:30 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:07:31 AM  all    0.91    0.00    4.28    0.00    0.13   12.06    0.00    0.00    0.00   82.62
09:07:31 AM    0    4.55    0.00   19.32    0.00    0.00   38.64    0.00    0.00    0.00   37.50
