Linux 7.0.0 (hp5) 	06/19/2026 	_x86_64_	(8 CPU)

09:03:53 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:03:54 AM  all    0.50    0.00    8.98    0.00    0.25   10.35    0.00    0.00    0.00   79.93
09:03:54 AM    0    2.00    0.00   36.00    0.00    0.00   40.00    0.00    0.00    0.00   22.00
09:03:54 AM    1    1.98    0.00   35.64    0.00    0.99   39.60    0.00    0.00    0.00   21.78
09:03:54 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:03:54 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:03:54 AM    4    0.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   99.00
09:03:54 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:03:54 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:03:54 AM    7    0.00    0.00    0.00    0.00    0.99    1.98    0.00    0.00    0.00   97.03

09:03:54 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:03:55 AM  all    0.75    0.00   11.47    0.00    0.37   13.22    0.00    0.00    0.00   74.19
09:03:55 AM    0    2.97    0.00   45.54    0.00    0.99   50.50    0.00    0.00    0.00    0.00
09:03:55 AM    1    2.97    0.00   45.54    0.00    0.99   50.50    0.00    0.00    0.00    0.00
09:03:55 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:03:55 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:03:55 AM    4    0.00    0.00    0.00    0.00    1.00    1.00    0.00    0.00    0.00   98.00
09:03:55 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:03:55 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:03:55 AM    7    0.00    0.00    0.00    0.00    0.00    3.00    0.00    0.00    0.00   97.00

09:03:55 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:03:56 AM  all    0.75    0.00   10.29    0.00    0.13   14.18    0.00    0.00    0.00   74.65
09:03:56 AM    0    4.00    0.00   40.00    0.00    1.00   54.00    0.00    0.00    0.00    1.00
09:03:56 AM    1    2.04    0.00   42.86    0.00    0.00   55.10    0.00    0.00    0.00    0.00
09:03:56 AM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:03:56 AM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:03:56 AM    4    0.00    0.00    0.00    0.00    0.00    2.00    0.00    0.00    0.00   98.00
09:03:56 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:03:56 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
09:03:56 AM    7    0.00    0.00    0.00    0.00    0.00    3.03    0.00    0.00    0.00   96.97

09:03:56 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
09:03:57 AM  all    0.87    0.00    9.34    0.00    0.37   15.32    0.00    0.00    0.00   74.10
09:03:57 AM    0    3.96    0.00   36.63    0.00    0.99   58.42    0.00    0.00    0.00    0.00
