pair,scenario,cell,proto,sysctl,dur_s,scenario_iface,scenario_v4,mbps,retransmits,recv_sys_pct,recv_soft_pct,rps,rfs,cake,flower,kernel_has_sysctl,status
pi5-pair,vlan,cell-01,tcp,0,60,vlan100,10.10.40.5,939.0,0,1.08,4.84,1,1,1,1,yes,ok
pi5-pair,vlan,cell-02,tcp,1,60,vlan100,10.10.40.5,938.9,0,1.21,4.89,1,1,1,1,yes,ok
pi5-pair,vlan,cell-03,udp,0,60,vlan100,10.10.40.5,944.9,0,3.63,13.94,1,1,1,1,yes,ok
pi5-pair,vlan,cell-04,udp,1,60,vlan100,10.10.40.5,944.9,0,3.55,13.93,1,1,1,1,yes,ok
pi5-pair,qinq,cell-01,tcp,0,60,cvlan100,10.10.41.5,936.2,0,0.92,5.64,1,1,1,1,yes,ok
pi5-pair,qinq,cell-02,tcp,1,60,cvlan100,10.10.41.5,936.2,0,0.84,5.58,1,1,1,1,yes,ok
pi5-pair,qinq,cell-03,udp,0,60,cvlan100,10.10.41.5,941.9,0,2.97,15.65,1,1,1,1,yes,ok
pi5-pair,qinq,cell-04,udp,1,60,cvlan100,10.10.41.5,941.9,23,3.09,15.66,1,1,1,1,yes,ok
pi5-pair,vxlan,cell-01,tcp,0,60,vxlan10,192.168.100.2,908.9,0,0.98,5.73,1,1,1,1,yes,ok
pi5-pair,vxlan,cell-02,tcp,1,60,vxlan10,192.168.100.2,908.9,0,1.06,5.59,1,1,1,1,yes,ok
pi5-pair,vxlan,cell-03,udp,0,60,vxlan10,192.168.100.2,911.9,18,3.66,19.91,1,1,1,1,yes,ok
pi5-pair,vxlan,cell-04,udp,1,60,vxlan10,192.168.100.2,911.8,0,3.58,19.95,1,1,1,1,yes,ok
pi5-pair,mpls,cell-01,tcp,0,60,lo,10.10.43.5,938.8,0,6.37,18.17,1,1,1,1,yes,ok
pi5-pair,mpls,cell-02,tcp,1,60,lo,10.10.43.5,938.8,0,5.80,17.80,1,1,1,1,yes,ok
pi5-pair,mpls,cell-03,udp,0,60,lo,10.10.43.5,944.9,0,2.81,14.80,1,1,1,1,yes,ok
pi5-pair,mpls,cell-04,udp,1,60,lo,10.10.43.5,944.9,0,2.86,15.79,1,1,1,1,yes,ok
pi5-pair,ipip,cell-01,tcp,0,60,ipip0,10.10.42.5,928.4,0,0.91,5.85,1,1,1,1,yes,ok
pi5-pair,ipip,cell-02,tcp,1,60,ipip0,10.10.42.5,928.4,0,0.85,5.85,1,1,1,1,yes,ok
pi5-pair,ipip,cell-03,udp,0,60,ipip0,10.10.42.5,933.1,0,3.02,18.47,1,1,1,1,yes,ok
pi5-pair,ipip,cell-04,udp,1,60,ipip0,10.10.42.5,933.1,0,3.05,18.46,1,1,1,1,yes,ok
pi5-pair,gre,cell-01,tcp,0,60,gretest0,10.10.44.5,925.8,0,0.89,5.81,1,1,1,1,yes,ok
pi5-pair,gre,cell-02,tcp,1,60,gretest0,10.10.44.5,925.8,0,0.84,5.79,1,1,1,1,yes,ok
pi5-pair,gre,cell-03,udp,0,60,gretest0,10.10.44.5,930.2,0,3.06,19.99,1,1,1,1,yes,ok
pi5-pair,gre,cell-04,udp,1,60,gretest0,10.10.44.5,930.2,0,2.84,18.67,1,1,1,1,yes,ok
pi5-pair,geneve,cell-01,tcp,0,60,geneve10,192.168.101.2,908.9,0,0.91,6.12,1,1,1,1,yes,ok
pi5-pair,geneve,cell-02,tcp,1,60,geneve10,192.168.101.2,908.9,0,0.83,6.13,1,1,1,1,yes,ok
pi5-pair,geneve,cell-03,udp,0,60,geneve10,192.168.101.2,911.9,11,3.05,20.33,1,1,1,1,yes,ok
pi5-pair,geneve,cell-04,udp,1,60,geneve10,192.168.101.2,911.9,0,2.93,20.39,1,1,1,1,yes,ok
hp1-hp3,vlan,cell-01,tcp,0,60,vlan100,10.10.40.5,16280.9,13970,8.48,21.43,1,1,1,1,yes,ok
hp1-hp3,vlan,cell-02,tcp,1,60,vlan100,10.10.40.5,11449.9,405,11.59,18.07,1,1,1,1,yes,ok
hp1-hp3,vlan,cell-03,udp,0,60,vlan100,10.10.40.5,7191.8,0,14.56,9.32,1,1,1,1,yes,ok
hp1-hp3,vlan,cell-04,udp,1,60,vlan100,10.10.40.5,6896.5,0,14.70,8.89,1,1,1,1,yes,ok
hp1-hp3,qinq,cell-01,tcp,0,60,cvlan100,10.10.41.5,9247.5,1099,11.16,17.57,1,1,1,1,yes,ok
hp1-hp3,qinq,cell-02,tcp,1,60,cvlan100,10.10.41.5,14244.1,7805,8.70,22.79,1,1,1,1,yes,ok
hp1-hp3,qinq,cell-03,udp,0,60,cvlan100,10.10.41.5,5875.2,0,13.59,10.08,1,1,1,1,yes,ok
hp1-hp3,qinq,cell-04,udp,1,60,cvlan100,10.10.41.5,5836.0,0,13.92,9.80,1,1,1,1,yes,ok
