Linux 7.0.9 (hp3) 	06/19/2026 	_x86_64_	(8 CPU)

05:44:53 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:44:54 PM  all    0.00    0.00   10.30    0.00    0.50   26.43    0.00    0.00    0.00   62.78
05:44:54 PM    0    0.00    0.00    0.00    0.00    0.99   77.23    0.00    0.00    0.00   21.78
05:44:54 PM    1    0.00    0.00    0.00    0.00    1.00   76.00    0.00    0.00    0.00   23.00
05:44:54 PM    2    0.00    0.00   12.87    0.00    0.99   11.88    0.00    0.00    0.00   74.26
05:44:54 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:44:54 PM    4    0.00    0.00   11.00    0.00    1.00   18.00    0.00    0.00    0.00   70.00
05:44:54 PM    5    0.00    0.00   46.53    0.00    0.00    9.90    0.00    0.00    0.00   43.56
05:44:54 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:44:54 PM    7    0.00    0.00   11.88    0.00    0.00   18.81    0.00    0.00    0.00   69.31

05:44:54 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:44:55 PM  all    0.00    0.00    9.79    0.00    0.25   32.62    0.00    0.00    0.00   57.34
05:44:55 PM    0    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
05:44:55 PM    1    0.00    0.00    0.00    0.00    1.00   73.00    0.00    0.00    0.00   26.00
05:44:55 PM    2    0.00    0.00   12.00    0.00    0.00    6.00    0.00    0.00    0.00   82.00
05:44:55 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:44:55 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:44:55 PM    5    0.00    0.00   13.13    0.00    0.00   25.25    0.00    0.00    0.00   61.62
05:44:55 PM    6    0.00    0.00   30.30    0.00    0.00   35.35    0.00    0.00    0.00   34.34
05:44:55 PM    7    0.00    0.00   23.23    0.00    0.00   22.22    0.00    0.00    0.00   54.55

05:44:55 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:44:56 PM  all    0.00    0.00   10.55    0.00    0.37   28.54    0.00    0.00    0.00   60.55
05:44:56 PM    0    0.00    0.00    0.00    0.00    1.00   75.00    0.00    0.00    0.00   24.00
05:44:56 PM    1    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
05:44:56 PM    2    0.00    0.00   22.00    0.00    0.00   28.00    0.00    0.00    0.00   50.00
05:44:56 PM    3    0.00    0.00   39.22    0.00    0.00    0.98    0.00    0.00    0.00   59.80
05:44:56 PM    4    0.00    0.00   14.85    0.00    0.00   13.86    0.00    0.00    0.00   71.29
05:44:56 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:44:56 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:44:56 PM    7    0.00    0.00    7.84    0.00    0.98   12.75    0.00    0.00    0.00   78.43

05:44:56 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:44:57 PM  all    0.00    0.00    9.64    0.00    0.38   33.92    0.00    0.00    0.00   56.07
05:44:57 PM    0    0.00    0.00    0.00    0.00    1.98   98.02    0.00    0.00    0.00    0.00
05:44:57 PM    1    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
05:44:57 PM    2    0.00    0.00    2.00    0.00    0.00    2.00    0.00    0.00    0.00   96.00
05:44:57 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:44:57 PM    4    0.00    0.00   15.00    0.00    0.00   20.00    0.00    0.00    0.00   65.00
05:44:57 PM    5    0.00    0.00   32.32    0.00    0.00   16.16    0.00    0.00    0.00   51.52
05:44:57 PM    6    0.00    0.00   14.00    0.00    0.00   18.00    0.00    0.00    0.00   68.00
05:44:57 PM    7    0.00    0.00   14.14    0.00    0.00   17.17    0.00    0.00    0.00   68.69

05:44:57 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:44:58 PM  all    0.00    0.00   10.09    0.00    0.50   31.13    0.00    0.00    0.00   58.28
05:44:58 PM    0    0.00    0.00    0.00    0.00    1.01   98.99    0.00    0.00    0.00    0.00
05:44:58 PM    1    0.00    0.00    0.00    0.00    1.00   76.00    0.00    0.00    0.00   23.00
05:44:58 PM    2    0.00    0.00   11.00    0.00    0.00   19.00    0.00    0.00    0.00   70.00
05:44:58 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:44:58 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:44:58 PM    5    0.00    0.00   33.33    0.00    0.98   19.61    0.00    0.00    0.00   46.08
05:44:58 PM    6    0.00    0.00   15.84    0.00    0.99   19.80    0.00    0.00    0.00   63.37
05:44:58 PM    7    0.00    0.00   19.80    0.00    0.00   16.83    0.00    0.00    0.00   63.37

05:44:58 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:44:59 PM  all    0.00    0.00    7.74    0.12    0.25   27.22    0.00    0.00    0.00   64.67
05:44:59 PM    0    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
05:44:59 PM    1    0.00    0.00    0.99    0.99    0.99   21.78    0.00    0.00    0.00   75.25
