Linux 7.0.9 (hp3) 	06/19/2026 	_x86_64_	(8 CPU)

05:36:35 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:36:36 PM  all    0.00    0.00   10.34    0.00    0.24   25.30    0.00    0.00    0.00   64.11
05:36:36 PM    0    0.00    0.00    0.00    0.00    0.97   99.03    0.00    0.00    0.00    0.00
05:36:36 PM    1    0.00    0.00    0.98    0.00    0.00   49.02    0.00    0.00    0.00   50.00
05:36:36 PM    2    0.00    0.00    3.88    0.00    0.00    4.85    0.00    0.00    0.00   91.26
05:36:36 PM    3    0.00    0.00    1.96    0.00    0.00    6.86    0.00    0.00    0.00   91.18
05:36:36 PM    4    0.00    0.00   19.23    0.00    0.96   21.15    0.00    0.00    0.00   58.65
05:36:36 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:36:36 PM    6    0.00    0.00   18.63    0.00    0.00   21.57    0.00    0.00    0.00   59.80
05:36:36 PM    7    0.00    0.00   37.86    0.00    0.00    0.00    0.00    0.00    0.00   62.14

05:36:36 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:36:37 PM  all    0.00    0.00    9.90    0.00    0.37   32.27    0.00    0.00    0.00   57.46
05:36:37 PM    0    0.00    0.00    0.00    0.00    0.98   99.02    0.00    0.00    0.00    0.00
05:36:37 PM    1    0.00    0.00    0.00    0.00    0.98   99.02    0.00    0.00    0.00    0.00
05:36:37 PM    2    0.00    0.00   22.33    0.00    0.97   30.10    0.00    0.00    0.00   46.60
05:36:37 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:36:37 PM    4    0.00    0.00   35.29    0.00    0.00    0.00    0.00    0.00    0.00   64.71
05:36:37 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:36:37 PM    6    0.00    0.00   21.57    0.00    0.00   30.39    0.00    0.00    0.00   48.04
05:36:37 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

05:36:37 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:36:38 PM  all    0.00    0.00   10.15    0.00    0.13   32.08    0.00    0.00    0.00   57.64
05:36:38 PM    0    0.00    0.00    1.00    0.00    0.00   94.00    0.00    0.00    0.00    5.00
05:36:38 PM    1    0.00    0.00    0.00    0.00    1.00   75.00    0.00    0.00    0.00   24.00
05:36:38 PM    2    0.00    0.00   10.10    0.00    0.00   20.20    0.00    0.00    0.00   69.70
05:36:38 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:36:38 PM    4    0.00    0.00   33.00    0.00    0.00   22.00    0.00    0.00    0.00   45.00
05:36:38 PM    5    0.00    0.00   20.20    0.00    0.00   16.16    0.00    0.00    0.00   63.64
05:36:38 PM    6    0.00    0.00    8.00    0.00    0.00    8.00    0.00    0.00    0.00   84.00
05:36:38 PM    7    0.00    0.00    9.00    0.00    0.00   21.00    0.00    0.00    0.00   70.00

05:36:38 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:36:39 PM  all    0.00    0.00   11.10    0.00    0.25   25.81    0.00    0.00    0.00   62.84
05:36:39 PM    0    0.00    0.00    0.00    0.00    0.99   78.22    0.00    0.00    0.00   20.79
05:36:39 PM    1    0.00    0.00    0.00    0.00    1.00   73.00    0.00    0.00    0.00   26.00
