Linux 7.0.9 (hp3) 	06/19/2026 	_x86_64_	(8 CPU)

05:34:11 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:34:12 PM  all    0.00    0.00   11.44    0.00    0.37   32.21    0.00    0.00    0.00   55.97
05:34:12 PM    0    0.00    0.00    0.99    0.00    0.99   98.02    0.00    0.00    0.00    0.00
05:34:12 PM    1    0.00    0.00    0.00    0.00    1.00   86.00    0.00    0.00    0.00   13.00
05:34:12 PM    2    0.00    0.00   23.76    0.00    0.00   19.80    0.00    0.00    0.00   56.44
05:34:12 PM    3    0.00    0.00   17.17    0.00    0.00   18.18    0.00    0.00    0.00   64.65
05:34:12 PM    4    0.00    0.00   13.86    0.00    0.00    0.00    0.00    0.00    0.00   86.14
05:34:12 PM    5    0.00    0.00   14.71    0.00    0.98   16.67    0.00    0.00    0.00   67.65
05:34:12 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:34:12 PM    7    0.00    0.00   21.00    0.00    0.00   19.00    0.00    0.00    0.00   60.00

05:34:12 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:34:13 PM  all    0.00    0.00   11.04    0.00    0.37   28.29    0.00    0.00    0.00   60.30
05:34:13 PM    0    0.00    0.00    0.00    0.00    0.99   74.26    0.00    0.00    0.00   24.75
05:34:13 PM    1    0.00    0.00    0.99    0.00    0.99   98.02    0.00    0.00    0.00    0.00
05:34:13 PM    2    0.00    0.00   26.73    0.00    0.99   24.75    0.00    0.00    0.00   47.52
05:34:13 PM    3    0.00    0.00   38.61    0.00    0.00    0.99    0.00    0.00    0.00   60.40
05:34:13 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:34:13 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:34:13 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:34:13 PM    7    0.00    0.00   21.78    0.00    0.00   27.72    0.00    0.00    0.00   50.50

05:34:13 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:34:14 PM  all    0.00    0.00    8.17    0.00    0.38   35.93    0.00    0.00    0.00   55.53
05:34:14 PM    0    0.00    0.00    0.00    0.00    1.00   99.00    0.00    0.00    0.00    0.00
05:34:14 PM    1    0.00    0.00    0.00    0.00    1.01   96.97    0.00    0.00    0.00    2.02
05:34:14 PM    2    0.00    0.00    3.00    0.00    0.00    3.00    0.00    0.00    0.00   94.00
05:34:14 PM    3    0.00    0.00    3.03    0.00    0.00    7.07    0.00    0.00    0.00   89.90
05:34:14 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:34:14 PM    5    0.00    0.00   26.26    0.00    0.00   35.35    0.00    0.00    0.00   38.38
05:34:14 PM    6    0.00    0.00   14.14    0.00    0.00   17.17    0.00    0.00    0.00   68.69
05:34:14 PM    7    0.00    0.00   19.00    0.00    1.00   29.00    0.00    0.00    0.00   51.00

05:34:14 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:34:15 PM  all    0.00    0.00    8.10    0.00    0.25   28.68    0.00    0.00    0.00   62.97
