Linux 7.0.0 (hp5) 	06/19/2026 	_x86_64_	(8 CPU)

05:57:58 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:57:59 PM  all    0.12    0.00   13.18    0.00    0.37   28.98    0.00    0.00    0.00   57.34
05:57:59 PM    0    0.99    0.00    0.99    0.00    0.99   82.18    0.00    0.00    0.00   14.85
05:57:59 PM    1    0.00    0.00    0.99    0.00    0.99   98.02    0.00    0.00    0.00    0.00
05:57:59 PM    2    0.00    0.00    1.98    0.00    0.00    0.00    0.00    0.00    0.00   98.02
05:57:59 PM    3    0.00    0.00   19.00    0.00    0.00   13.00    0.00    0.00    0.00   68.00
05:57:59 PM    4    0.00    0.00   28.43    0.00    0.98    7.84    0.00    0.00    0.00   62.75
05:57:59 PM    5    0.00    0.00   30.30    0.00    0.00   15.15    0.00    0.00    0.00   54.55
05:57:59 PM    6    0.00    0.00   24.00    0.00    0.00   15.00    0.00    0.00    0.00   61.00
05:57:59 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

05:57:59 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:58:00 PM  all    0.00    0.00   11.76    0.00    0.00   28.04    0.00    0.00    0.00   60.20
05:58:00 PM    0    0.00    0.00    0.00    0.00    0.00   70.00    0.00    0.00    0.00   30.00
05:58:00 PM    1    0.00    0.00    0.00    0.00    0.00  100.00    0.00    0.00    0.00    0.00
05:58:00 PM    2    0.00    0.00   21.00    0.00    0.00   11.00    0.00    0.00    0.00   68.00
05:58:00 PM    3    0.00    0.00   30.30    0.00    0.00   14.14    0.00    0.00    0.00   55.56
05:58:00 PM    4    0.00    0.00   14.14    0.00    0.00   12.12    0.00    0.00    0.00   73.74
05:58:00 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
05:58:00 PM    6    0.00    0.00   15.00    0.00    0.00    3.00    0.00    0.00    0.00   82.00
05:58:00 PM    7    0.00    0.00   14.00    0.00    0.00   14.00    0.00    0.00    0.00   72.00

05:58:00 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
05:58:01 PM  all    0.00    0.00   10.68    0.00    0.25   28.89    0.00    0.00    0.00   60.18
