pair,scenario,cell,sysctl,dur_s,pkt_size,threads,scenario_iface,scenario_mac,pps_sent,pps_recv,cycles,instructions,branches,branch_misses,cycles_per_pkt,ins_per_pkt,branch_miss_per_pkt,recv_sys_pct,recv_soft_pct,rps,rfs,cake,flower,kernel_has_sysctl,status
hp1-hp3,vlan,cell-01,0,60,64,2,vlan100,98:f2:b3:df:1c:70,4160766,3583813,499165237017,523708907241,97830553379,245045164,2321.39,2435.53,1.1396,9.56,30.33,1,1,1,1,yes,ok
hp1-hp3,vlan,cell-02,1,60,64,2,vlan100,98:f2:b3:df:1c:70,4141134,3608723,474880903871,502670364093,93891904866,235331012,2193.21,2321.55,1.0869,9.36,29.48,1,1,1,1,yes,ok
hp1-hp3,qinq,cell-01,0,60,64,2,cvlan100,98:f2:b3:df:1c:70,4151064,3631917,479600946222,505800136862,94451637210,239685911,2200.86,2321.09,1.0999,9.29,30.25,1,1,1,1,yes,ok
hp1-hp3,qinq,cell-02,1,60,64,2,cvlan100,98:f2:b3:df:1c:70,4117819,3582586,482188834265,509629035063,95233592689,237850407,2243.21,2370.86,1.1065,9.28,30.02,1,1,1,1,yes,ok
hp1-hp3,vxlan,cell-01,0,60,64,2,vxlan10,e6:8d:a5:c0:40:9e,4121294,0,2075199,1500085,303779,6032,103759.95,75004.25,301.6000,0.02,0.00,1,1,1,1,yes,ok
hp1-hp3,vxlan,cell-02,1,60,64,2,vxlan10,e6:8d:a5:c0:40:9e,4125568,0,1910829,1465984,302805,6152,382165.80,293196.80,1230.4000,0.03,0.00,1,1,1,1,yes,ok
hp1-hp3,mpls,cell-01,0,60,64,2,lo,98:f2:b3:df:1c:70,4137088,3570196,483726473161,512462980189,95669559598,239103305,2258.17,2392.32,1.1162,9.42,29.27,1,1,1,1,yes,ok
hp1-hp3,mpls,cell-02,1,60,64,2,lo,98:f2:b3:df:1c:70,4180981,3589218,498314301008,522361087296,97548144361,246512564,2313.94,2425.60,1.1447,9.76,30.01,1,1,1,1,yes,ok
hp1-hp3,ipip,cell-01,0,60,64,2,ipip0,98:f2:b3:df:1c:70,4163443,3563441,503827252138,526056985261,98247203510,248876652,2356.46,2460.43,1.1640,9.97,30.25,1,1,1,1,yes,ok
hp1-hp3,ipip,cell-02,1,60,64,2,ipip0,98:f2:b3:df:1c:70,4153871,3591281,495619376773,520327396699,97195450960,248932748,2300.10,2414.77,1.1553,9.67,30.28,1,1,1,1,yes,ok
