Linux 7.0.9 (hp3) 	06/19/2026 	_x86_64_	(8 CPU)

10:28:04 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:28:05 PM  all    1.12    0.00    9.75    0.00    0.12    8.75    0.00    0.00    0.00   80.25
10:28:05 PM    0    4.04    0.00   38.38    0.00    0.00   34.34    0.00    0.00    0.00   23.23
10:28:05 PM    1    4.95    0.00   39.60    0.00    0.99   32.67    0.00    0.00    0.00   21.78
10:28:05 PM    2    0.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   99.00
10:28:05 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:28:05 PM    4    0.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   99.00
10:28:05 PM    5    0.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   99.00
10:28:05 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:28:05 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

10:28:05 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:28:06 PM  all    1.37    0.00   13.22    0.00    0.00   10.47    0.00    0.00    0.00   74.94
10:28:06 PM    0    5.94    0.00   49.50    0.00    0.00   44.55    0.00    0.00    0.00    0.00
10:28:06 PM    1    5.00    0.00   56.00    0.00    0.00   39.00    0.00    0.00    0.00    0.00
10:28:06 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:28:06 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:28:06 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:28:06 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:28:06 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:28:06 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

10:28:06 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:28:07 PM  all    1.25    0.00   13.23    0.00    0.00   10.61    0.00    0.00    0.00   74.91
10:28:07 PM    0    6.06    0.00   54.55    0.00    0.00   39.39    0.00    0.00    0.00    0.00
10:28:07 PM    1    4.00    0.00   52.00    0.00    0.00   44.00    0.00    0.00    0.00    0.00
10:28:07 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:28:07 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:28:07 PM    4    0.00    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00   99.01
10:28:07 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:28:07 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:28:07 PM    7    0.00    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00   99.01

10:28:07 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:28:08 PM  all    1.25    0.00   13.20    0.00    0.37   10.34    0.00    0.00    0.00   74.84
10:28:08 PM    0    3.96    0.00   51.49    0.00    0.99   43.56    0.00    0.00    0.00    0.00
10:28:08 PM    1    6.00    0.00   54.00    0.00    0.00   39.00    0.00    0.00    0.00    1.00
10:28:08 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:28:08 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:28:08 PM    4    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00    0.00   99.01
10:28:08 PM    5    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00    0.00   99.01
10:28:08 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:28:08 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

10:28:08 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:28:09 PM  all    1.00    0.00   13.25    0.00    0.12   10.50    0.00    0.00    0.00   75.12
10:28:09 PM    0    4.04    0.00   51.52    0.00    0.00   43.43    0.00    0.00    0.00    1.01
10:28:09 PM    1    3.96    0.00   54.46    0.00    0.99   40.59    0.00    0.00    0.00    0.00
10:28:09 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:28:09 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:28:09 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:28:09 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:28:09 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:28:09 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

10:28:09 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
10:28:10 PM  all    1.25    0.00   13.23    0.00    0.00   10.61    0.00    0.00    0.00   74.91
10:28:10 PM    0    4.95    0.00   55.45    0.00    0.00   39.60    0.00    0.00    0.00    0.00
10:28:10 PM    1    5.05    0.00   50.51    0.00    0.00   44.44    0.00    0.00    0.00    0.00
10:28:10 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:28:10 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:28:10 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:28:10 PM    5    0.00    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00   99.01
10:28:10 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
10:28:10 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

