Linux 7.0.9 (hp3) 	06/19/2026 	_x86_64_	(8 CPU)

11:59:55 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:59:56 PM  all    0.12    0.00    6.12    0.00    0.37   18.48    0.00    0.00    0.00   74.91
11:59:56 PM    0    0.00    0.00   24.75    0.00    0.99   52.48    0.00    0.00    0.00   21.78
11:59:56 PM    1    1.00    0.00   23.00    0.00    0.00   54.00    0.00    0.00    0.00   22.00
11:59:56 PM    2    0.00    0.00    0.00    0.00    0.98    0.98    0.00    0.00    0.00   98.04
11:59:56 PM    3    0.00    0.00    0.00    0.00    1.00    9.00    0.00    0.00    0.00   90.00
11:59:56 PM    4    0.00    0.00    0.00    0.00    0.00   10.10    0.00    0.00    0.00   89.90
11:59:56 PM    5    0.00    0.00    1.01    0.00    0.00   21.21    0.00    0.00    0.00   77.78
11:59:56 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:59:56 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

11:59:56 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:59:57 PM  all    0.00    0.00    7.99    0.00    0.37   23.72    0.00    0.00    0.00   67.92
11:59:57 PM    0    0.00    0.00   31.31    0.00    0.00   66.67    0.00    0.00    0.00    2.02
11:59:57 PM    1    0.00    0.00   31.68    0.00    0.99   64.36    0.00    0.00    0.00    2.97
11:59:57 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:59:57 PM    3    0.00    0.00    0.00    0.00    0.00   13.00    0.00    0.00    0.00   87.00
11:59:57 PM    4    0.00    0.00    0.00    0.00    1.00   15.00    0.00    0.00    0.00   84.00
11:59:57 PM    5    0.00    0.00    1.00    0.00    1.00   31.00    0.00    0.00    0.00   67.00
11:59:57 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:59:57 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

11:59:57 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:59:58 PM  all    0.00    0.00    8.10    0.00    0.25   23.19    0.00    0.00    0.00   68.45
11:59:58 PM    0    0.00    0.00   30.00    0.00    1.00   66.00    0.00    0.00    0.00    3.00
11:59:58 PM    1    0.00    0.00   32.67    0.00    0.00   63.37    0.00    0.00    0.00    3.96
11:59:58 PM    2    0.00    0.00    0.00    0.00    0.00    0.99    0.00    0.00    0.00   99.01
11:59:58 PM    3    0.00    0.00    0.00    0.00    1.00   16.00    0.00    0.00    0.00   83.00
11:59:58 PM    4    0.00    0.00    0.00    0.00    0.00   13.00    0.00    0.00    0.00   87.00
11:59:58 PM    5    0.00    0.00    2.00    0.00    0.00   26.00    0.00    0.00    0.00   72.00
11:59:58 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:59:58 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

11:59:58 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:59:59 PM  all    0.00    0.00    8.03    0.00    0.38   22.96    0.00    0.00    0.00   68.63
11:59:59 PM    0    0.00    0.00   31.31    0.00    0.00   64.65    0.00    0.00    0.00    4.04
11:59:59 PM    1    0.00    0.00   31.31    0.00    1.01   64.65    0.00    0.00    0.00    3.03
11:59:59 PM    2    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:59:59 PM    3    0.00    0.00    0.00    0.00    0.00   14.14    0.00    0.00    0.00   85.86
11:59:59 PM    4    0.00    0.00    0.00    0.00    1.00   14.00    0.00    0.00    0.00   85.00
11:59:59 PM    5    0.00    0.00    1.98    0.00    0.99   26.73    0.00    0.00    0.00   70.30
11:59:59 PM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:59:59 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

11:59:59 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:00:00 AM  all    0.12    0.00    8.09    0.00    0.37   22.79    0.00    0.00    0.00   68.63
12:00:00 AM    0    0.96    0.00   29.81    0.00    0.96   63.46    0.00    0.00    0.00    4.81
12:00:00 AM    1    0.00    0.00   32.67    0.00    0.00   63.37    0.00    0.00    0.00    3.96
12:00:00 AM    2    0.00    0.00    0.00    0.00    0.00    0.98    0.00    0.00    0.00   99.02
12:00:00 AM    3    0.00    0.00    0.00    0.00    0.98   13.73    0.00    0.00    0.00   85.29
