Linux 7.0.9 (hp3) 	06/19/2026 	_x86_64_	(8 CPU)

11:31:35 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:31:36 PM  all    0.00    0.00    8.60    0.00    0.50   12.09    0.00    0.00    0.00   78.80
11:31:36 PM    0    0.00    0.00   35.00    0.00    0.00   43.00    0.00    0.00    0.00   22.00
11:31:36 PM    1    0.00    0.00   34.00    0.00    1.00   43.00    0.00    0.00    0.00   22.00
11:31:36 PM    2    0.00    0.00    0.00    0.00    1.00    2.00    0.00    0.00    0.00   97.00
11:31:36 PM    3    0.00    0.00    0.00    0.00    1.00    6.00    0.00    0.00    0.00   93.00
11:31:36 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:31:36 PM    5    0.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   99.00
11:31:36 PM    6    0.00    0.00    0.00    0.00    0.98    1.96    0.00    0.00    0.00   97.06
11:31:36 PM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

11:31:36 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:31:37 PM  all    0.25    0.00   11.75    0.00    0.25   14.25    0.00    0.00    0.00   73.50
11:31:37 PM    0    0.99    0.00   46.53    0.00    0.99   51.49    0.00    0.00    0.00    0.00
11:31:37 PM    1    1.00    0.00   47.00    0.00    0.00   52.00    0.00    0.00    0.00    0.00
11:31:37 PM    2    0.00    0.00    0.00    0.00    1.00    1.00    0.00    0.00    0.00   98.00
11:31:37 PM    3    0.00    0.00    0.00    0.00    0.00    7.07    0.00    0.00    0.00   92.93
11:31:37 PM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:31:37 PM    5    0.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   99.00
