Linux 7.0.9 (hp3) 	06/19/2026 	_x86_64_	(8 CPU)

11:27:00 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:27:01 PM  all    0.89    0.00    3.04    0.00    0.25    9.00    0.00    0.00    0.00   86.82
11:27:01 PM    0    4.17    0.00   12.50    0.00    0.00   28.12    0.00    0.00    0.00   55.21
11:27:01 PM    1    3.23    0.00   12.90    0.00    1.08   26.88    0.00    0.00    0.00   55.91
11:27:01 PM    2    0.00    0.00    0.00    0.00    1.00    5.00    0.00    0.00    0.00   94.00
11:27:01 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:27:01 PM    4    0.00    0.00    0.00    0.00    0.00    5.00    0.00    0.00    0.00   95.00
11:27:01 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:27:01 PM    6    0.00    0.00    0.00    0.00    0.00    5.00    0.00    0.00    0.00   95.00
11:27:01 PM    7    0.00    0.00    0.00    0.00    0.00    4.00    0.00    0.00    0.00   96.00

11:27:01 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:27:02 PM  all    1.71    0.00    5.48    0.00    0.37   12.91    0.00    0.00    0.00   79.54
11:27:02 PM    0    6.36    0.00   20.00    0.00    0.91   37.27    0.00    0.00    0.00   35.45
11:27:02 PM    1    6.31    0.00   20.72    0.00    0.00   36.94    0.00    0.00    0.00   36.04
11:27:02 PM    2    0.00    0.00    0.00    0.00    0.00    6.00    0.00    0.00    0.00   94.00
11:27:02 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:27:02 PM    4    0.00    0.00    0.00    0.00    0.99    5.94    0.00    0.00    0.00   93.07
11:27:02 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:27:02 PM    6    0.00    0.00    0.00    0.00    1.00    6.00    0.00    0.00    0.00   93.00
11:27:02 PM    7    0.00    0.00    0.00    0.00    0.00    6.06    0.00    0.00    0.00   93.94

11:27:02 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:27:03 PM  all    1.96    0.00    5.75    0.00    0.12   12.48    0.00    0.00    0.00   79.68
11:27:03 PM    0    8.26    0.00   20.18    0.00    0.00   35.78    0.00    0.00    0.00   35.78
11:27:03 PM    1    6.42    0.00   22.94    0.00    0.00   34.86    0.00    0.00    0.00   35.78
11:27:03 PM    2    0.00    0.00    0.00    0.00    0.00    6.06    0.00    0.00    0.00   93.94
11:27:03 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:27:03 PM    4    0.00    0.00    0.00    0.00    0.00    6.06    0.00    0.00    0.00   93.94
11:27:03 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:27:03 PM    6    0.00    0.00    0.00    0.00    0.00    6.00    0.00    0.00    0.00   94.00
11:27:03 PM    7    0.00    0.00    0.00    0.00    0.99    6.93    0.00    0.00    0.00   92.08

11:27:03 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:27:04 PM  all    1.72    0.00    5.53    0.00    0.12   12.41    0.00    0.00    0.00   80.22
11:27:04 PM    0    6.60    0.00   19.81    0.00    0.00   35.85    0.00    0.00    0.00   37.74
11:27:04 PM    1    6.48    0.00   22.22    0.00    0.93   34.26    0.00    0.00    0.00   36.11
11:27:04 PM    2    0.00    0.00    0.00    0.00    0.00    6.00    0.00    0.00    0.00   94.00
11:27:04 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:27:04 PM    4    0.00    0.00    0.00    0.00    0.00    6.00    0.00    0.00    0.00   94.00
11:27:04 PM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
11:27:04 PM    6    0.00    0.00    0.00    0.00    0.00    7.00    0.00    0.00    0.00   93.00
11:27:04 PM    7    0.00    0.00    0.00    0.00    0.00    7.00    0.00    0.00    0.00   93.00

11:27:04 PM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
11:27:05 PM  all    1.98    0.00    5.69    0.00    0.12   11.87    0.00    0.00    0.00   80.35
11:27:05 PM    0    7.41    0.00   21.30    0.00    0.93   34.26    0.00    0.00    0.00   36.11
11:27:05 PM    1    7.62    0.00   21.90    0.00    0.00   33.33    0.00    0.00    0.00   37.14
11:27:05 PM    2    0.00    0.00    0.00    0.00    0.00    6.06    0.00    0.00    0.00   93.94
11:27:05 PM    3    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
