Linux 7.0.0 (hp5) 	06/20/2026 	_x86_64_	(8 CPU)

12:19:29 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:19:30 AM  all    1.12    0.00   10.86    0.00    0.25    8.11    0.00    0.00    0.00   79.65
12:19:30 AM    0    4.95    0.00   41.58    0.00    0.00   30.69    0.00    0.00    0.00   22.77
12:19:30 AM    1    4.04    0.00   45.45    0.00    1.01   27.27    0.00    0.00    0.00   22.22
12:19:30 AM    2    0.00    0.00    0.00    0.00    0.00    1.00    0.00    0.00    0.00   99.00
12:19:30 AM    3    0.00    0.00    0.00    0.00    0.00    1.98    0.00    0.00    0.00   98.02
12:19:30 AM    4    0.00    0.00    0.00    0.00    0.00    2.02    0.00    0.00    0.00   97.98
12:19:30 AM    5    0.00    0.00    0.00    0.00    0.99    1.98    0.00    0.00    0.00   97.03
12:19:30 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:19:30 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

12:19:30 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:19:31 AM  all    1.25    0.00   14.27    0.00    0.13   10.39    0.00    0.00    0.00   73.97
12:19:31 AM    0    5.00    0.00   57.00    0.00    1.00   37.00    0.00    0.00    0.00    0.00
12:19:31 AM    1    4.95    0.00   56.44    0.00    0.00   38.61    0.00    0.00    0.00    0.00
12:19:31 AM    2    0.00    0.00    0.00    0.00    0.00    2.02    0.00    0.00    0.00   97.98
12:19:31 AM    3    0.00    0.00    0.00    0.00    0.00    1.01    0.00    0.00    0.00   98.99
12:19:31 AM    4    0.00    0.00    0.00    0.00    0.00    2.00    0.00    0.00    0.00   98.00
12:19:31 AM    5    0.00    0.00    0.00    0.00    0.00    2.00    0.00    0.00    0.00   98.00
12:19:31 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
12:19:31 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

12:19:31 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
12:19:32 AM  all    1.24    0.00   13.81    0.00    0.50   10.70    0.00    0.00    0.00   73.76
12:19:32 AM    0    5.00    0.00   58.00    0.00    0.00   37.00    0.00    0.00    0.00    0.00
12:19:32 AM    1    5.00    0.00   53.00    0.00    1.00   41.00    0.00    0.00    0.00    0.00
12:19:32 AM    2    0.00    0.00    0.00    0.00    0.99    1.98    0.00    0.00    0.00   97.03
12:19:32 AM    3    0.00    0.00    0.00    0.00    0.99    1.98    0.00    0.00    0.00   97.03
12:19:32 AM    4    0.00    0.00    0.00    0.00    0.99    1.98    0.00    0.00    0.00   97.03
