Linux 7.0.0 (hp5) 	06/20/2026 	_x86_64_	(8 CPU)

01:51:41 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:51:42 AM  all    0.12    0.00    9.23    0.00    0.25   10.72    0.00    0.00    0.00   79.68
01:51:42 AM    0    0.99    0.00   36.63    0.00    0.99   39.60    0.00    0.00    0.00   21.78
01:51:42 AM    1    0.00    0.00   36.63    0.00    0.99   39.60    0.00    0.00    0.00   22.77
01:51:42 AM    2    0.00    0.00    0.00    0.00    0.00    3.00    0.00    0.00    0.00   97.00
01:51:42 AM    3    0.00    0.00    0.00    0.00    0.00    3.03    0.00    0.00    0.00   96.97
01:51:42 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:51:42 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:51:42 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:51:42 AM    7    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00

01:51:42 AM  CPU    %usr   %nice    %sys %iowait    %irq   %soft  %steal  %guest  %gnice   %idle
01:51:43 AM  all    0.00    0.00   12.03    0.00    0.00   13.53    0.00    0.00    0.00   74.44
01:51:43 AM    0    0.00    0.00   48.48    0.00    0.00   51.52    0.00    0.00    0.00    0.00
01:51:43 AM    1    0.00    0.00   48.48    0.00    0.00   51.52    0.00    0.00    0.00    0.00
01:51:43 AM    2    0.00    0.00    0.00    0.00    0.00    3.00    0.00    0.00    0.00   97.00
01:51:43 AM    3    0.00    0.00    0.00    0.00    0.00    3.00    0.00    0.00    0.00   97.00
01:51:43 AM    4    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:51:43 AM    5    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
01:51:43 AM    6    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00    0.00  100.00
